"name","numfire_dkcost","cbs_fpts","espn_fpts","ffs_fpts","fftoday_fpts","fp_fpts","numfire_fpts","hodges.lehmann","mean","risk","rank","best","worst","avg","sd","Ceiling","Floor","Tier"
"Drew Brees",7000,24.32,23.816,23.48,NA,22.852,23.2322,23.5,23.5,0.5,1,3,9,5.9,1.2,24,23,1
"Matt Ryan",7200,24.06,18.078,23.48,NA,18.896,22.901,21.2,21.4,2.5,2,4,15,7.4,2.5,23.9,18.9,1
"Tom Brady",8500,22.61,22.418,19.08,NA,18.986,22.7314,20.9,21.1,1.7,3,2,6,3.4,1,22.8,19.4,1
"Andrew Luck",7600,20.71,20.546,17.58,NA,20.532,23.444,20.5,20.6,1.9,4,1,4,2.5,0.9,22.5,18.7,1
"Philip Rivers",6500,12.87,19.274,18.92,NA,22.36,23.31,19.3,19.3,3.7,5,1,7,4,1.5,23,15.6,1
"Carson Palmer",6700,22.5,17.766,17.88,NA,19.024,19.1958,19,19.2,1.7,6,1,3,1.2,0.5,20.9,17.5,1
"Matthew Stafford",5700,22.79,18.808,14.74,NA,19.008,18.7156,18.8,18.8,2.5,7,8,18,12.3,2.3,21.3,16.3,1
"Eli Manning",6800,18.02,18.656,18.74,NA,18.986,18.7992,18.7,18.7,0.3,8,5,12,8.5,1.5,19,18.4,1
"Ryan Tannehill",5700,18.63,18.02,19.42,NA,18.548,17.172,18.3,18.3,0.7,9,8,18,13,2.3,19,17.6,1
"Joe Flacco",5700,17.32,18.204,17.92,NA,17.936,13.457,17.6,17.1,1.8,10,15,24,20.1,2.4,18.9,15.3,3
"Sam Bradford",6100,18.92,17.61,12.76,NA,17.646,17.8918,17.6,17.1,2.2,11,11,23,15.4,3.3,19.3,14.9,3
"Russell Wilson",6500,19.69,16.668,15.64,NA,16.06,16.1704,16.4,16.8,1.5,12,7,13,8.9,1.5,18.3,15.3,3
"Blake Bortles",5400,13.74,19.404,13.62,NA,14.914,17.9526,15.8,15.9,2.3,13,7,19,10.5,2.5,18.2,13.6,3
"Cam Newton",6600,14.41,15.782,15.3,NA,16.428,16.4138,15.8,15.7,0.8,14,2,7,5.1,1.5,16.5,14.9,3
"Colin Kaepernick",5000,15.44,17.39,15.7,NA,14.942,14.8884,15.4,15.6,0.9,15,19,28,23.9,2.8,16.5,14.7,3
"Ryan Fitzpatrick",5200,19.46,13.888,17.78,NA,13.898,12.786,15.8,15.6,2.6,16,10,25,14.2,3,18.2,13,3
"Teddy Bridgewater",5100,17.59,13.682,13.2,NA,13.54,13.4938,13.6,14.2,1.7,17,10,25,17.7,3.3,15.9,12.5,2
"Alex Smith",5100,14.05,14.712,14.34,NA,14.194,13.2654,14.2,14.1,0.5,18,16,28,24.1,2.7,14.6,13.6,2
"Brian Hoyer",5300,13.34,13.868,13.42,NA,13.526,17.0296,13.6,14.1,1.4,19,13,27,18.3,3.8,15.5,12.7,2
"Josh McCown",5200,13.52,13.97,11.1,NA,14.122,12.812,13.4,13.2,1.1,20,11,26,16.6,3.1,14.3,12.1,2
"Kirk Cousins",5000,10.91,14.014,12.4,NA,13.16,14.0886,13.2,13,1.2,21,22,28,25.6,2,14.2,11.8,2
