"name","numfire_dkcost","cbs_fpts","espn_fpts","ffs_fpts","fftoday_fpts","fp_fpts","numfire_fpts","hodges.lehmann","mean","risk","rank","best","worst","avg","sd","Ceiling","Floor","Tier"
"DeAndre Hopkins",8600,16.77,21.08,27.1,29,26.87,21.69,24.1,23.8,4.7,1,1,8,1.6,1.6,28.5,19.1,2
"Julio Jones",9100,27.3,20.18,14.83,26,22.4,20.94,21.7,21.9,4.5,2,1,7,2.8,1.5,26.4,17.4,2
"Larry Fitzgerald",7400,20.86,20.73,19.29,23,20.52,15.06,20.5,19.9,2.7,3,1,13,4.1,2,22.6,17.2,2
"Odell Beckham",8700,21.1,14.9,17.22,20.5,21.03,20.19,19.2,19.2,2.5,4,1,16,4.4,2.4,21.7,16.7,2
"Julian Edelman",8200,20.38,14.45,12.74,21,21.13,18.74,17.8,18.1,3.6,5,1,21,7.3,3.9,21.7,14.5,2
"Brandon Marshall",7800,21.49,20.48,10.81,22.5,20.35,12.65,17.6,18,5,6,1,10,4.9,1.6,23,13,2
"Calvin Johnson",7700,13.81,20.47,14.25,20,20.41,17.65,17.4,17.8,3.1,7,2,14,7.3,1.9,20.9,14.7,2
"T.Y. Hilton",6500,14.07,17.9,13.25,20,19.66,19.8,17,17.4,3,8,1,25,10.6,3.5,20.4,14.4,2
"Keenan Allen",7700,15.31,14.85,13.5,22,20.32,17.57,17.6,17.3,3.3,9,1,30,8.1,3.7,20.6,14,2
"Antonio Brown",7900,16.71,13.6,15.2,13,14.45,20.94,15.2,15.7,2.9,10,3,21,9.5,3.4,18.6,12.8,1
"John Brown",5500,14.2,11.64,10.27,19.5,18.18,12.62,14.2,14.4,3.7,11,3,27,13,3.5,18.1,10.7,1
"Donte Moncrief",5200,13.85,10.13,11.7,17.5,16.09,12.31,13.8,13.6,2.8,12,8,36,20.5,4.9,16.4,10.8,1
"Jarvis Landry",6200,10.92,11.69,10.92,20.5,12.48,15.05,13,13.6,3.7,13,4,45,15,5.1,17.3,9.9,1
"Willie Snead",4300,11.18,10.28,12.3,23.5,11.82,11.68,11.8,13.5,5,14,11,34,22.4,4.2,18.5,8.5,1
"Allen Robinson",6400,10.29,14.59,9.83,20,11.97,13.35,12.7,13.3,3.7,15,5,32,11.8,3.6,17,9.6,1
"Brandin Cooks",5500,12.01,11.17,11.28,17.5,11.52,12.58,11.9,12.7,2.4,16,10,39,24.5,4.5,15.1,10.3,1
"Travis Benjamin",5400,9.84,11.23,10.78,19.5,11.19,13.6,11.7,12.7,3.6,17,9,38,26,4.8,16.3,9.1,1
"Mike Evans",6400,11.64,11.5,9.65,20,11.1,10.77,11.3,12.4,3.8,18,12,51,20.1,5.9,16.2,8.6,1
"Golden Tate",5200,11.22,11.12,11.19,17.5,11.1,11.79,11.4,12.3,2.6,19,14,44,26,4.9,14.9,9.7,1
"Jordan Matthews",6400,10.85,13.38,11.62,12,11.51,13.65,12.1,12.2,1.1,20,13,35,21.7,4.3,13.3,11.1,1
"Terrance Williams",4200,8.83,7.94,13.95,20.5,9.35,11.87,11.4,12.1,4.7,21,29,62,39.9,5.1,16.8,7.4,1
"Eric Decker",5300,10.4,10.92,7.83,19.5,10.77,11.15,10.8,11.8,4,22,5,31,15.2,4.2,15.8,7.8,1
"Martavis Bryant",4700,8.93,7.87,15.56,18.5,9.4,10.54,11.7,11.8,4.2,23,9,36,24,5.2,16,7.6,1
"Amari Cooper",6500,12,10.25,10.29,12,11.33,14.36,11.7,11.7,1.5,24,4,29,15.7,4.4,13.2,10.2,1
"Anquan Boldin",4500,9.32,10.81,7.2,20.5,10.79,11.79,10.8,11.7,4.6,25,18,63,32.3,5.3,16.3,7.1,1
"Pierre Garcon",5000,10.85,9.47,10.25,17,9.8,11.85,10.8,11.5,2.8,26,7,34,24.1,4.1,14.3,8.7,1
"Michael Crabtree",4300,8.76,10.52,8.67,18.5,10.15,11.82,10.3,11.4,3.7,27,12,48,29.6,5.9,15.1,7.7,1
"Mike Wallace",4200,9.79,9.65,9.25,18,9.92,9.63,9.8,11,3.4,28,23,52,33.8,4.2,14.4,7.6,1
"Kendall Wright",5200,10.29,9.77,9.56,11,10.6,13.04,10.4,10.7,1.3,29,18,49,30,5,12,9.4,1
"Vincent Jackson",5300,12.34,9.94,10.31,10.5,10.17,10.86,10.5,10.7,0.9,30,17,36,26.3,3.4,11.6,9.8,1
"Allen Hurns",5300,8.79,10.84,8.34,9,9.76,12,9.8,9.8,1.4,31,9,32,20.3,3.9,11.2,8.4,4
"Rishard Matthews",4300,6.49,9.36,8.6,13,9.36,10.6,9.4,9.6,2.2,32,18,60,34.8,6.7,11.8,7.4,4
"Stefon Diggs",4200,8.36,8.94,12.51,11.5,8.65,7.56,9.5,9.6,2,33,12,41,27.7,5.6,11.6,7.6,4
"Leonard Hankerson",4200,7.87,7.31,10,15.5,8.02,7.27,8.6,9.3,3.2,34,21,49,38.4,4.3,12.5,6.1,4
"Doug Baldwin",4100,9.18,8.86,9.85,9,8.57,9.63,9.2,9.2,0.5,35,12,60,40.8,7.1,9.7,8.7,4
"Rueben Randle",4400,9.68,8.91,7.32,15.5,8.4,4.91,8.7,9.1,3.5,36,29,50,40.2,3.9,12.6,5.6,4
"Jamison Crowder",3700,7.86,8.56,4.56,10.5,9.11,11.31,8.8,8.7,2.4,37,12,48,35.3,5,11.1,6.3,4
"Michael Floyd",3200,8.71,8.38,6.13,16.5,7.76,4.61,8.1,8.7,4.1,38,22,53,39.6,5.7,12.8,4.6,4
"Robert Woods",3300,7.36,7.1,5.33,11,9.14,12.12,8.7,8.7,2.6,39,31,55,42.5,5,11.3,6.1,4
"Kenny Britt",3700,6.61,6.46,5.36,17.5,7.51,7.99,7.2,8.6,4.5,40,44,69,58.6,5.6,13.1,4.1,4
