"name","pos","sourceName","team","name_eds","team_eds","positionRank_eds","overallRank_eds","points_eds","passAtt_eds","passYds_eds","passTds_eds","passInt_eds","rushAtt_eds","rushYds_eds","rushTds_eds","rec_eds","recYds_eds","recTds_eds","returnTds_eds","twoPts_eds","fumbles_eds"
"ANDREWLUCK","QB","eds","IND","Andrew Luck","IND",1,1,377.24,620,4861,37.8,14.9,62,273,3.2,NA,NA,NA,NA,NA,NA
"AARONRODGERS","QB","eds","GB","Aaron Rodgers","GB",2,2,351.44,534,4486,36,7.5,48,235,2,NA,NA,NA,NA,NA,NA
"RUSSELLWILSON","QB","eds","SEA","Russell Wilson","SEA",3,3,334.04,465,3711,28.6,9.3,97,553,4.2,NA,NA,NA,NA,NA,NA
"DREWBREES","QB","eds","NO","Drew Brees","NO",4,4,322.34,630,4706,32.1,15.1,31,118,1.5,NA,NA,NA,NA,NA,NA
"BENROETHLISBERGER","QB","eds","PIT","Ben Roethlisberger","PIT",5,5,320.86,615,4889,32,12.9,31,90,0.2,NA,NA,NA,NA,NA,NA
"PEYTONMANNING","QB","eds","DEN","Peyton Manning","DEN",6,6,317.48,586,4602,37.5,14.7,28,-31,0.2,NA,NA,NA,NA,NA,NA
"MATTRYAN","QB","eds","ATL","Matt Ryan","ATL",7,7,309.34,630,4851,30.2,15.4,25,93,0.1,NA,NA,NA,NA,NA,NA
"ELIMANNING","QB","eds","NYG","Eli Manning","NYG",8,8,307.8,615,4680,32.6,15.4,15,32,0.4,NA,NA,NA,NA,NA,NA
"CAMNEWTON","QB","eds","CAR","Cam Newton","CAR",9,9,306.94,496,3646,21.8,12.9,96,514,5.9,NA,NA,NA,NA,NA,NA
"MATTHEWSTAFFORD","QB","eds","DET","Matthew Stafford","DET",10,10,306.18,638,4677,28.7,15.3,39,82,1.9,NA,NA,NA,NA,NA,NA
"RYANTANNEHILL","QB","eds","MIA","Ryan Tannehill","MIA",11,11,305.12,592,4168,27.2,13,58,336,1.5,NA,NA,NA,NA,NA,NA
"TONYROMO","QB","eds","DAL","Tony Romo","DAL",12,12,302.46,512,4224,33.8,10.2,24,79,0.1,NA,NA,NA,NA,NA,NA
"PHILIPRIVERS","QB","eds","SD","Philip Rivers","SD",13,13,301.36,565,4469,32.8,17,30,78,0.1,NA,NA,NA,NA,NA,NA
"COLINKAEPERNICK","QB","eds","SF","Colin Kaepernick","SF",14,14,294.62,522,3863,23.2,13.1,91,478,2.1,NA,NA,NA,NA,NA,NA
"TOMBRADY","QB","eds","NE","Tom Brady","NE",15,15,290.96,538,3944,33.4,7.5,34,41,0.5,NA,NA,NA,NA,NA,NA
"TEDDYBRIDGEWATER","QB","eds","MIN","Teddy Bridgewater","MIN",16,16,286.8,535,4150,26.1,13.4,54,232,1.1,NA,NA,NA,NA,NA,NA
"MARCUSMARIOTA","QB","eds","TEN","Marcus Mariota","TEN",17,17,280.64,486,3596,21.4,13.1,88,493,2.5,NA,NA,NA,NA,NA,NA
"ANDYDALTON","QB","eds","CIN","Andy Dalton","CIN",18,18,280.22,535,4013,26.5,18.7,58,168,2.6,NA,NA,NA,NA,NA,NA
"JOEFLACCO","QB","eds","BAL","Joe Flacco","BAL",19,19,279.44,576,4061,27.6,11.5,35,91,1.5,NA,NA,NA,NA,NA,NA
"CARSONPALMER","QB","eds","ARZ","Carson Palmer","ARZ",20,20,278.4,588,4410,27,14.1,25,63,0.3,NA,NA,NA,NA,NA,NA
"ALEXSMITH","QB","eds","KC","Alex Smith","KC",21,21,277.3,528,3830,23.3,7.4,61,323,1,NA,NA,NA,NA,NA,NA
"JAMEISWINSTON","QB","eds","TB","Jameis Winston","TB",22,22,274.74,585,4271,27.5,18.7,35,102,0.4,NA,NA,NA,NA,NA,NA
"JAYCUTLER","QB","eds","CHI","Jay Cutler","CHI",23,23,273.52,552,3988,27.5,16,31,146,0.9,NA,NA,NA,NA,NA,NA
"SAMBRADFORD","QB","eds","PHI","Sam Bradford","PHI",24,24,271.42,552,4223,26,12.1,28,64,0.7,NA,NA,NA,NA,NA,NA
"BLAKEBORTLES","QB","eds","JAC","Blake Bortles","JAC",25,25,267.14,522,3586,23,15.7,61,366,1.8,NA,NA,NA,NA,NA,NA
"ROBERTGRIFFIN","QB","eds","WAS","Robert Griffin III","WAS",26,26,262.92,484,3703,21.3,11.1,61,299,1.8,NA,NA,NA,NA,NA,NA
"DEREKCARR","QB","eds","OAK","Derek Carr","OAK",27,27,259.26,597,4089,24.8,13.7,32,96,0.1,NA,NA,NA,NA,NA,NA
"RYANFITZPATRICK","QB","eds","NYJ","Ryan Fitzpatrick","NYJ",28,28,255.08,478,3442,24.4,15.3,58,261,1.5,NA,NA,NA,NA,NA,NA
"LEVEONBELL","RB","eds","PIT","Le'Veon Bell","PIT",1,29,254.4,NA,NA,NA,NA,258,1174,9.8,68,632,2.5,NA,NA,NA
"NICKFOLES","QB","eds","STL","Nick Foles","STL",29,30,254.16,532,3884,24.2,12.8,32,112,0.6,NA,NA,NA,NA,NA,NA
"EDDIELACY","RB","eds","GB","Eddie Lacy","GB",2,31,243.6,NA,NA,NA,NA,272,1224,10.6,41,360,3.6,NA,NA,NA
"ADRIANPETERSON","RB","eds","MIN","Adrian Peterson","MIN",3,32,241.4,NA,NA,NA,NA,298,1356,12.2,38,272,0.9,NA,NA,NA
"JAMAALCHARLES","RB","eds","KC","Jamaal Charles","KC",4,33,238.5,NA,NA,NA,NA,250,1263,8.5,50,390,3.7,NA,NA,NA
"MARSHAWNLYNCH","RB","eds","SEA","Marshawn Lynch","SEA",5,34,236.7,NA,NA,NA,NA,278,1237,12,32,278,2.2,NA,NA,NA
"CJANDERSON","RB","eds","DEN","C.J. Anderson","DEN",6,35,231.3,NA,NA,NA,NA,290,1334,10.2,34,265,1.7,NA,NA,NA
"ANTONIOBROWN","WR","eds","PIT","Antonio Brown","PIT",1,36,230.3,NA,NA,NA,NA,5,23,0,116,1554,12.1,NA,NA,NA
"JEREMYHILL","RB","eds","CIN","Jeremy Hill","CIN",7,37,222.2,NA,NA,NA,NA,295,1401,10.3,25,185,0.3,NA,NA,NA
"MATTFORTE","RB","eds","CHI","Matt Forte","CHI",8,38,219.6,NA,NA,NA,NA,280,1190,6.7,58,454,2.5,NA,NA,NA
"DEZBRYANT","WR","eds","DAL","Dez Bryant","DAL",2,39,218.4,NA,NA,NA,NA,0,0,0,91,1374,13.5,NA,NA,NA
"JULIOJONES","WR","eds","ATL","Julio Jones","ATL",3,40,217.9,NA,NA,NA,NA,2,6,0,106,1579,9.9,NA,NA,NA
"DEMARYIUSTHOMAS","WR","eds","DEN","Demaryius Thomas","DEN",4,41,213.4,NA,NA,NA,NA,0,0,0,99,1426,11.8,NA,NA,NA
"DEMARCOMURRAY","RB","eds","PHI","DeMarco Murray","PHI",9,42,210.2,NA,NA,NA,NA,280,1274,10.6,24,180,0.2,NA,NA,NA
"LESEANMCCOY","RB","eds","BUF","LeSean McCoy","BUF",10,43,207.5,NA,NA,NA,NA,308,1371,6.5,34,236,1.3,NA,NA,NA
"CALVINJOHNSON","WR","eds","DET","Calvin Johnson","DET",5,44,203.9,NA,NA,NA,NA,0,0,0,94,1457,9.7,NA,NA,NA
"MATTCASSEL","QB","eds","BUF","Matt Cassel","BUF",30,45,203.56,480,3254,20.1,17.3,24,91,0.2,NA,NA,NA,NA,NA,NA
"ODELLBECKHAM","WR","eds","NYG","Odell Beckham","NYG",6,46,201.9,NA,NA,NA,NA,9,50,0,97,1339,10.5,NA,NA,NA
"ROBGRONKOWSKI","TE","eds","NE","Rob Gronkowski","NE",1,47,197.8,NA,NA,NA,NA,NA,NA,NA,85,1216,12.7,NA,NA,NA
"BRIANHOYER","QB","eds","HOU","Brian Hoyer","HOU",31,48,197.48,451,3297,18.5,13.1,27,41,0.1,NA,NA,NA,NA,NA,NA
"FRANKGORE","RB","eds","IND","Frank Gore","IND",11,49,196.3,NA,NA,NA,NA,260,1105,8.1,34,282,1.5,NA,NA,NA
"AJGREEN","WR","eds","CIN","A.J. Green","CIN",7,50,186.9,NA,NA,NA,NA,2,11,0,88,1276,9.7,NA,NA,NA
"RANDALLCOBB","WR","eds","GB","Randall Cobb","GB",8,51,185.2,NA,NA,NA,NA,5,35,0.1,93,1265,9.1,NA,NA,NA
