"name","pos","sourceName","team","name_fp","team_fp","positionRank_fp","overallRank_fp","points_fp","passAtt_fp","passYds_fp","passTds_fp","passInt_fp","rushAtt_fp","rushYds_fp","rushTds_fp","rec_fp","recYds_fp","recTds_fp","returnTds_fp","twoPts_fp","fumbles_fp","dstBlk_fp","fg_fp","xp_fp","dstBlk_fp.1","fg_fp.1","fga_fp","xp_fp.1"
"ANDREWLUCK","QB","fp","IND","Andrew Luck ","IND",1,1,326.4,640,4720.1,35.3,16.1,55.5,258.6,2.3,0,0,0,0,0,5.5,0,0,0,0,0,0,0
"AARONRODGERS","QB","fp","GB","Aaron Rodgers","GB",2,2,319.9,546.6,4379.3,33.9,8.8,49,244.7,2,0,0,0,0,0,4.8,0,0,0,0,0,0,0
"RUSSELLWILSON","QB","fp","SEA","Russell Wilson ","SEA",3,3,299.2,462.9,3553.5,24.9,10.6,103.5,643.4,3.9,0,0,0,0,0,4.3,0,0,0,0,0,0,0
"DREWBREES","QB","fp","NO","Drew Brees","NO",4,4,295.5,621.8,4831.7,31.3,14.3,27.5,64.7,1.2,0,0,0,0,0,4.1,0,0,0,0,0,0,0
"PEYTONMANNING","QB","fp","DEN","Peyton Manning ","DEN",5,5,295.1,596.7,4638.9,34.7,13.2,26.7,9.9,0.5,0,0,0,0,0,3.5,0,0,0,0,0,0,0
"TOMBRADY","QB","fp","NE","Tom Brady","NE",6,6,282.5,605.2,4367.1,31.1,11.6,32.7,57.3,1.3,0,0,0,0,0,3.5,0,0,0,0,0,0,0
"MATTRYAN","QB","fp","ATL","Matt Ryan ","ATL",7,7,278.2,622.9,4678,28.3,14.7,26.6,93.4,0.8,0,0,0,0,0,3.4,0,0,0,0,0,0,0
"CAMNEWTON","QB","fp","CAR","Cam Newton ","CAR",8,8,274.3,501.3,3592.3,21.8,14.5,105,565.9,4.6,0,0,0,0,0,5.8,0,0,0,0,0,0,0
"TONYROMO","QB","fp","DAL","Tony Romo ","DAL",9,9,270.3,507.6,4090.9,31.9,11.3,27,67.8,0.8,0,0,0,0,0,4.9,0,0,0,0,0,0,0
"BENROETHLISBERGER","QB","fp","PIT","Ben Roethlisberger ","PIT",10,10,268.6,593.9,4539.5,28.7,13.4,28.1,68.6,0.4,0,0,0,0,0,5.3,0,0,0,0,0,0,0
