"name","cbs_fpts","espn_fpts","ffs_fpts","fp_fpts","numfire_fpts","hodges.lehmann","mean","risk","Ceiling","Floor","Tier","rank"
"Le'Veon Bell",21.24,22.08,24.77,22.18,23.12,22.6,22.7,1.2,23.9,21.5,7,1
"Jamaal Charles",23.52,23.04,21.84,22.27,21.71,22.4,22.5,0.7,23.2,21.8,7,2
"Matt Forte",17.75,18.83,17.64,18.53,19.35,18.5,18.4,0.6,19,17.8,7,3
"Devonta Freeman",16.93,19.58,16.83,18.71,16.16,17.8,17.7,1.3,19,16.4,6,4
"Arian Foster",15.78,18.68,13.46,16.63,15.85,16.1,16.1,1.7,17.8,14.4,6,5
"Todd Gurley",13.61,14.61,26.42,13.47,13.28,14,15.9,5.2,21.1,10.7,5,6
"DeMarco Murray",15.85,16.28,17.14,12.38,12.23,14.7,14.8,2.1,16.9,12.7,6,7
"Eddie Lacy",15.39,16.45,10.89,16.27,14.29,15.3,14.8,2.1,16.9,12.7,6,8
"Dion Lewis",13.65,17.42,12.34,15.38,14.12,14.5,14.6,1.7,16.3,12.9,6,9
"Justin Forsett",12.37,16.68,13.97,15.71,13.99,14.5,14.5,1.5,16,13,6,10
"Mark Ingram",12.08,14.89,15.82,14.56,12.77,14,14,1.4,15.4,12.6,6,11
"Joseph Randle",13.11,13.5,17.33,12.94,12.27,13.2,13.7,1.8,15.5,11.9,6,12
"Marshawn Lynch",10.78,13.9,13.01,14.4,16,13.7,13.6,1.7,15.3,11.9,6,13
"Latavius Murray",14.85,14.2,12.29,14.51,11.95,13.4,13.5,1.2,14.7,12.3,6,14
"Ameer Abdullah",12.31,14.6,15.69,10.96,10.76,12.8,12.9,2,14.9,10.9,6,15
"T.J. Yeldon",13.54,14.59,9.52,13.9,11.75,12.8,12.7,1.8,14.5,10.9,6,16
"Giovani Bernard",12.65,12.66,11.48,11.71,11.25,12,12,0.6,12.6,11.4,6,17
"Danny Woodhead",11.44,12.32,10.12,11.94,12.78,11.9,11.8,0.9,12.7,10.9,6,18
"Doug Martin",10.54,11.52,11.22,12.15,12.77,11.7,11.7,0.8,12.5,10.9,6,19
"Carlos Hyde",11.35,12.27,10.87,10.72,12.32,11.5,11.5,0.7,12.2,10.8,5,20
"C.J. Anderson",10.85,11.47,16.33,9.53,9.19,10.9,11.4,2.6,14,8.8,4,21
"Frank Gore",9.83,14.44,9.19,11.92,11.63,11.6,11.4,1.8,13.2,9.6,4,22
"Melvin Gordon",13.19,10.64,9.85,11.19,12.08,11.4,11.4,1.2,12.6,10.2,4,23
"Chris Johnson",10.6,10.63,8.69,11.95,12.25,10.6,10.8,1.3,12.1,9.5,4,24
"LeGarrette Blount",10.87,7.02,13.12,10.24,12.37,10.9,10.8,2.1,12.9,8.7,4,25
"Darren Sproles",10.67,9.49,8.27,11.77,11.45,10.5,10.4,1.3,11.7,9.1,4,26
"Alfred Morris",9.85,10.02,12.16,8.82,9.69,9.9,10.1,1.1,11.2,9,4,27
"Jeremy Hill",10.22,9.88,9.2,9.07,12.41,9.9,10.1,1.2,11.3,8.9,4,28
"Matt Jones",8.87,9.1,8.91,11.01,11.88,10,10,1.3,11.3,8.7,4,29
"Rashad Jennings",13.02,10.09,7.47,9.46,10.13,10.1,10,1.8,11.8,8.2,4,30
"C.J. Spiller",10,10.65,7.83,9.44,9.62,9.6,9.5,0.9,10.4,8.6,4,31
"Andre Ellington",10.04,9.21,12.42,8.24,7.18,9.2,9.4,1.8,11.2,7.6,4,32
"Isaiah Crowell",10.98,7.67,7.77,9.19,10.22,9.2,9.2,1.3,10.5,7.9,4,33
"Ronnie Hillman",8.96,10.39,8.88,10.52,7.48,9,9.2,1.1,10.3,8.1,4,34
"Shane Vereen",10.19,9.91,7.91,8.97,8.35,9.1,9.1,0.9,10,8.2,4,35
"Charles Sims",9.95,8.06,9.07,7.92,5.78,8.1,8.1,1.4,9.5,6.7,2,36
"Ryan Mathews",11.81,5.17,8.06,7.44,8.16,8.1,8.1,2.1,10.2,6,2,37
"Bishop Sankey",7.75,6.59,4.2,7.31,10.69,7.3,7.3,2.1,9.4,5.2,2,38
"Darren McFadden",6.06,9.03,6.41,6.7,8.39,7.4,7.3,1.2,8.5,6.1,2,39
"Theo Riddick",8.51,11.42,5.98,7.46,3.31,7.4,7.3,2.7,10,4.6,2,40
