"name","numfire_dkcost","cbs_fpts","espn_fpts","ffs_fpts","fftoday_fpts","fp_fpts","numfire_fpts","fft_fpts","hodges.lehmann","mean","risk","rank","best","worst","avg","sd","Ceiling","Floor","Tier"
"Julio Jones",9100,21.66,21.39,14.88,NA,22.47,20.94,NA,21.3,20.4,2.8,1,1,7,3.1,1.6,23.2,17.6,1
"Calvin Johnson",7700,20.16,19.71,20.98,NA,14.27,17.65,NA,18.9,18.6,2.4,2,3,11,7.5,2,21,16.2,1
"Odell Beckham",8700,12.93,15.98,19.91,NA,21.19,20.19,NA,18.1,18.1,3.1,3,1,8,3.2,1.7,21.2,15,1
"Larry Fitzgerald",7400,20.11,19.74,18.3,NA,13.83,15.06,NA,17.4,17.4,2.5,4,1,9,3.9,2.4,19.9,14.9,1
"DeAndre Hopkins",8600,15.61,16.29,16.7,NA,17.07,21.69,NA,16.7,17.3,2.2,5,1,7,3,2.3,19.5,15.1,1
"Brandon Marshall",7800,22.29,12.79,19.64,NA,13.55,12.65,NA,16.2,16.2,4,6,1,9,5.2,1.8,20.2,12.2,1
"Julian Edelman",8200,15.93,16.33,14.94,NA,15.25,18.74,NA,15.9,16.2,1.4,7,1,21,6.4,4.2,17.6,14.8,1
"Antonio Brown",7900,13.78,14.12,16.7,NA,14.89,20.94,NA,15.4,16,2.6,8,3,18,9.1,4.3,18.6,13.4,1
"Allen Robinson",6400,17.95,13.48,16.67,NA,11.56,13.35,NA,14.8,14.6,2.3,9,5,34,12.8,7.1,16.9,12.3,1
"T.Y. Hilton",6500,13.91,13.58,12.67,NA,13.61,19.8,NA,13.7,14.5,2.6,10,8,20,11.8,2.7,17.1,11.9,1
"Jeremy Maclin",6400,13.2,14.78,13.9,NA,13.59,15.69,NA,14.2,14.2,0.9,11,7,30,18.3,5.4,15.1,13.3,1
"Keenan Allen",7700,13.12,13.74,12.14,NA,13.89,17.57,NA,13.7,14,1.9,12,1,15,7.9,2.8,15.9,12.1,1
"Brandin Cooks",5500,14.47,12.57,13.5,NA,11.57,12.58,NA,13,12.9,1,13,17,39,24.2,5.1,13.9,11.9,2
"Jordan Matthews",6400,11.62,12.84,12.19,NA,11.49,13.65,NA,12.2,12.3,0.8,14,14,29,20.7,3.5,13.1,11.5,2
"Jarvis Landry",6200,11.84,11.39,10.9,NA,12.18,15.05,NA,11.8,12.2,1.5,15,9,34,15.3,5.5,13.7,10.7,2
"Willie Snead",4300,11.85,11.75,13.6,NA,10.56,11.68,NA,11.8,11.9,1,16,12,26,21.3,4.1,12.9,10.9,2
"Golden Tate",5200,11.89,10.67,10.99,NA,10.89,11.79,NA,11.3,11.3,0.5,17,18,31,25.4,4,11.8,10.8,2
"John Brown",5500,13.25,9.33,8.77,NA,11.96,12.62,NA,11,11.2,1.8,18,5,25,14.1,4.7,13,9.4,2
"Eric Decker",5300,17.3,9.47,8.62,NA,9.46,11.15,NA,10.3,11.1,3.2,19,11,20,13.3,2.8,14.3,7.9,2
"Anquan Boldin",4500,9.87,11.11,11.12,NA,9.66,11.79,NA,10.7,10.7,0.8,20,25,45,31.1,4.3,11.5,9.9,2
"Kendall Wright",5200,9.27,9.67,10.15,NA,10.57,13.04,NA,10.2,10.5,1.3,21,18,43,30,5.3,11.8,9.2,2
"Pierre Garcon",5000,12.63,11.13,8.28,NA,9.46,10.78,NA,10.5,10.5,1.5,22,18,32,23.2,4.1,12,9,2
"Allen Hurns",5300,11.98,9.66,8.31,NA,9.9,12,NA,10.2,10.3,1.4,23,9,28,18.3,4.4,11.7,8.9,2
"Travis Benjamin",5400,7.69,9.3,9.94,NA,10.51,13.6,NA,9.9,10.2,1.9,24,16,40,27.6,6.4,12.1,8.3,2
"Mike Wallace",4200,9.72,9.32,9.3,NA,8.89,9.63,NA,9.3,9.4,0.3,25,29,42,33.1,3.3,9.7,9.1,2
"Donte Moncrief",5200,7.07,10.1,7.88,NA,9.35,12.31,NA,9.3,9.3,1.8,26,15,39,24.1,5.3,11.1,7.5,2
"Doug Baldwin",4100,8.82,8.9,9.67,NA,8.56,9.63,NA,9.1,9.1,0.5,27,32,62,48.1,8,9.6,8.6,2
"Jamison Crowder",3700,9.21,9.69,7.03,NA,8.11,10.25,NA,8.9,8.9,1.2,28,31,54,37.7,6.6,10.1,7.7,2
"Cecil Shorts",3400,7.26,NA,8.96,NA,8.4,9.17,NA,8.5,8.5,0.7,29,35,51,40.1,4.6,9.2,7.8,2
