"name","pos","sourceName","team","name_fs","team_fs","positionRank_fs","overallRank_fs","points_fs","passYds_fs","passTds_fs","passInt_fs","rushAtt_fs","rushYds_fs","rushTds_fs","rec_fs","recYds_fs","recTds_fs","returnTds_fs","twoPts_fs","fumbles_fs"
"ANDREWLUCK","QB","fs","IND"," Andrew Luck ","IND",1,1,357,5026,37,17,64,322,3,0,0,0,0,0,4
"AARONRODGERS","QB","fs","GBP"," Aaron Rodgers ","GBP",2,2,349,4675,37,8,46,249,2,0,0,0,0,0,3
"RUSSELLWILSON","QB","fs","SEA"," Russell Wilson ","SEA",3,3,316,3678,26,10,96,575,5,0,0,0,0,0,1
"PEYTONMANNING","QB","fs","DEN"," Peyton Manning ","DEN",4,4,312,4652,40,12,21,0,0,0,0,0,0,0,5
"TOMBRADY","QB","fs","NEP"," Tom Brady ","NEP",5,5,309,4610,35,11,34,50,1,0,0,0,0,0,2
"CAMNEWTON","QB","fs","CAR"," Cam Newton ","CAR",6,6,292,3600,23,14,110,568,6,0,0,0,0,0,4
"TONYROMO","QB","fs","DAL"," Tony Romo ","DAL",7,7,289,3967,37,9,25,57,0,0,0,0,0,0,2
"BENROETHLISBERGER","QB","fs","PIT"," Ben Roethlisberger ","PIT",8,8,286,4748,30,13,33,71,1,0,0,0,0,0,5
"DREWBREES","QB","fs","NOS"," Drew Brees ","NOS",9,9,284,4326,31,13,26,55,2,0,0,0,0,0,2
"LEVEONBELL","RB","fs","PIT"," Le'Veon Bell ","PIT",1,10,274,0,0,0,313,1275,11,71,716,2,0,0,1
"RYANTANNEHILL","QB","fs","MIA"," Ryan Tannehill ","MIA",10,11,273,4115,28,14,48,276,1,0,0,0,0,0,4
"COLINKAEPERNICK","QB","fs","SFO"," Colin Kaepernick ","SFO",11,12,271,3244,22,8,110,660,2,0,0,0,0,0,4
"EDDIELACY","RB","fs","GBP"," Eddie Lacy ","GBP",2,13,260,0,0,0,308,1376,11,41,354,4,0,0,1
"MATTHEWSTAFFORD","QB","fs","DET"," Matthew Stafford ","DET",12,13,260,4445,26,15,37,95,2,0,0,0,0,0,6
"CJANDERSON","RB","fs","DEN"," C.J. Anderson ","DEN",3,15,258,0,0,0,267,1200,11,57,482,4,0,0,0
"JOEFLACCO","QB","fs","BAL"," Joe Flacco ","BAL",13,16,257,4100,27,17,40,99,2,0,0,0,0,0,1
"ADRIANPETERSON","RB","fs","MIN"," Adrian Peterson ","MIN",4,17,256,0,0,0,322,1375,13,49,350,2,0,0,3
"DEMARYIUSTHOMAS","WR","fs","DEN"," Demaryius Thomas ","DEN",1,17,256,0,0,0,0,0,0,115,1685,15,0,0,1
"ELIMANNING","QB","fs","NYG"," Eli Manning ","NYG",14,17,256,4577,28,17,15,32,0,0,0,0,0,0,4
"SAMBRADFORD","QB","fs","PHI"," Sam Bradford ","PHI",15,20,255,4251,26,18,49,153,2,0,0,0,0,0,5
"MATTRYAN","QB","fs","ATL"," Matt Ryan ","ATL",16,21,254,4323,26,12,20,88,0,0,0,0,0,0,3
"JAMAALCHARLES","RB","fs","KCC"," Jamaal Charles ","KCC",5,22,252,0,0,0,246,1239,11,55,451,4,0,0,3
"ALEXSMITH","QB","fs","KCC"," Alex Smith ","KCC",17,23,247,3426,22,7,63,343,1,0,0,0,0,0,2
"JAYCUTLER","QB","fs","CHI"," Jay Cutler ","CHI",18,24,242,3725,25,14,35,194,2,0,0,0,0,0,5
"JULIOJONES","WR","fs","ATL"," Julio Jones ","ATL",2,25,238,0,0,0,1,4,0,107,1565,14,0,0,1
"PHILIPRIVERS","QB","fs","SDC"," Philip Rivers ","SDC",19,26,237,3921,28,17,29,72,0,0,0,0,0,0,2
"DEZBRYANT","WR","fs","DAL"," Dez Bryant ","DAL",3,26,237,0,0,0,1,1,0,96,1375,17,0,0,1
"MARSHAWNLYNCH","RB","fs","SEA"," Marshawn Lynch ","SEA",6,28,233,0,0,0,261,1200,13,29,257,2,0,0,1
"ODELLBECKHAM","WR","fs","NYG"," Odell Beckham ","NYG",4,29,232,0,0,0,7,35,0,104,1475,14,0,0,1
"KIRKCOUSINS","QB","fs","WAS"," Kirk Cousins ","WAS",20,30,229,4041,20,19,60,286,2,0,0,0,0,0,7
"MATTFORTE","RB","fs","CHI"," Matt Forte ","CHI",7,31,228,0,0,0,269,1137,7,65,535,4,0,0,2
"NICKFOLES","QB","fs","STL"," Nick Foles ","STL",21,32,226,3724,24,15,31,88,2,0,0,0,0,0,4
"JEREMYHILL","RB","fs","CIN"," Jeremy Hill ","CIN",8,33,225,0,0,0,267,1250,11,39,301,1,0,0,1
"RYANFITZPATRICK","QB","fs","NYJ"," Ryan Fitzpatrick ","NYJ",22,34,224,3319,18,10,70,285,3,0,0,0,0,0,3
"CALVINJOHNSON","WR","fs","DET"," Calvin Johnson ","DET",5,34,224,0,0,0,0,0,0,91,1463,13,0,0,0
"MARCUSMARIOTA","QB","fs","TEN"," Marcus Mariota ","TEN",23,36,220,3240,19,12,49,258,3,0,0,0,0,0,2
"CARSONPALMER","QB","fs","ARI"," Carson Palmer ","ARI",24,37,218,3950,25,20,25,41,0,0,0,0,0,0,2
"DEREKCARR","QB","fs","OAK"," Derek Carr ","OAK",24,37,218,3624,24,14,46,186,0,0,0,0,0,0,6
"ROBGRONKOWSKI","TE","fs","NEP"," Rob Gronkowski ","NEP",1,39,216,0,0,0,0,0,0,97,1326,14,0,0,0
"ANDYDALTON","QB","fs","CIN"," Andy Dalton ","CIN",26,40,215,3325,22,20,57,185,4,0,0,0,0,0,4
"TYRODTAYLOR","QB","fs","BUF"," Tyrod Taylor ","BUF",27,41,214,3349,18,13,43,255,3,0,0,0,0,0,4
"RANDALLCOBB","WR","fs","GBP"," Randall Cobb ","GBP",6,41,214,0,0,0,10,34,0,95,1375,13,0,0,2
"TEDDYBRIDGEWATER","QB","fs","MIN"," Teddy Bridgewater ","MIN",28,43,213,3464,18,15,54,235,2,0,0,0,0,0,1
"DEMARCOMURRAY","RB","fs","PHI"," DeMarco Murray ","PHI",9,44,210,0,0,0,266,1250,11,35,278,0,0,0,4
"CARLOSHYDE","RB","fs","SFO"," Carlos Hyde ","SFO",10,45,209,0,0,0,279,1325,10,26,171,1,0,0,3
"ANTONIOBROWN","WR","fs","PIT"," Antonio Brown ","PIT",7,46,204,0,0,0,4,6,0,112,1466,10,0,0,1
"BLAKEBORTLES","QB","fs","JAC"," Blake Bortles ","JAC",29,47,198,3271,17,18,64,384,0,0,0,0,0,0,1
"MARKINGRAM","RB","fs","NOS"," Mark Ingram ","NOS",11,47,198,0,0,0,255,1175,10,44,257,0,0,0,2
"JUSTINFORSETT","RB","fs","BAL"," Justin Forsett ","BAL",12,49,196,0,0,0,175,975,7,65,475,2,0,0,1
"BRIANHOYER","QB","fs","HOU"," Brian Hoyer ","HOU",30,50,193,3542,16,13,44,120,1,0,0,0,0,0,2
"MIKEEVANS","WR","fs","TBB"," Mike Evans ","TBB",8,51,191,0,0,0,0,0,0,75,1150,13,0,0,1
"JORDANMATTHEWS","WR","fs","PHI"," Jordan Matthews ","PHI",9,52,188,0,0,0,0,2,0,85,1286,10,0,0,0
"AJGREEN","WR","fs","CIN"," A.J. Green ","CIN",10,53,187,0,0,0,2,8,0,95,1375,9,0,0,2
"FRANKGORE","RB","fs","IND"," Frank Gore ","IND",13,53,187,0,0,0,247,1126,5,32,274,4,0,0,3
"EMMANUELSANDERS","WR","fs","DEN"," Emmanuel Sanders ","DEN",11,55,182,0,0,0,5,30,0,98,1250,9,0,0,0
"BRANDINCOOKS","WR","fs","NOS"," Brandin Cooks ","NOS",12,56,178,0,0,0,8,47,1,89,1200,8,0,0,0
