"name","espn_team","espn_rushatt","espn_rushyd","espn_rushtd","espn_recpts","espn_recyd","espn_rectd","espn_fpts","fft_team","fft_rushatt","fft_rushyd","fft_rushtd","fft_recpts","fft_recyd","fft_rectd","fft_fpts","ffs_team","ffs_rushatt","ffs_rushyd","ffs_rushtd","ffs_recpts","ffs_recyd","ffs_rectd","ffs_fpts"
"Adrian Peterson"," MIN",18.5,91,0.6,2.8,23.2,0.1,18,"MIN",21,85,1,3,25,0,20,"MIN",18.74,80,0.5,2.71,22,0.01,18.71
"Alfred Blue"," HOU",10.6,42.8,0.3,1,8.1,0,6.9,"HOU",7,25,0,1,5,0,4,"HOU",13.4,55,0.2,2.42,19,0.08,9.42
"Alfred Morris"," WSH",11.7,47.7,0.4,0.5,4.2,0,6.7,"WAS",15,60,1,1,5,0,13.5,"WAS",17.05,72,0.34,0.82,7,0,8.82
"Alonzo Harris"," GB ",4.5,18.6,0.1,0.5,3.6,0,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ameer Abdullah"," DET",10.4,46.1,0.3,3.7,30.6,0.1,13,"DET",10,40,1,4,30,0,17,"DET",8.94,38,0.42,2,18,0.11,8
"Andre Williams"," NYG",8.7,33.5,0.3,0.1,1.1,0,4.6,NA,NA,NA,NA,NA,NA,NA,NA,"NYG",8.73,31,0.26,0.75,6,0,4.75
"Benjamin Cunningham"," STL",1.8,7.6,0.1,3.5,28.7,0.1,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bilal Powell"," NYJ",15.1,56.1,0.3,3.2,25.4,0.1,12.7,"NYJ",9,35,0,3,20,0,8.5,"NYJ",9.7,43,0.08,2.46,15,0,8.46
"Bishop Sankey"," TEN",10.7,42.9,0.3,1.7,13.1,0.1,8.7,"TEN",13,55,0,2,15,0,9,"TEN",6.17,24,0.13,0.68,5,0.08,3.68
"C.J. Anderson"," DEN",13.8,57.5,0.5,3.3,27.1,0.1,13.5,"DEN",14,50,1,2,10,0,14,"DEN",14.75,61,0.51,3.07,23,0.12,17.07
"C.J. Spiller"," NO ",4,17.7,0.1,4.1,33.5,0.1,9.3,"NO",4,15,0,3,25,0,7,"NOS",6.84,25,0.06,2.08,18,0.03,6.08
"Carlos Hyde"," SF ",15.5,67.5,0.4,2.2,17.3,0.1,12.2,"SF",21,75,1,2,15,0,17,"SFO",12.77,64,0.48,2.08,14,0.07,10.08
"Charles Sims"," TB ",5.2,20,0.1,2.9,23.8,0.1,7.8,"TB",3,10,0,3,20,0,6,"TBB",5.72,19,0.05,1.83,16,0,5.83
"Chris Johnson"," ARI",17,70.9,0.4,1,8.4,0,10.6,"ARI",12,60,0,1,10,0,8,"ARI",11.69,46,0.15,1.22,8,0.03,6.22
"Chris Polk"," HOU",11.8,49.7,0.4,1.5,12.4,0.1,9.4,"HOU",10,45,0,1,10,0,6.5,"HOU",6.27,21,0.09,0.73,6,0.05,3.73
"Chris Thompson"," WSH",1.4,5.2,0,1.8,14.9,0,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Damien Williams"," MIA",5.2,19.3,0.1,1.4,12.9,0.1,4.4,"MIA",2,10,0,1,10,0,3,"MIA",2.52,8,0.06,1.77,13,0.17,3.77
"Danny Woodhead"," SD ",6.8,29.7,0.1,4.2,39.1,0.2,11.3,"SD",8,30,0,6,40,0,13,"SDC",7.53,27,0.31,3.59,29,0.12,9.59
"Darren McFadden"," DAL",9.6,37,0.3,0.7,5.8,0,5.4,"DAL",6,30,0,1,5,0,4.5,"DAL",5,17,0.03,1.19,9,0,4.19
"Darren Sproles"," PHI",3.8,15.2,0.1,3.5,28.2,0.1,7.6,"PHI",3,10,0,4,35,0,8.5,"PHI",2.57,14,0.22,2.49,19,0,5.49
"David Johnson"," ARI",7.6,33.5,0.3,3,23.8,0.1,10.5,"ARI",9,40,1,4,25,0,16.5,"ARI",4.7,18,0.08,0.67,12,0.16,3.67
