"name","cbs_fpts","espn_fpts","ffs_fpts","fp_fpts","numfire_fpts","hodges.lehmann","mean","risk","Ceiling","Floor","Tier","rank"
"Le'Veon Bell",18.03,17.8,30.33,22.5,22.97,22.5,22.4,4.5,26.9,17.9,7,1
"Matt Forte",19.4,19.4,19.32,19,19.26,19.3,19.3,0.1,19.4,19.2,7,2
"Devonta Freeman",16.34,19.8,20.15,18.7,16,18.1,18.2,1.7,19.9,16.5,7,3
"Arian Foster",16.96,15.6,13.32,16.2,15.72,15.7,15.6,1.2,16.8,14.4,6,4
"Mark Ingram",14.21,13.9,22.56,14.3,12.65,14.2,15.3,3.6,18.9,11.7,5,5
"Latavius Murray",18,15.3,14.96,14.1,11.91,15,14.9,2,16.9,12.9,6,6
"Eddie Lacy",15.26,15.8,10.57,15.9,14.33,15.1,14.5,2,16.5,12.5,6,7
"Todd Gurley",8.32,8.2,31,13.3,13.17,13.2,14.5,8.4,22.9,6.1,3,8
"Justin Forsett",12.61,13.9,14.89,16.2,13.94,14.4,14.3,1.2,15.5,13.1,6,9
"Joseph Randle",14.47,12.9,18.91,12.5,12.16,13.5,14.1,2.5,16.6,11.6,5,10
"DeMarco Murray",11.62,11,22.1,12.6,12.13,12.1,13.6,4.2,17.8,9.4,5,11
"Ameer Abdullah",15.03,11.1,15.57,11.4,10.69,13.1,12.8,2.1,14.9,10.7,5,12
"T.J. Yeldon",13.72,12.5,11.24,13.9,11.67,12.6,12.6,1.1,13.7,11.5,5,13
"C.J. Anderson",14.04,13,15.27,9.6,9.14,12.2,12.2,2.4,14.6,9.8,5,14
"Giovani Bernard",14.32,11.9,12.62,11.2,11.07,11.9,12.2,1.2,13.4,11,5,15
"Melvin Gordon",12.77,13.3,11.15,10.7,11.99,12,12,1,13,11,5,16
"Carlos Hyde",13.27,13.4,9.45,10.9,12.19,12.1,11.9,1.5,13.4,10.4,5,17
"Jeremy Hill",13.36,11.3,13.04,8.7,12.43,12.2,11.8,1.7,13.5,10.1,5,18
"Danny Woodhead",9.32,11.7,11.94,12.2,12.64,11.9,11.6,1.2,12.8,10.4,5,19
"Frank Gore",9.74,13.4,8.49,12.1,11.55,10.9,11,1.7,12.7,9.3,5,20
"Doug Martin",8.83,9.2,11.94,12.2,12.59,10.7,10.9,1.6,12.5,9.3,5,21
"Chris Johnson",12.69,9.4,8.05,11.7,12.15,10.8,10.8,1.8,12.6,9,5,22
"Darren Sproles",11.36,9.1,9.63,11.6,11.45,10.5,10.6,1,11.6,9.6,5,23
"Thomas Rawls",15.11,8.2,3.69,12,11.24,10.1,10.1,3.9,14,6.2,3,24
"Matt Jones",8.08,9.7,8.43,10.3,11.8,9.7,9.7,1.3,11,8.4,4,25
"Shane Vereen",9.38,9.6,10.75,9.1,8.33,9.4,9.4,0.8,10.2,8.6,5,26
"C.J. Spiller",7.59,11.1,8.33,9.6,9.49,9.3,9.2,1.2,10.4,8,3,27
"Theo Riddick",9.37,7.9,12.57,8.7,7.26,8.7,9.1,1.9,11,7.2,3,28
"Isaiah Crowell",9.77,9,6.87,8.9,10.04,9,8.9,1.1,10,7.8,3,29
"Ryan Mathews",17.5,6.8,6.24,7,8.12,7.5,8.9,4.3,13.2,4.6,1,30
"Alfred Morris",8.52,6.3,11.06,8.7,9.61,8.7,8.8,1.6,10.4,7.2,3,31
"Rashad Jennings",10.11,7.4,6.49,9.8,10.07,8.7,8.8,1.5,10.3,7.3,3,32
"Ronnie Hillman",8.98,7.1,8.22,10.4,7.39,8.2,8.4,1.2,9.6,7.2,3,33
"Andre Ellington",9.43,5.8,11.3,7.6,7.07,8.2,8.2,1.9,10.1,6.3,3,34
"Charles Sims",9.57,7.6,9.47,8.1,5.72,8.1,8.1,1.4,9.5,6.7,3,35
"David Johnson",8.39,8.3,7.54,5.6,4.76,7,6.9,1.5,8.4,5.4,3,36
"Alfred Blue",7.04,7.4,5.85,6,7.74,6.8,6.8,0.8,7.6,6,3,37
"Darren McFadden",5.858,4.7,6.27,7.3,8.26,6.5,6.5,1.2,7.7,5.3,3,38
"Reggie Bush",7.36,7.8,6.57,6,4.07,6.6,6.4,1.3,7.7,5.1,1,39
"Fred Jackson",6.01,4.9,9.15,5.9,5.85,5.9,6.3,1.5,7.8,4.8,1,40
