"name","cbs_team","cbs_rushatt","cbs_rushyd","cbs_rushtd","cbs_recpts","cbs_recyd","cbs_rectd","cbs_fl","cbs_fpts","espn_team","espn_rushatt","espn_rushyd","espn_rushtd","espn_recpts","espn_recyd","espn_rectd","espn_fpts","ffs_team","ffs_rushatt","ffs_rushyd","ffs_rushtd","ffs_recpts","ffs_recyd","ffs_rectd","ffs_fpts","fp_team","fp_rushatt","fp_rushyd","fp_rushtd","fp_recpts","fp_recyd","fp_rectd","fp_fl","fp_fpts","numfire_team","numfire_rank","numfire_rushatt","numfire_rushyd","numfire_rushtd","numfire_recpts","numfire_recyd","numfire_rectd","numfire_fpts"
"Adrian Peterson","MIN",18.5,91.3,0.6,2.1,21.6,0.1,0.2,17.24," MIN",19.2,88.3,0.9,2.1,17.6,0.1,16.8,"MIN",16.5,75,0.58,2.25,17,0.01,17.25,"MIN",19.1,87.4,0.8,2.3,19.6,0.1,"0.2",17.8,"MIN","5",19.3,79.82,0.72,2.97,24,0.11,17.78
"Alfred Blue","HOU",10.9,41.6,0.3,1.1,7.6,0,0.1,7.63," HOU",6.7,25.1,0.1,0.3,2.3,0,3.2,"HOU",8.31,28,0.14,0.73,6,0.02,3.73,"HOU",6.7,26.4,0.2,0.7,5.6,0,"0.1",4.8,"HOU","53",4.34,18.92,0.13,1.25,10.67,0.05,5.27
"Alfred Morris","WAS",12.5,47.2,0.2,1,6.7,0,0.1,7.4," WSH",11.9,42.5,0.2,0.6,4.6,0,5.9,"WAS",14.36,58,0.23,0.74,6,0,6.74,"WAS",12.5,46.4,0.3,0.9,6.4,0,"0.1",7.5,"WSH","28",14.26,51.83,0.32,1.79,12.56,0.02,10.11
"Ameer Abdullah","DET",9.9,39.2,0.5,2.2,22.1,0.2,0.1,12.38," DET",9.6,41.5,0.3,2,16.5,0.1,9,"DET",9.09,35,0.29,2.61,24,0.19,8.61,"DET",10.5,42.7,0.4,2.3,19.7,0.1,"0.1",11.3,"DET","15",11.1,45.28,0.41,3.18,24.04,0.05,12.77
"Andre Ellington","ARI",9.3,46.4,0.3,2.3,19.6,0.1,0.3,10.67," ARI",5.5,19.6,0.2,2.5,22.3,0.1,7.1,"ARI",9.85,43,0.28,1.68,11,0.07,6.68,"ARI",7.8,33.3,0.2,2.3,19.1,0.1,"0.2",8.9,"ARI","36",9.22,38.21,0.23,1.52,12.35,0.03,8.12
"Andre Williams","NYG",7.2,23.4,0.3,0.7,4.9,0,0.1,5.129," NYG",9.8,34,0.2,0.1,1.2,0,4.4,"NYG",8.44,27,0.25,0.5,4,0,3.5,"NYG",8.2,27.5,0.2,0.6,4.1,0,"0.1",5,"NYG","54",7.57,24.63,0.12,1.17,6.27,0.05,5.16
"Antonio Andrews","TEN",6.7,28.6,0.2,1.4,15.7,0.1,0.1,7.44," TEN",11.6,45.7,0.5,0.6,4.8,0,7.4,"TEN",5.9,21,0.07,0.67,6,0,3.67,"TEN",7.7,31.5,0.3,1.2,11,0.1,"0.1",7.3,"TEN","47",4.76,20.32,0.16,1.48,12.62,0.06,6.14
"Arian Foster","HOU",17.4,70.1,0.5,3.8,30.6,0.2,0.2,17.62," HOU",16.9,72.6,0.4,4.3,34,0.1,17.6,"HOU",12.74,53,0.23,2.48,21,0.12,9.48,"HOU",17.1,71.2,0.5,3.9,32.5,0.2,"0.2",17.9,"HOU","2",16.72,70.16,0.48,4,38.12,0.16,18.44
"Bilal Powell","NYJ",8.1,35.4,0.2,3.2,25.1,0.1,0.1,10.89," NYJ",6.3,24.1,0.1,3.3,26.9,0.1,8.6,"NYJ",5.95,25,0.04,1.91,12,0,5.91,"NYJ",6.1,24.7,0.1,2.7,21.5,0.1,"0.1",8.6,"NYJ","43",4.46,17.25,0.09,2.33,18.15,0.03,6.63
"Bishop Sankey","TEN",9.5,39.9,0.2,1.5,13.2,0.2,0.1,8.99," TEN",9.2,39.1,0.2,1,7.4,0,5.6,"TEN",5.14,19,0.08,0.76,7,0.05,3.76,"TEN",9.7,39.9,0.2,1.6,12.7,0.1,"0.1",8.5,"TEN","27",11,46.68,0.21,2.29,18.26,0.11,10.58
"C.J. Anderson","DEN",10.4,45.2,0.2,2,18.4,0.1,0.1,9.95," DEN",13.2,60,0.4,1.6,13.4,0,11.3,"DEN",15.31,58,0.39,2.97,25,0.09,10.97,"DEN",10.5,45.8,0.3,2.2,18.1,0.1,"0.1",10.4,"DEN","31",7.52,32.11,0.14,2.87,22.54,0.02,9.08
"C.J. Spiller","NO",5,24.4,0.1,3,29.7,0.2,0.1,10.06," NO ",2.7,12.6,0.1,4.1,38.5,0.1,9.4,"NO",4.89,16,0.07,2.81,30,0.14,7.81," NO",4.3,19.7,0.1,3,28,0.2,"0.1",9.1,"NO","48",5.69,24.66,0.12,1.31,10.84,0.1,6.1
"Carlos Hyde","SF",15.9,65.2,0.5,1.4,8.3,0,0.1,11.58," SF ",17.2,68.1,0.7,1.5,12,0.1,12.6,"SFO",9.1,41,0.31,0.92,6,0.03,5.92," SF",17.3,66.9,0.6,1.6,10.9,0,"0.1",12.9,"SF","10",18.41,75.49,0.51,2.15,14.01,0.07,14.26
"Charcandrick West","KC",11.3,55.5,0.4,1.5,9.6,0,0.1,10.2," KC ",11.3,50.2,0.4,2.3,18.7,0.1,10.7,"KC",13,60,0.29,2,22,0.21,10," KC",12.2,56.2,0.4,1.9,14.4,0,"0.1",11.4,"KC","21",13.57,60.25,0.44,2.04,15.29,0,12.13
"Chris Johnson","ARI",14.8,69,0.3,2.1,18.7,0.1,0.1,13.09," ARI",14.7,57.9,0.4,0.9,7.1,0,8.4,"ARI",12.89,63,0.28,1.28,11,0.03,8.28,"ARI",14.2,61.4,0.4,1.8,13.6,0,"0.1",11.6,"ARI","17",13.73,57.74,0.37,2.8,17.72,0.07,12.57
"Chris Thompson","WAS",3.2,12.2,0.1,2.3,17.9,0.2,0.1,6.87," WSH",3.1,11.7,0,3.6,34.1,0.1,8.2,"WAS",1.93,12,0.02,1.99,14,0.11,4.99,"WAS",2.8,10.6,0,2.6,21.1,0.1,"0.1",6.4,"WSH","65",1.52,5.46,0.03,1.46,12.25,0.03,3.55
"Damien Williams","MIA",3.4,14.9,0.1,1.4,8.4,0.1,0.1,4.71," MIA",1.8,6.9,0.1,1.1,10.5,0.1,2.8,"MIA",2.02,8,0.05,1.42,10,0.13,3.42,"MIA",2.5,10,0.1,1.1,8.3,0.1,"0.1",3.5,"MIA","67",2.04,7.36,0,1.26,10.32,0.02,3.11
"Danny Woodhead","SD",5.7,27.9,0.2,2.8,28.8,0.1,0.1,10.04," SD ",7.8,34.2,0.1,3.7,33.9,0.2,11.6,"SD",6.84,27,0.19,3.36,34,0.07,9.36," SD",7.1,30.5,0.2,3.9,35,0.2,"0.1",12.1,"SD","11",6.78,27.79,0.16,4.91,46.17,0.2,14.25
"Darren Sproles","PHI",4.9,20.6,0.2,3.2,30.3,0.1,0.1,9.88," PHI",4.5,19.1,0.1,2.9,24.3,0.1,7.4,"PHI",4.34,19,0.28,2.34,18,0,6.34,"PHI",5,22,0.2,3.3,28.7,0.1,"0.1",10.1,"PHI","25",5.53,25.25,0.19,3.64,29.18,0.12,10.9
"David Johnson","ARI",3.4,15.4,0.3,1.8,20.8,0.2,0.2,7.98," ARI",3.5,14.1,0.1,1.4,15.4,0.1,4.9,"ARI",2.5,12,0.41,1.13,16,0.22,4.13,"ARI",3.5,14.3,0.3,1.7,16.2,0.1,"0.1",6.8,"ARI","41",3.76,14.87,0.2,2.03,15.48,0.09,6.82
"DeMarco Murray","PHI",14.6,61,0.6,3.3,23.8,0.1,0.2,15.57," PHI",14.5,60.9,0.6,3.4,27.1,0.1,15.4,"PHI",18.93,77,0.58,3.64,25,0.18,19.64,"PHI",14.6,60.9,0.5,3.1,23.5,0.1,"0.2",14.8,"PHI","7",17.28,73.87,0.25,3.49,27.62,0.11,15.6
"Devonta Freeman","ATL",13.1,71.3,0.9,3.9,39,0.1,0.1,20.7," ATL",19.2,92.6,0.9,4.1,37.9,0.2,22.3,"ATL",10.97,49,0.78,3,29,0.02,17,"ATL",15.8,74.4,0.8,4.1,36.8,0.1,"0.1",20.2,"ATL","4",13.56,60.7,0.54,4.24,40.71,0.12,18.3
"Dexter McCluster","TEN",4,15.9,0.1,2,19.2,0.1,0.1,6.48," TEN",5.6,23.7,0.1,1.6,14.6,0.1,6,"TEN",3.56,15,0,1.62,14,0.04,4.62,"TEN",5.2,21,0.1,1.6,13.7,0.1,"0.1",6,"TEN","45",4.77,21.4,0.07,2.06,14.92,0.04,6.31
"Dion Lewis","NE",12.1,58.8,0.4,3.9,37.6,0.1,0.3,15.96," NE ",8.4,37.6,0.4,4.5,40.4,0.1,14.2,"NEP",11.05,54,0.75,4.02,39,0.18,19.02," NE",8.7,40.1,0.3,4.4,40.7,0.2,"0.2",15.2,"NE","9",6.73,31.98,0.23,4.18,40.89,0.31,14.67
"Eddie Lacy","GB",16,79.9,0.6,2.2,20.7,0.1,0.1,16.25," GB ",17.6,88,0.5,2.7,18.5,0.2,15.7,"GB",17.77,76,0.49,2.33,22,0.1,12.33," GB",16.7,80,0.5,2.4,19.9,0.1,"0.1",16.1,"GB","6",17.37,78.08,0.36,2.88,24.24,0.14,15.99
"Frank Gore","IND",14.3,58,0.4,1.6,12.3,0.1,0.3,11.07," IND",15.2,68.2,0.4,2.2,18.1,0.1,12,"IND",13.55,58,0.41,1.49,9,0.03,8.49,"IND",15.2,63,0.4,1.9,14.5,0.1,"0.2",12.2,"IND","17",14.37,58.11,0.41,2.38,16.6,0.07,12.57
"Giovani Bernard","CIN",13.7,64.2,0.2,3.6,24.3,0.1,0.1,14.07," CIN",12.9,51.2,0.4,3.4,26.2,0.1,13.2,"CIN",13,63,0.63,2.79,17,0.04,16.79,"CIN",12.8,57.1,0.3,3.2,22.9,0.1,"0.1",13.2,"CIN","16",13.51,59.13,0.27,3.11,21.01,0.02,12.58
