"name","cbs_fpts","espn_fpts","ffs_fpts","fp_fpts","fft_fpts","numfire_fpts","mean","risk","Ceiling","Floor","Tier","rank"
"Martellus Bennett",11.89,12.5,14.94,14.6,NA,14.39,13.7,1.4,15.1,12.3,7,1
"Greg Olsen",15.12,11.8,NA,NA,NA,NA,13.5,2.3,15.8,11.2,7,2
"Travis Kelce",13,12,12.56,14.4,NA,12.92,13,0.9,13.9,12.1,7,3
"Tyler Eifert",14.16,10.3,16.46,12.5,NA,11.45,13,2.4,15.4,10.6,7,4
"Jason Witten",10.91,11.6,14.76,12,NA,13.35,12.5,1.5,14,11,7,5
"Charles Clay",10.83,10.2,13.37,12.8,NA,10.94,11.6,1.4,13,10.2,7,6
"Jimmy Graham",11.61,10.9,12.19,11.4,NA,11.88,11.6,0.5,12.1,11.1,7,7
"Kyle Rudolph",9.56,10.1,NA,NA,NA,NA,9.8,0.4,10.2,9.4,7,8
"Larry Donnell",6.6,9.3,11.71,8.4,NA,7.93,8.8,1.9,10.7,6.9,5,9
"Coby Fleener",9.86,8.1,10.13,7.1,NA,7.8,8.6,1.3,9.9,7.3,5,10
"Heath Miller",7.72,6.2,11.72,7.3,NA,9.74,8.5,2.2,10.7,6.3,5,11
"Jared Cook",6.82,9.1,9.93,8.7,NA,7.57,8.4,1.2,9.6,7.2,5,12
"Zach Ertz",7.2,8.7,10.23,7.2,NA,7.69,8.2,1.3,9.5,6.9,5,13
"Owen Daniels",5.56,7.6,9.19,9.3,NA,9,8.1,1.6,9.7,6.5,5,14
"Jordan Cameron",8.04,7.7,NA,NA,NA,NA,7.9,0.2,8.1,7.7,5,15
"Ladarius Green",10.66,9.6,7.13,6.5,NA,5,7.8,2.3,10.1,5.5,4,16
"Derek Carrier",4.88,NA,11.82,6.6,NA,7.11,7.6,3,10.6,4.6,4,17
"Maxx Williams",9.04,7.6,7.36,6.2,NA,6.31,7.3,1.2,8.5,6.1,5,18
"Gary Barnidge",5.66,5.3,9.91,8.2,NA,7.17,7.2,1.9,9.1,5.3,4,19
"Richard Rodgers",5.96,8.3,7.42,7.3,NA,6.83,7.2,0.9,8.1,6.3,5,20
"Mychal Rivera",7.92,4.9,7.78,4.5,NA,6.05,6.2,1.6,7.8,4.6,4,21
"Clay Harbor",8.28,5.2,5.67,3.4,NA,NA,5.6,2,7.6,3.6,2,22
"Garrett Graham",6.06,5.1,5.87,4.8,NA,6.16,5.6,0.6,6.2,5,4,23
"Garrett Celek",5.78,6.6,3.24,6.4,NA,4.76,5.4,1.4,6.8,4,4,24
"Benjamin Watson",6.49,5.8,NA,5,NA,3.63,5.2,1.2,6.4,4,4,25
"Darren Fells",7.65,5,2.73,4.8,NA,5.11,5.1,1.7,6.8,3.4,2,26
"Brandon Myers",4.1,5.3,6.07,4.2,NA,NA,4.9,0.9,5.8,4,4,27
"Lance Kendricks",4.8,4.7,4.37,5,NA,3.3,4.4,0.7,5.1,3.7,2,28
"Brent Celek",4.3,NA,5.63,3.2,NA,3.86,4.2,1,5.2,3.2,2,29
"Jermaine Gresham",4.99,3.1,6.1,3.6,NA,3.13,4.2,1.3,5.5,2.9,2,30
"Marcedes Lewis",4.36,4.8,3.19,3.7,NA,4.98,4.2,0.8,5,3.4,2,31
"Nick Boyle",4.07,NA,NA,4.4,NA,NA,4.2,0.2,4.4,4,4,32
"Virgil Green",5.7,NA,3.11,3.4,NA,4.28,4.1,1.2,5.3,2.9,2,33
"Kellen Davis",5.28,2.6,NA,NA,NA,NA,3.9,1.9,5.8,2,2,34
"Luke Willson",5.58,2.4,4.16,3.5,NA,3.78,3.9,1.2,5.1,2.7,2,35
"Josh Hill",6.89,2.6,2.88,3.5,NA,3.1,3.8,1.8,5.6,2,2,36
"Ed Dickson",4.65,2.8,NA,NA,NA,NA,3.7,1.3,5,2.4,2,37
"Gavin Escobar",5.68,3.5,2.59,3.5,NA,2.63,3.6,1.3,4.9,2.3,2,38
"Jim Dray",4.42,NA,2.72,NA,NA,NA,3.6,1.2,4.8,2.4,2,39
"Lee Smith",4.46,NA,2.74,NA,NA,NA,3.6,1.2,4.8,2.4,2,40
"Rob Housler",4.4,NA,NA,2.6,NA,NA,3.5,1.3,4.8,2.2,2,41
"James O'Shaughnessy",4.14,NA,2.82,2.6,NA,3.28,3.2,0.7,3.9,2.5,2,42
"MarQueis Gray",2.51,NA,NA,2.5,NA,NA,2.5,0,2.5,2.5,2,43
