"name","cbs_team","cbs_recpts","cbs_yd","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","fft_team","fft_recpts","fft_yd","fft_td","fft_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts","fp_team","fp_recpts","fp_yd","fp_td","fp_fl","fp_fpts","numfire_team","numfire_recpts","numfire_yd","numfire_td","numfire_fpts"
"Benjamin Watson","NO",2.8,28.5,0.2,0.2,6.49," NO ",2.5,29,0.2,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," NO",2.3,24.4,0.1,"0.1",5,"NO",1.79,15.16,0.06,3.63
"Brandon Myers","TB",1.9,15.7,0.1,0,4.1," TB ",2.5,26.3,0.1,5.3,NA,NA,NA,NA,NA,"TB",2.07,21,0.13,6.07," TB",1.8,18.5,0.1,"0.0",4.2,NA,NA,NA,NA,NA
"Brent Celek","PHI",1.7,21.7,0.1,0.1,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI",1.63,19,0.22,5.63,"PHI",1.2,14.2,0.1,"0.1",3.2,"PHI",1.33,16.87,0.14,3.86
"C.J. Fiedorowicz","HOU",1.7,17.4,0.1,0,4.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HOU",0.6,7,0.12,2.6,"HOU",0.9,10.3,0.1,"0.1",2.4,"HOU",1.09,8.29,0.03,2.08
"Charles Clay","BUF",3.6,47.9,0.4,0,10.83," BUF",3.8,41.8,0.4,10.2,NA,NA,NA,NA,NA,"BUF",4.37,52,0.39,13.37,"BUF",4.6,51.7,0.5,"0.0",12.8,"BUF",4.37,48.51,0.32,10.94
"Clay Harbor","JAC",2.9,36,0.3,0,8.28," JAX",2.3,25.9,0.2,5.2,NA,NA,NA,NA,NA,"JAC",1.67,17,0.13,5.67,"JAC",1.4,14.5,0.1,"0.1",3.4,NA,NA,NA,NA,NA
"Coby Fleener","IND",3.6,45,0.3,0,9.86," IND",3.2,39.3,0.3,8.1,NA,NA,NA,NA,NA,"IND",3.13,38,0.31,10.13,"IND",2.8,32.4,0.2,"0.0",7.1,"IND",2.94,32.35,0.27,7.8
"Daniel Fells","NYG",2,20.6,0.1,0.2,4.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darren Fells","ARI",2.1,31.8,0.4,0,7.65," ARI",1.8,21.8,0.2,5,NA,NA,NA,NA,NA,"ARI",0.73,11,0.11,2.73,"ARI",1.9,20,0.1,"0.0",4.8,"ARI",1.96,18.09,0.23,5.11
"Derek Carrier","WAS",2,23,0.1,0,4.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WAS",3.82,43,0.16,11.82,"WAS",2.8,29.5,0.1,"0.0",6.6,"WSH",3.23,26.76,0.2,7.11
"Ed Dickson","CAR",2,20.7,0.1,0,4.65," CAR",1.3,15.4,0.1,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eric Ebron","DET",3.7,34.6,0.3,0,8.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garrett Celek","SF",2.1,30.6,0.1,0,5.78," SF ",2.6,30.8,0.2,6.6,NA,NA,NA,NA,NA,"SFO",1.24,13,0,3.24," SF",2.8,30.5,0.1,"0.0",6.4,"SF",2.05,22.9,0.07,4.76
"Garrett Graham","HOU",1.8,20.7,0.4,0.1,6.06," HOU",2.2,24.5,0.2,5.1,NA,NA,NA,NA,NA,"HOU",1.87,19,0.17,5.87,"HOU",1.8,19.5,0.2,"0.0",4.8,"HOU",2.54,24.96,0.18,6.16
"Gary Barnidge","CLE",2,30.2,0.1,0,5.66," CLE",2.4,29.6,0.2,5.3,NA,NA,NA,NA,NA,"CLE",2.91,43,0.27,9.91,"CLE",3.3,38.7,0.2,"0.0",8.2,"CLE",2.71,34.84,0.17,7.17
"Gavin Escobar","DAL",1.8,19.2,0.4,0.2,5.68," DAL",1.4,16.5,0.2,3.5,NA,NA,NA,NA,NA,"DAL",0.59,5,0.16,2.59,"DAL",1.4,15.1,0.1,"0.1",3.5,"DAL",0.99,11.59,0.08,2.63
"Greg Olsen","CAR",5.7,70.2,0.4,0,15.12," CAR",4.7,58,0.4,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heath Miller","PIT",3.2,35.2,0.2,0.1,7.72," PIT",2.7,28.9,0.3,6.2,NA,NA,NA,NA,NA,"PIT",3.72,39,0.15,11.72,"PIT",3.1,32.7,0.2,"0.1",7.3,"PIT",3.91,44.88,0.23,9.74
"James Casey","DEN",0.4,6.1,0.2,0,2.209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"James O'Shaughnessy","KC",1.8,17.7,0.1,0,4.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KC",0.82,12,0,2.82," KC",1,11.5,0.1,"0.0",2.6,"KC",1.11,13.89,0.13,3.28
"Jared Cook","STL",2.9,33.3,0.1,0,6.82," STL",4,46.9,0.2,9.1,NA,NA,NA,NA,NA,"STL",2.93,35,0.12,9.93,"STL",3.7,40.4,0.2,"0.0",8.7,"STL",3.43,36.42,0.09,7.57
"Jason Witten","DAL",4.4,47.5,0.3,0,10.91," DAL",4.6,53.6,0.3,11.6,NA,NA,NA,NA,NA,"DAL",4.76,52,0.35,14.76,"DAL",4.8,55.4,0.3,"0.0",12,"DAL",4.98,58.86,0.42,13.35
"Jermaine Gresham","ARI",2.4,21.8,0.1,0.1,4.99," ARI",1.4,15,0.1,3.1,NA,NA,NA,NA,NA,"ARI",2.1,19,0.12,6.1,"ARI",1.5,14.8,0.1,"0.1",3.6,"ARI",1.35,11.21,0.11,3.13
"Jim Dray","CLE",1.7,21.2,0.1,0,4.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLE",0.72,9,0.04,2.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jimmy Graham","SEA",3.1,51.3,0.6,0.1,11.61," SEA",3.9,46.5,0.5,10.9,NA,NA,NA,NA,NA,"SEA",4.19,44,0.49,12.19,"SEA",4.2,50.4,0.4,"0.0",11.4,"SEA",4.27,48.05,0.48,11.88
"Jordan Cameron","MIA",3,38.2,0.2,0,8.04," MIA",3.3,39.1,0.2,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan Reed","WAS",5,62.7,0.2,0.1,12.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Josh Hill","NO",2.8,28.5,0.2,0,6.89," NO ",1,10.8,0.1,2.6,NA,NA,NA,NA,NA,"NO",0.88,8,0.18,2.88," NO",1.4,15.3,0.1,"0.0",3.5,"NO",1.28,13.44,0.08,3.1
"Kellen Davis","NYJ",2,20.9,0.2,0,5.28," NYJ",1.1,12.7,0.1,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyle Rudolph","MIN",4,31.7,0.4,0,9.56," MIN",4.5,47.6,0.3,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ladarius Green","SD",3.7,51.2,0.3,0,10.66," SD ",3.5,42.7,0.4,9.6,NA,NA,NA,NA,NA,"SD",2.13,29,0.27,7.13," SD",2.5,30.2,0.2,"0.0",6.5,"SD",1.92,21.98,0.16,5
"Lance Kendricks","STL",1.5,15,0.3,0,4.8," STL",2.1,22.9,0.1,4.7,NA,NA,NA,NA,NA,"STL",1.37,15,0.24,4.37,"STL",1.8,18.6,0.2,"0.0",5,"STL",1.31,14.46,0.09,3.3
"Larry Donnell","NYG",3.1,27.1,0.2,0.2,6.6," NYG",3.7,43.1,0.3,9.3,NA,NA,NA,NA,NA,"NYG",3.71,35,0.25,11.71,"NYG",3.4,35.7,0.3,"0.1",8.4,"NYG",3.27,32.17,0.26,7.93
"Lee Smith","OAK",2.1,17.9,0.1,0,4.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OAK",0.74,5,0.01,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luke Willson","SEA",1.7,26.7,0.2,0,5.58," SEA",0.9,10.3,0.1,2.4,NA,NA,NA,NA,NA,"SEA",1.16,15,0.06,4.16,"SEA",1.4,16.2,0.1,"0.0",3.5,"SEA",1.37,16.93,0.12,3.78
"Marcedes Lewis","JAC",1.4,19.5,0.2,0.1,4.36," JAX",1.9,21.2,0.1,4.8,NA,NA,NA,NA,NA,"JAC",1.19,12,0.07,3.19,"JAC",1.5,15.9,0.1,"0.1",3.7,"JAC",1.85,19.91,0.19,4.98
"MarQueis Gray","BUF",0.9,10.3,0.1,0,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rve",0.9,9.5,0.1,"0.0",2.5,NA,NA,NA,NA,NA
