"name","cbs_fpts","espn_fpts","ffs_fpts","fp_fpts","numfire_fpts","hodges.lehmann","mean","risk","Ceiling","Floor","Tier","rank"
"Julio Jones",24.9,20.3,15.28,18.7,16.44,18.7,19.1,3.4,22.5,15.7,7,1
"Demaryius Thomas",20.78,19.6,13.81,18.9,20.16,19.5,18.8,2.5,21.3,16.3,7,2
"Randall Cobb",19.21,19.7,16.29,17.6,19.3,18.5,18.4,1.3,19.7,17.1,7,3
"A.J. Green",18.1,15.7,21.02,18.8,16.7,18.1,18.1,1.8,19.9,16.3,7,4
"Odell Beckham",17.41,18.5,19.81,17.8,16.75,18,18,1,19,17,7,5
"DeAndre Hopkins",17.57,14.3,17,20.8,20.13,17.6,17.9,2.3,20.2,15.6,7,6
"Brandon Marshall",16.58,14.7,20.04,18.4,15.48,16.9,17,1.9,18.9,15.1,7,7
"Calvin Johnson",14.87,14.8,21.28,17.1,16.91,16.9,17,2.4,19.4,14.6,7,8
"Emmanuel Sanders",18.43,17.2,15.73,17.5,16.03,17.1,17,1,18,16,7,9
"Larry Fitzgerald",18.31,14.2,18.2,18.3,15.95,17.1,17,1.7,18.7,15.3,7,10
"Antonio Brown",18.98,17.5,16.7,16.6,14.43,16.7,16.8,1.5,18.3,15.3,7,11
"Keenan Allen",17.44,15.1,12.54,16.7,16.54,15.9,15.7,1.7,17.4,14,6,12
"Mike Evans",16.96,13.9,NA,NA,NA,15.4,15.4,1.5,16.9,13.9,6,13
"Amari Cooper",16.34,14.1,NA,NA,NA,15.2,15.2,1.1,16.3,14.1,6,14
"Steve Smith Sr.",17.2,13,NA,NA,NA,15.1,15.1,2.1,17.2,13,6,15
"Jordan Matthews",16.42,14,12.39,15.5,15.52,14.8,14.8,1.4,16.2,13.4,6,16
"Jeremy Maclin",13.07,14.4,13.8,16.7,14.84,14.4,14.5,1.2,15.7,13.3,6,17
"Brandin Cooks",15.73,12.8,14,16.3,13.35,14.5,14.4,1.4,15.8,13,6,18
"Allen Robinson",14.65,11.8,16.37,15.2,12.11,14.1,14,1.8,15.8,12.2,6,19
"James Jones",14.3,12,14.23,14.8,14.51,14.3,14,1,15,13,6,20
"T.Y. Hilton",14.21,13,12.97,16.4,13,13.6,13.9,1.3,15.2,12.6,6,21
"Jarvis Landry",13.07,14,11.5,15.3,14.7,13.9,13.7,1.3,15,12.4,6,22
"Michael Crabtree",10.41,13.9,NA,NA,NA,12.2,12.2,1.7,13.9,10.5,5,23
"Anquan Boldin",11.67,11.1,11.12,13.9,11.71,11.7,11.9,1,12.9,10.9,5,24
"Golden Tate",12.41,10.8,10.99,12.3,12.95,11.9,11.9,0.8,12.7,11.1,5,25
"Travis Benjamin",10.5,8.8,15.84,12.4,11.17,11.4,11.7,2.4,14.1,9.3,5,26
"John Brown",12.09,10.7,8.57,13.6,11.86,11.4,11.4,1.7,13.1,9.7,5,27
"Eric Decker",13.77,9.4,9.02,13.9,10.37,11.5,11.3,2.1,13.4,9.2,5,28
"Pierre Garcon",12.69,12.6,8.92,11.6,10.38,11.5,11.3,1.4,12.7,9.9,5,29
"Vincent Jackson",11.92,10.4,NA,NA,NA,11.2,11.2,0.8,12,10.4,5,30
"Allen Hurns",11.31,10,8.41,13.5,11.78,11,11,1.7,12.7,9.3,5,31
"Mike Wallace",10.62,9.6,10.76,13,9.7,10.6,10.7,1.2,11.9,9.5,5,32
"Terrance Williams",12,9.1,NA,NA,NA,10.6,10.6,1.5,12.1,9.1,5,33
"Donte Moncrief",10.22,11.4,7.68,11.6,10.62,10.6,10.4,1.4,11.8,9,5,34
"Ted Ginn",10.69,NA,NA,9.8,NA,10.2,10.2,0.4,10.6,9.8,5,35
"Doug Baldwin",11.97,10.6,10.17,9.7,7.77,10.1,10.1,1.4,11.5,8.7,5,36
"Leonard Hankerson",10.71,9.2,5.24,12.9,11.7,10.4,10,2.7,12.7,7.3,4,37
"Percy Harvin",12.86,11.7,7.16,8.9,8.14,9.9,9.8,2.2,12,7.6,4,38
"Roddy White",13.81,9.5,9.15,7.6,7.65,9.2,9.5,2.3,11.8,7.2,4,39
"Kamar Aiken",6.03,9,8.74,11,11.23,9,9.2,1.9,11.1,7.3,4,40
