"name","cbs_team","cbs_recpts","cbs_yd","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts","fp_team","fp_rushatt","fp_rushyd","fp_rushtd","fp_recpts","fp_recyd","fp_rectd","fp_fl","fp_fpts","numfire_team","numfire_rank","numfire_rushatt","numfire_rushyd","numfire_rushtd","numfire_recpts","numfire_recyd","numfire_rectd","numfire_fpts"
"A.J. Green","CIN",6.3,86.8,0.5,0,17.98," CIN",6.2,90.5,0.5,18.1,"CIN",6.02,91,0.53,21.02,"CIN",0.1,0.9,0,6.2,87.3,0.5,"0.0",18.3,"CIN","7",0.07,0.77,0,5.6,82.38,0.48,16.7
"Aaron Dobson","NE",1.4,18.1,0.1,0,3.83," NE ",1.9,24.7,0.2,4.8,"NEP",1.1,13,0,2.1," NE",0,0,0,1.4,18.6,0.1,"0.0",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albert Wilson","KC",2.1,23.5,0.1,0,5.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," KC",0,0,0,1.6,19.7,0.1,"0.0",4,"KC","57",0,0,0,2.35,29.76,0.08,5.75
"Allen Hurns","JAC",4.4,60.9,0.5,0.1,13.26," JAX",3.9,52.6,0.3,10.7,"JAC",3.03,43,0.3,7.03,"JAC",0,0,0,4.3,57.4,0.4,"0.1",12.2,"JAC","28",0,0,0,4.23,57.1,0.32,11.78
"Allen Robinson","JAC",4.3,60.6,0.6,0,14.01," JAX",5.3,76.6,0.4,14.8,"JAC",4.37,63,0.52,16.37,"JAC",0,0,0,4.7,66.7,0.4,"0.0",14,"JAC","23",0,0,0,4.18,60.9,0.32,12.11
"Alshon Jeffery","CHI",5.5,65.7,0.3,0,13.87," CHI",5.1,71.1,0.5,15.3,"CHI",3.97,51,0.52,14.97,"CHI",0.1,0.7,0,4.8,65.7,0.4,"0.0",13.9,"CHI","13",0.09,0.17,0,5.07,75.78,0.45,15.37
"Andre Caldwell","DEN",1,12.5,0.1,0,2.837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DEN",0,0,0,0.8,8.9,0.1,"0.0",2,"DEN","101",0,0,0,1.1,9.25,0.03,2.21
"Andre Johnson","IND",4.3,56.3,0.3,0.1,11.56," IND",3.4,42.7,0.4,9.8,"IND",3.28,34,0.36,6.28,"IND",0,0,0,3.5,45.2,0.3,"0.1",9.9,"IND","42",0,0,0,3.19,40.87,0.29,9.04
"Andrew Hawkins","CLE",2.7,30.2,0.1,0,6.32," CLE",3.2,32.9,0.1,6.9,"CLE",3.37,40,0.06,7.37,"CLE",0.1,0.2,0,2.7,30.1,0.1,"0.0",6.5,"CLE","65",0.05,0.67,0,2.02,22.22,0.14,5.13
"Anquan Boldin","SF",4.2,52,0.4,0,11.8," SF ",4.8,58.7,0.2,11.3,"SFO",5.12,60,0.43,11.12," SF",0,0,0,4.4,55.5,0.3,"0.0",11.8,"SF","29",0.02,0.02,0,4.27,56,0.3,11.71
"Antonio Brown","PIT",5.9,78.5,0.4,0.1,15.95," PIT",6.1,80.2,0.4,16.7,"PIT",4.7,60,0.52,16.7,"PIT",0.3,1.2,0,5.6,75.9,0.4,"0.1",15.7,"PIT","17",0.05,-0.12,0,4.74,71,0.45,14.43
"Bennie Fowler","DEN",1,13,0.1,0,2.91," DEN",1.3,13.8,0.1,2.7,NA,NA,NA,NA,NA,"DEN",0,0,0,1.1,14.1,0.1,"0.0",3.2,"DEN","76",0,0,0,1.46,19.17,0.16,4.32
"Brandin Cooks","NO",6.1,83.5,0.3,0,16.25," NO ",5.4,68.6,0.4,13.9,"NO",6,75,0.39,14," NO",0.4,2.8,0,5.4,69.6,0.4,"0.0",15.1,"NO","19",0.08,0.37,0,4.79,57.2,0.46,13.35
