"name","cbs_fpts","espn_fpts","fft_fpts","ffs_fpts","mean","risk","Ceiling","Floor","rank"
"Antonio Brown",23.7,21.5,NA,24.79,23.3,1.7,25,21.6,1
"Demaryius Thomas",20.42,18.8,NA,24.7,21.3,3,24.3,18.3,2
"Odell Beckham",22.64,17.5,NA,24.81,21.6,3.8,25.4,17.8,3
"Randall Cobb",18.02,17.5,NA,20.02,18.5,1.3,19.8,17.2,4
"Julio Jones",25.1,19.4,NA,17.24,20.6,4.1,24.7,16.5,5
"Emmanuel Sanders",17.35,17.2,NA,22.09,18.9,2.8,21.7,16.1,6
"Calvin Johnson",15.77,17.5,NA,17.85,17,1.1,18.1,15.9,7
"Brandon Marshall",16.06,16.7,NA,19.13,17.3,1.6,18.9,15.7,8
"Julian Edelman",17.92,15.6,NA,15.39,16.3,1.4,17.7,14.9,9
"Mike Evans",16.5,14.1,NA,14.49,15,1.3,16.3,13.7,10
"Allen Robinson",14.3,13.8,NA,17.55,15.2,2,17.2,13.2,11
"DeAndre Hopkins",19.6,14.7,NA,13.8,16,3.1,19.1,12.9,12
"T.Y. Hilton",15.54,13.2,NA,13.44,14.1,1.3,15.4,12.8,13
"Jordan Matthews",15.32,12.5,NA,15.5,14.4,1.7,16.1,12.7,14
"Larry Fitzgerald",15.71,14.4,NA,12.14,14.1,1.8,15.9,12.3,15
"A.J. Green",16.49,15,NA,11.95,14.5,2.3,16.8,12.2,16
"Anquan Boldin",12.79,12.1,NA,12.41,12.4,0.3,12.7,12.1,17
"Amari Cooper",12.3,12,NA,11.99,12.1,0.2,12.3,11.9,18
"Steve Smith Sr.",14.36,13,NA,12.06,13.1,1.2,14.3,11.9,19
"Jarvis Landry",11.76,14.3,NA,11.95,12.7,1.4,14.1,11.3,20
"Doug Baldwin",13.1,11,NA,12.21,12.1,1.1,13.2,11,21
"Davante Adams",12.86,10.9,NA,11.98,11.9,1,12.9,10.9,22
"Keenan Allen",16.21,12.6,NA,11.26,13.4,2.6,16,10.8,23
"Terrance Williams",13.33,10.6,NA,15.5,13.1,2.5,15.6,10.6,24
"Jeremy Maclin",12.65,13.4,NA,10.29,12.1,1.6,13.7,10.5,25
"Roddy White",13.47,10.9,NA,11.1,11.8,1.4,13.2,10.4,26
"James Jones",11.08,10.9,NA,13.7,11.9,1.6,13.5,10.3,27
"Golden Tate",13,10.9,NA,10.55,11.5,1.3,12.8,10.2,28
"Vincent Jackson",11.32,10.6,NA,10.27,10.7,0.5,11.2,10.2,29
"Rueben Randle",12.44,10.3,NA,10.28,11,1.2,12.2,9.8,30
"Kendall Wright",10.03,12.1,NA,10.27,10.8,1.1,11.9,9.7,31
"Pierre Garcon",11.14,12.5,NA,9.63,11.1,1.4,12.5,9.7,32
"John Brown",11.13,11.8,NA,8.89,10.6,1.5,12.1,9.1,33
"Mike Wallace",11.7,10.3,NA,8.71,10.2,1.5,11.7,8.7,34
"Eddie Royal",12.82,10.8,NA,8.51,10.7,2.2,12.9,8.5,35
"Brandin Cooks",13.27,9.6,NA,9,10.6,2.3,12.9,8.3,36
"Kenny Britt",12.32,8.6,NA,9.53,10.2,1.9,12.1,8.3,37
"Markus Wheaton",10.58,10,NA,8.11,9.6,1.3,10.9,8.3,38
"Andre Johnson",12.05,10.5,NA,8.04,10.2,2,12.2,8.2,39
"Charles Johnson",8.29,9.1,NA,8.32,8.6,0.5,9.1,8.1,40
"Marques Colston",10.06,8.6,NA,8.38,9,0.9,9.9,8.1,41
"Jermaine Kearse",8.95,7.7,NA,8.47,8.4,0.6,9,7.8,42
"Nate Washington",8.49,10.1,NA,8,8.9,1.1,10,7.8,43
"Malcom Floyd",9.55,9.9,NA,7.67,9,1.2,10.2,7.8,44
"Andrew Hawkins",8.56,7.7,NA,10.21,8.8,1.3,10.1,7.5,45
"Allen Hurns",11.09,10,NA,7.24,9.4,2,11.4,7.4,46
"Steve Johnson",11.19,11.2,NA,7.09,9.8,2.4,12.2,7.4,47
"Cecil Shorts",7.6,NA,NA,9.93,8.8,1.6,10.4,7.2,48
"Michael Crabtree",7.64,11.6,NA,8.31,9.2,2.1,11.3,7.1,49
"Marvin Jones",7.16,7.2,NA,7,7.1,0.1,7.2,7,50
"Torrey Smith",7.46,9.4,NA,14.14,10.3,3.4,13.7,6.9,51
"Stedman Bailey",8.16,6.8,NA,7.92,7.6,0.7,8.3,6.9,52
"Nelson Agholor",7.1,7.4,NA,6.84,7.1,0.3,7.4,6.8,53
"Quincy Enunwa",6.53,7.7,NA,7.1,7.1,0.6,7.7,6.5,54
"Michael Floyd",9.68,8.7,NA,6.2,8.2,1.8,10,6.4,55
"Cole Beasley",9.91,7.2,NA,6.87,8,1.7,9.7,6.3,56
"Percy Harvin",12,7.7,NA,6.9,8.9,2.7,11.6,6.2,57
"Brian Hartline",9.25,6.4,NA,6.78,7.5,1.5,9,6,58
"Donte Moncrief",10.21,11.9,NA,5.35,9.2,3.4,12.6,5.8,59
"Leonard Hankerson",10.5,8.9,NA,5.46,8.3,2.6,10.9,5.7,60
"Brandon Coleman",7.65,6.9,NA,5.57,6.7,1.1,7.8,5.6,61
"Rishard Matthews",8.87,9.4,NA,5.21,7.8,2.3,10.1,5.5,62
"Danny Amendola",10.26,5.3,NA,7.42,7.7,2.5,10.2,5.2,63
"Kamar Aiken",4.96,7.4,NA,7.1,6.5,1.3,7.8,5.2,64
"Darrius Heyward-Bey",6.12,8.9,NA,5.59,6.9,1.8,8.7,5.1,65
"Andre Roberts",4.97,6.6,NA,6.45,6,0.9,6.9,5.1,66
"Tavon Austin",6.38,8.3,NA,5.26,6.6,1.5,8.1,5.1,67
"Jarius Wright",7.76,6.4,NA,5.01,6.4,1.4,7.8,5,68
"Ryan Grant",6.63,8.6,NA,5.07,6.8,1.8,8.6,5,69
"Robert Woods",7.16,4.8,NA,8.85,6.9,2,8.9,4.9,70
"Devin Street",6.56,NA,NA,4.98,5.8,1.1,6.9,4.7,71
"Tyler Lockett",5.13,5.5,NA,4.26,5,0.6,5.6,4.4,72
"Harry Douglas",4.77,9,NA,5.92,6.6,2.2,8.8,4.4,73
"Greg Jennings",4.26,5,NA,5.34,4.9,0.6,5.5,4.3,74
"Marquess Wilson",7.85,6.7,NA,4.15,6.2,1.9,8.1,4.3,75
"Louis Murphy",6.88,4.8,NA,4.69,5.5,1.2,6.7,4.3,76
"Corey Brown",6.53,6.5,NA,15.96,9.7,5.5,15.2,4.2,77
"Sammy Watkins",3.65,12.2,NA,9.87,8.6,4.4,13,4.2,78
"Justin Hunter",4,4.8,NA,4.55,4.5,0.4,4.9,4.1,79
"Kenny Stills",5.5,4.2,NA,7.29,5.7,1.6,7.3,4.1,80
"Devin Funchess",8.26,7.2,NA,3.71,6.4,2.4,8.8,4,81
"Albert Wilson",4.63,5,NA,3.75,4.5,0.6,5.1,3.9,82
"Chris Hogan",4.78,NA,NA,3.99,4.4,0.6,5,3.8,83
"Marlon Brown",4.78,6.8,NA,4.13,5.2,1.4,6.6,3.8,84
"Jeremy Kerley",3.36,5.4,NA,5.51,4.8,1.2,6,3.6,85
"Travis Benjamin",11.33,8.4,NA,3.19,7.6,4.1,11.7,3.5,86
"De'Anthony Thomas",3.67,4.5,NA,3.57,3.9,0.5,4.4,3.4,87
"Miles Austin",4.83,NA,NA,3.62,4.2,0.9,5.1,3.3,88
"Mohamed Sanu",5.23,3.2,NA,7.89,5.4,2.4,7.8,3,89
"Phillip Dorsett",6.83,4.6,NA,2.81,4.7,2,6.7,2.7,90
