"name","numfire_dkcost","cbs_fpts","espn_fpts","ffs_fpts","fftoday_fpts","fp_fpts","numfire_fpts","hodges.lehmann","mean","risk","rank","best","worst","avg","sd","Ceiling","Floor","Tier"
"DeAndre Hopkins",8600,16.75,18.08,24.1,26,24.13,21.69,21.7,21.8,3.7,1,1,8,1.6,1.6,25.5,18.1,2
"Julio Jones",9100,24.4,20.18,14.83,23,22.4,20.94,21.6,21,3.4,2,1,7,2.7,1.5,24.4,17.6,2
"Larry Fitzgerald",7400,20.71,20.73,19.29,23,20.74,15.06,20.7,19.9,2.7,3,1,13,4.1,2,22.6,17.2,2
"Odell Beckham",8700,21.14,14.9,17.22,20.5,20.8,20.19,19.2,19.1,2.5,4,1,16,4.4,2.4,21.6,16.6,2
"Brandon Marshall",7800,21.52,20.48,10.81,22.5,20.51,12.65,17.6,18.1,5,5,1,10,4.9,1.6,23.1,13.1,2
"Julian Edelman",8200,20.33,14.45,12.74,21,20.92,18.74,17.7,18,3.6,6,1,21,7.5,4.1,21.6,14.4,2
"Calvin Johnson",7700,13.81,20.47,14.25,20,20.21,17.65,17.4,17.7,3,7,2,14,7.3,2,20.7,14.7,2
"T.Y. Hilton",6500,14.07,17.9,13.25,20,19.68,19.8,17,17.4,3,8,1,25,10.7,3.5,20.4,14.4,2
"Keenan Allen",7700,15.21,14.85,13.5,22,20.75,17.57,17.6,17.3,3.4,9,1,30,8,3.6,20.7,13.9,2
"Antonio Brown",7900,16.73,13.6,15.2,13,14.59,20.94,15.2,15.7,2.9,10,3,21,9.4,3.4,18.6,12.8,2
"John Brown",5500,14.15,11.64,10.27,19.5,18.47,12.62,14.4,14.4,3.8,11,3,30,13.1,3.9,18.2,10.6,4
"Jarvis Landry",6200,10.93,11.69,10.92,20.5,12.81,15.05,13,13.7,3.7,12,4,45,15,5.1,17.4,10,4
"Donte Moncrief",5200,13.85,10.13,11.7,17.5,15.91,12.31,13.8,13.6,2.8,13,8,36,20.2,5,16.4,10.8,4
"Willie Snead",4300,11.18,10.28,12.3,23.5,11.81,11.68,11.7,13.5,5,14,11,34,22.7,4.3,18.5,8.5,4
"Allen Robinson",6400,9.92,14.59,9.83,20,12.41,13.35,12.9,13.4,3.8,15,5,23,11.8,3.2,17.2,9.6,4
"Travis Benjamin",5400,9.86,11.23,10.78,19.5,11.45,13.6,11.7,12.7,3.5,16,9,38,25.8,5,16.2,9.2,4
"Brandin Cooks",5500,12,11.17,11.28,17.5,11.35,12.58,11.9,12.6,2.4,17,10,39,24.4,4.5,15,10.2,4
"Mike Evans",6400,11.63,11.5,9.65,20,11.1,10.77,11.3,12.4,3.8,18,12,51,20.2,5.9,16.2,8.6,4
"Golden Tate",5200,11.23,11.12,11.19,17.5,10.98,11.79,11.4,12.3,2.6,19,14,44,26.2,4.9,14.9,9.7,4
"Jordan Matthews",6400,10.84,13.38,11.62,12,11.62,13.65,12.1,12.2,1.1,20,13,35,21.7,4.3,13.3,11.1,4
"Terrance Williams",4200,8.84,7.94,13.95,20.5,9.96,11.87,11.4,12.2,4.6,21,29,62,39.9,5.1,16.8,7.6,4
"Amari Cooper",6500,12.15,10.25,10.29,12,11.58,14.36,11.8,11.8,1.5,22,4,28,15.8,4.3,13.3,10.3,4
"Eric Decker",5300,10.42,10.92,7.83,19.5,10.96,11.15,10.9,11.8,4,23,5,31,15.2,4.2,15.8,7.8,4
"Martavis Bryant",4700,8.95,7.87,15.56,18.5,9.49,10.54,11.7,11.8,4.2,24,9,36,23.8,5.4,16,7.6,4
"Anquan Boldin",4500,9.33,10.81,7.2,20.5,10.83,11.79,10.8,11.7,4.6,25,18,63,32.1,5.4,16.3,7.1,4
"Pierre Garcon",5000,10.96,9.47,10.25,17,10.19,11.85,11,11.6,2.8,26,7,34,24.2,4.1,14.4,8.8,4
"Michael Crabtree",4300,8.79,10.52,8.67,18.5,10.59,11.82,10.6,11.5,3.6,27,12,47,29.6,5.9,15.1,7.9,4
"Mike Wallace",4200,9.8,9.65,9.25,18,9.84,9.63,9.7,11,3.4,28,23,52,33.8,4.2,14.4,7.6,4
"Kendall Wright",5200,10.15,9.77,9.56,11,10.42,13.04,10.4,10.7,1.3,29,18,49,29.8,5.1,12,9.4,4
"Vincent Jackson",5300,12.34,9.94,10.31,10.5,10.22,10.86,10.5,10.7,0.9,30,17,36,26.4,3.4,11.6,9.8,4
"Allen Hurns",5300,8.44,10.84,8.34,9,9.97,12,9.6,9.8,1.5,31,9,32,20.5,4.1,11.3,8.3,1
"Rishard Matthews",4300,6.49,9.36,8.6,13,9.4,10.6,9.4,9.6,2.2,32,18,60,34.4,6.6,11.8,7.4,1
"Stefon Diggs",4200,8.37,8.94,12.51,11.5,8.75,7.56,9.5,9.6,1.9,33,12,41,27.7,5.7,11.5,7.7,1
"Leonard Hankerson",4200,7.88,7.31,10,15.5,7.88,7.27,8.6,9.3,3.2,34,21,49,38.6,4.4,12.5,6.1,1
"Doug Baldwin",4100,9.07,8.86,9.85,9,8.6,9.63,9.1,9.2,0.5,35,12,60,40.6,7.1,9.7,8.7,1
"Rueben Randle",4400,9.7,8.91,7.32,15.5,8.19,4.91,8.6,9.1,3.5,36,29,50,40.4,3.8,12.6,5.6,1
"Jamison Crowder",3700,7.87,8.56,4.56,10.5,9.19,11.31,8.9,8.7,2.4,37,12,48,35.3,5,11.1,6.3,1
"Michael Floyd",3200,8.68,8.38,6.13,16.5,7.73,4.61,8.1,8.7,4.1,38,22,53,39.5,5.9,12.8,4.6,1
"Robert Woods",3300,7.57,7.1,5.33,11,8.84,12.12,8.7,8.7,2.5,39,31,55,42.4,4.8,11.2,6.2,1
"Kenny Britt",3700,6.59,6.46,5.36,17.5,7.42,7.99,7.2,8.6,4.5,40,44,69,58.5,5.7,13.1,4.1,1
