"name","numfire_dkcost","cbs_fpts","espn_fpts","ffs_fpts","fftoday_fpts","fp_fpts","numfire_fpts","hodges.lehmann","mean","risk","rank","best","worst","avg","sd","Ceiling","Floor","Tier"
"Devonta Freeman",8000,18.95,22.49,20.45,24,22.23,23.572,22.2,21.9,1.9,1,1,7,2,1.1,23.8,20,3
"Le'Veon Bell",8300,22.89,18.51,23.27,22.5,22.91,20.504,21.9,21.8,1.9,2,1,5,1.8,1,23.7,19.9,3
"Justin Forsett",6100,13.37,22.11,14.03,21.5,20.86,21.477,18.1,18.9,4,3,2,26,6.7,3.1,22.9,14.9,3
"Adrian Peterson",7400,13.64,18.28,19.5,21,19.28,18.959,19,18.4,2.5,4,1,12,5.7,1.8,20.9,15.9,3
"Todd Gurley",6300,16.7,19.59,11.51,20,18.98,18.641,18.4,17.6,3.2,5,1,12,3.4,1.9,20.8,14.4,3
"Matt Forte",7300,15.75,16.41,15.51,22,21.14,13.141,17.1,17.3,3.5,6,2,10,4.2,1.6,20.8,13.8,3
"Marshawn Lynch",7100,18.97,12.43,18.06,19.5,18.45,13.054,16.3,16.7,3.1,7,4,21,7.5,2.6,19.8,13.6,3
"Mark Ingram",6400,11.6,17.08,18.84,20,17.66,10.569,15.8,16,3.9,8,3,16,9.3,2.1,19.9,12.1,3
"Chris Johnson",4600,9.68,15.72,11.3,16.5,16.29,17.808,14.6,14.5,3.3,9,6,28,15.1,4.1,17.8,11.2,4
"Lamar Miller",4700,11.19,11.28,10.69,21.5,12.4,18.082,14.4,14.2,4.5,10,5,20,12,2.6,18.7,9.7,4
"Darren McFadden",3800,9.62,11.37,16.42,17,11.39,13.403,13.3,13.2,3,11,6,29,19,4.4,16.2,10.2,4
"Doug Martin",5500,11.05,11.38,12.51,18.5,12.28,13.505,12.4,13.2,2.7,12,4,22,9.9,2.7,15.9,10.5,4
"Charcandrick West",4700,8.02,15.36,19.26,14.5,10.36,9.159,12.4,12.8,4.3,13,3,27,15.5,4.1,17.1,8.5,4
"Dion Lewis",6400,11.91,11.2,16.24,13,11.72,11.168,12.1,12.5,1.9,14,5,27,15.3,5.4,14.4,10.6,4
"Giovani Bernard",4800,11.29,9.87,9.9,17.5,10.47,9.496,10.5,11.4,3,15,7,26,14.1,3.5,14.4,8.4,4
"Latavius Murray",5900,9.74,9,9.42,17.5,10.23,12.681,10.8,11.4,3.2,16,12,35,22.6,4.6,14.6,8.2,4
