"name","cbs_team","cbs_rushatt","cbs_rushyd","cbs_rushtd","cbs_recpts","cbs_recyd","cbs_rectd","cbs_fl","cbs_fpts","espn_team","espn_rushatt","espn_rushyd","espn_rushtd","espn_recpts","espn_recyd","espn_rectd","espn_fpts","fft_team","fft_rushatt","fft_rushyd","fft_rushtd","fft_recpts","fft_recyd","fft_rectd","fft_fpts","ffs_team","ffs_rushatt","ffs_rushyd","ffs_rushtd","ffs_recpts","ffs_recyd","ffs_rectd","ffs_fpts","fp_team","fp_rushatt","fp_rushyd","fp_rushtd","fp_recpts","fp_recyd","fp_rectd","fp_fl","fp_fpts","numfire_team","numfire_rank","numfire_rushatt","numfire_rushyd","numfire_rushtd","numfire_recpts","numfire_recyd","numfire_rectd","numfire_fpts"
"Alfred Blue","HOU",11,41.7,0.2,1,7.1,0,0.1,5.88," HOU",6.8,25.7,0.2,0.3,2,0,3.1,NA,NA,NA,NA,NA,NA,NA,NA,"HOU",10.87,37,0.18,0.85,6,0.03,5,"HOU",8.1,31.4,0.2,1,7.9,0,"0.1",5,"HOU","41",7.35,29.72,0.21,1.85,15.53,0.03,5.91
"Alfred Morris","WAS",13.6,61.6,0.3,1.2,8,0,0.1,8.56," WSH",13.3,58.3,0.4,1,7.9,0,7.6,NA,NA,NA,NA,NA,NA,NA,NA,"WAS",19.89,82,0.35,1.06,8,0,10,"WAS",12.1,52.4,0.3,1.1,7.8,0,"0.1",7.6,"WSH","31",11.28,49.45,0.34,1.49,9.91,0.05,8.1
"Ameer Abdullah","DET",13.5,43.6,0.3,2.6,24.5,0.2,0.1,9.61," DET",12.8,54.1,0.4,3.4,27.8,0.1,9.7,NA,NA,NA,NA,NA,NA,NA,NA,"DET",12.01,48,0.39,3.57,33,0.28,12,"DET",13,49.6,0.3,2.4,20.8,0.1,"0.1",9,"DET","30",11.3,43.39,0.18,2.55,20.8,0.13,8.11
"Andre Ellington","ARI",9.7,35.1,0.3,2.5,20.4,0.1,0.4,7.15," ARI",6.7,25,0.2,2.6,23.1,0.1,6.1,NA,NA,NA,NA,NA,NA,NA,NA,"ARI",12.33,49,0.41,2.3,21,0.11,9,"ARI",7.3,26.9,0.2,2.2,18.1,0.1,"0.3",5.4,"ARI","46",7.74,28.39,0.14,1.9,15.13,0.03,5.19
"Andre Williams","NYG",7.8,25.6,0.4,0.7,5.5,0,0.1,5.31," NYG",11,45.2,0.3,0.1,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,"NYG",10.53,35,0.33,0.6,5,0,5,"NYG",10,37.3,0.3,0.6,3.9,0,"0.1",5.6,"NYG","29",14.15,51.97,0.34,1.53,9.03,0,8.14
"Anthony Dixon","BUF",10.1,39,0.4,2.8,20,0.1,0,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF",8.7,38,0.29,1.97,16,0.11,7,"BUF",11.4,43.8,0.3,1.8,13.6,0,"0.1",7.7,"BUF","33",9.05,37.83,0.34,1.35,11.65,0.02,7.11
"Antonio Andrews","TEN",7.2,31.4,0.2,1.2,10.1,0.1,0.1,5.75," TEN",9.8,41.7,0.3,0.7,5.6,0,5.8,NA,NA,NA,NA,NA,NA,NA,NA,"TEN",5.62,21,0.02,0.61,5,0,4,"TEN",6.4,27.3,0.2,0.8,7.1,0,"0.1",4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arian Foster","HOU",16.2,67,0.4,2.7,23.8,0.3,0.2,12.88," HOU",17.1,74.6,0.5,3.7,28.3,0.2,13.1,NA,NA,NA,NA,NA,NA,NA,NA,"HOU",14.65,65,0.28,2.32,20,0.16,11,"HOU",16.8,70.5,0.6,2.7,22.2,0.2,"0.2",13.5,"HOU","4",14.15,60.74,0.5,3.21,26.11,0.18,12.51
"Austin Johnson","NO",1.3,3.2,0.2,0.6,2,0.1,0,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ut:",1.3,3.2,0.2,0.6,2,0.1,"0.0",2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bishop Sankey","TEN",9.4,40.1,0.2,1.1,9.6,0.1,0.1,6.57," TEN",7.8,33.2,0.2,1.2,8.7,0,4.2,NA,NA,NA,NA,NA,NA,NA,NA,"TEN",5.22,20,0.1,0.64,6,0.06,4,"TEN",9.7,39.9,0.2,1.4,11.4,0,"0.1",6.2,"TEN","25",12.04,50.16,0.26,2.05,16.04,0.09,8.53
"Brandon Bolden","NE",4.9,19.7,0.2,0.4,2.3,0,0.1,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C.J. Anderson","DEN",10.8,39.9,0.3,2.4,21.6,0.1,0.1,8.35," DEN",12.3,48.2,0.4,2,16.5,0.1,7.5,NA,NA,NA,NA,NA,NA,NA,NA,"DEN",16.53,66,0.47,3.27,28,0.14,12,"DEN",10.6,40.8,0.2,2.1,16.1,0.1,"0.1",7.5,"DEN","34",7.68,30.87,0.19,2.33,17.58,0.15,6.85
