"name","cbs_fpts","espn_fpts","ffs_fpts","fp_fpts","fft_fpts","numfire_fpts","mean","risk","Ceiling","Floor","Tier","rank"
"Rob Gronkowski",12.55,10.2,19,12.2,NA,11.27,13,3.5,16.5,9.5,7,1
"Travis Kelce",11.28,7.3,9,9.3,NA,8.04,9,1.5,10.5,7.5,7,2
"Antonio Gates",7.84,6.4,16,7.7,NA,6.02,8.8,4.1,12.9,4.7,6,3
"Martellus Bennett",7.28,7.3,10,9,NA,8.41,8.4,1.2,9.6,7.2,7,4
"Tyler Eifert",8.01,5.8,13,7.9,NA,6.64,8.3,2.8,11.1,5.5,6,5
"Jason Witten",6.46,8.2,10,7.2,NA,8.38,8,1.3,9.3,6.7,7,6
"Charles Clay",6.8,6.7,9,8.2,NA,6.58,7.5,1.1,8.6,6.4,7,7
"Jimmy Graham",7.81,5.7,8,7.2,NA,7.6,7.3,0.9,8.2,6.4,7,8
"Crockett Gillmore",8.31,NA,NA,4.1,NA,NA,6.2,3,9.2,3.2,2,9
"Delanie Walker",4.05,5.7,9,6.8,NA,4.85,6.1,1.9,8,4.2,6,10
"Larry Donnell",5.05,6.4,8,5,NA,4.63,5.8,1.4,7.2,4.4,6,11
"Owen Daniels",5.1,6.1,6,6.1,NA,5.19,5.7,0.5,6.2,5.2,6,12
"Gary Barnidge",5.92,4.1,7,4.9,NA,4.47,5.3,1.2,6.5,4.1,6,13
"Julius Thomas",6.25,5.7,4,5.4,NA,4.98,5.3,0.8,6.1,4.5,6,14
"Jared Cook",4.38,5.6,7,5,NA,4.11,5.2,1.2,6.4,4,6,15
"Heath Miller",3.54,3.5,8,4.2,NA,5.82,5,1.9,6.9,3.1,2,16
"Zach Ertz",3.98,4.8,7,4.5,NA,4.95,5,1.2,6.2,3.8,6,17
"Coby Fleener",4.82,3.1,7,4.3,NA,4.85,4.8,1.4,6.2,3.4,2,18
"Derek Carrier",3.02,4.4,8,3.8,NA,3.86,4.6,2,6.6,2.6,2,19
"Richard Rodgers",4.53,5.1,5,4.4,NA,3.91,4.6,0.5,5.1,4.1,6,20
"Dwayne Allen",4.61,3.1,6,3.5,NA,4.05,4.3,1.1,5.4,3.2,2,21
"Ladarius Green",5.56,3.2,5,4,NA,3.06,4.2,1.1,5.3,3.1,2,22
"Maxx Williams",3.62,4.7,5,3.7,NA,3.61,4.1,0.7,4.8,3.4,2,23
"Timothy Wright",4.75,3.1,NA,NA,NA,NA,3.9,1.2,5.1,2.7,2,24
"Garrett Graham",4.53,3.1,4,3,NA,3.62,3.6,0.6,4.2,3,2,25
"Jacob Tamme",3.51,3,3,3.8,NA,4.86,3.6,0.8,4.4,2.8,2,26
"Clay Harbor",4.4,NA,4,2,NA,NA,3.5,1.3,4.8,2.2,2,27
"Garrett Celek",3.8,3.7,NA,3.6,NA,2.69,3.4,0.5,3.9,2.9,2,28
"Brandon Pettigrew",2.05,NA,4,2.7,NA,3.89,3.2,0.9,4.1,2.3,2,29
"Mychal Rivera",2.18,2.8,5,2.5,NA,3.35,3.2,1.1,4.3,2.1,2,30
"Nick Boyle",3.86,3.1,NA,2.7,NA,NA,3.2,0.6,3.8,2.6,2,31
"Scott Chandler",3.2,3.5,4,2.8,NA,2.53,3.2,0.6,3.8,2.6,2,32
"Lance Kendricks",4.19,2.9,3,3.2,NA,2.01,3.1,0.8,3.9,2.3,2,33
"Brent Celek",3.47,NA,4,2,NA,2.54,3,0.9,3.9,2.1,2,34
"Darren Fells",3.78,2,NA,2.9,NA,3.16,3,0.7,3.7,2.3,2,35
"Brandon Myers",2.19,2.9,4,2.4,NA,NA,2.9,0.8,3.7,2.1,2,36
"Virgil Green",3.68,NA,NA,2.1,NA,3,2.9,0.8,3.7,2.1,2,37
"Benjamin Watson",2.7,2.8,NA,2.7,NA,NA,2.7,0.1,2.8,2.6,2,38
"Marcedes Lewis",2.68,NA,NA,2.2,NA,3.11,2.7,0.5,3.2,2.2,2,39
"Luke Willson",2.7,NA,3,2.1,NA,2.42,2.6,0.4,3,2.2,2,40
"James O'Shaughnessy",2.9,NA,NA,NA,NA,2.18,2.5,0.5,3,2,2,41
"Anthony Fasano",2.03,2,3,2.4,NA,2.36,2.4,0.4,2.8,2,2,42
"Gavin Escobar",2.85,2.1,NA,2.1,NA,NA,2.4,0.4,2.8,2,2,43
