"name","cbs_team","cbs_recpts","cbs_yd","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","fft_team","fft_recpts","fft_yd","fft_td","fft_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts","fp_team","fp_recpts","fp_yd","fp_td","fp_fl","fp_fpts","numfire_team","numfire_recpts","numfire_yd","numfire_td","numfire_fpts"
"Anthony Fasano","TEN",1.2,16.5,0.2,0,2.85," TEN",1.3,15.2,0.2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEN",1.3,15.4,0.2,"0.0",2.6,"TEN",1.41,16.76,0.19,2.84
"Antonio Gates","SD",4.5,45.4,0.5,0.1,7.34," SD ",4,48,0.4,6.5,NA,NA,NA,NA,NA,"SD",4.17,47,0.56,11," SD",4.2,47,0.4,"0.1",7.1,"SD",3.82,47.45,0.48,7.61
"Benjamin Watson","NO",2.8,31.3,0.2,0.1,4.13," NO ",3,34.1,0.3,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," NO",2.6,27.4,0.2,"0.1",3.9,"NO",2.01,20.19,0.17,3.02
"Brandon Pettigrew","DET",1.7,17.1,0.1,0,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DET",1.7,17,0.1,"0.0",2.3,"DET",2.14,21.18,0.12,2.8
"Brent Celek","PHI",1.6,21.1,0.4,0.1,4.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI",1.2,14.1,0.2,"0.1",2.2,"PHI",1.48,17.56,0.1,2.31
"Charles Clay","BUF",3.7,37.7,0.2,0,4.97," BUF",4,44.5,0.2,5.4,NA,NA,NA,NA,NA,"BUF",2.86,34,0.24,3,"BUF",4,42.9,0.3,"0.0",5.9,"BUF",3.68,38.33,0.38,6.04
"Coby Fleener","IND",2.8,35.3,0.2,0,4.73," IND",2.5,30.4,0.3,4.9,NA,NA,NA,NA,NA,"IND",3.04,36,0.27,4,"IND",2.9,32.7,0.2,"0.0",4.5,"IND",3.42,33.62,0.15,4.25
"Crockett Gillmore","BAL",2.4,34.1,0.6,0,7.01," BAL",3.3,35.2,0.3,4.8,NA,NA,NA,NA,NA,"BAL",2.27,26,0.27,3,"BAL",2.7,32.6,0.3,"0.0",5.2,"BAL",2.34,33.19,0.18,4.37
"Darren Fells","ARI",1.9,28.4,0.4,0,5.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARI",1.7,21.5,0.3,"0.0",3.7,"ARI",1.83,19.96,0.22,3.29
"Delanie Walker","TEN",2.7,32.9,0.3,0,5.09," TEN",3.7,42.7,0.3,5.8,NA,NA,NA,NA,NA,"TEN",4.27,51,0.31,5,"TEN",3.4,40.1,0.3,"0.0",5.5,"TEN",3.26,35.65,0.11,4.18
"Derek Carrier","WAS",1.7,17.6,0.1,0,2.36," WSH",3.3,39.3,0.2,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WAS",2,21.2,0.1,"0.0",2.9,NA,NA,NA,NA,NA
"Dion Sims","MIA",1.5,14.5,0.1,0,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIA",1.4,14.3,0.1,"0.0",2.2,"MIA",1.42,13.6,0.17,2.33
"Dwayne Allen","IND",1.8,23.7,0.5,0,5.37," IND",2.6,28.9,0.3,3.8,NA,NA,NA,NA,NA,"IND",2.7,30,0.45,3,"IND",2.3,26.8,0.3,"0.0",4.6,"IND",2.31,23.84,0.2,3.6
"Ed Dickson","CAR",1.7,15.1,0.1,0,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garrett Celek","SF",1.8,18.9,0.3,0,3.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," SF",1.3,14.4,0.1,"0.0",2.2,NA,NA,NA,NA,NA
"Garrett Graham","HOU",1.7,16.9,0.2,0,2.89," HOU",2.2,24.7,0.1,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HOU",1.9,20.2,0.2,"0.0",2.9,"HOU",2.24,24.02,0.2,3.58
