"name","cbs_fpts","espn_fpts","ffs_fpts","fp_fpts","numfire_fpts","hodges.lehmann","mean","risk","Ceiling","Floor","Tier","rank"
"Demaryius Thomas",13.48,12.5,22,13.8,15.73,14.605,15.4,3.4,18.8,12,7,1
"Julio Jones",16.1,12.7,16,15.7,15.64,15.7,15.3,1.3,16.6,14,7,2
"Odell Beckham",11.11,11.5,23,13.6,12.04,12.55,14,4.5,18.5,9.5,6,3
"Randall Cobb",12.51,13,18,12.7,12.39,12.755,13.6,2.2,15.8,11.4,7,4
"Antonio Brown",12.38,11.1,22,11.9,11.47,11.925,13.5,4.2,17.7,9.3,6,5
"Emmanuel Sanders",11.93,10.9,20,11,12.02,11.93,13,3.5,16.5,9.5,6,6
"A.J. Green",12.6,10.2,19,11.3,11.36,11.95,12.7,3.2,15.9,9.5,6,7
"Keenan Allen",10.94,9.6,19,11.9,11.45,11.45,12.4,3.3,15.7,9.1,6,8
"Calvin Johnson",9.17,9.5,20,11.6,11.07,11.07,12.1,4,16.1,8.1,5,9
"DeAndre Hopkins",11.37,9,15,12.6,12.49,12,12.1,1.9,14,10.2,6,10
"Larry Fitzgerald",11.81,9,20,11.1,9.01,11.1,12,4.1,16.1,7.9,5,11
"Jordan Matthews",10.72,8.3,18,10.3,8.68,10.3,11.1,3.5,14.6,7.6,5,12
"Jeremy Maclin",8.23,8.7,15,10.2,12.24,10.47,10.8,2.5,13.3,8.3,5,13
"Mike Evans",11.56,9,10,9.9,7.95,9.755,9.7,1.2,10.9,8.5,5,14
"T.Y. Hilton",9.01,8.1,13,9.8,8.9,9.35,9.7,1.7,11.4,8,5,15
"Amari Cooper",10.54,8.3,10,9.7,8.4,9.42,9.4,0.9,10.3,8.5,5,16
"Allen Robinson",9.45,7.5,12,9.5,7.64,9.45,9.3,1.6,10.9,7.7,5,17
"Terrance Williams",8.87,5.9,15,9.1,7.66,8.87,9.2,3.1,12.3,6.1,4,18
"Brandin Cooks",9.43,8.1,11,8.9,7.09,8.9,8.9,1.3,10.2,7.6,5,19
"James Jones",9.79,8,9,9.9,8.01,8.95,8.9,0.8,9.7,8.1,5,20
"Vincent Jackson",7.66,6.6,12,9,6.7,7.85,8.3,2,10.3,6.3,4,21
"Pierre Garcon",7.85,7.4,8,9.7,8.03,8,8.2,0.8,9,7.4,5,22
"Golden Tate",7.11,6.2,11,8.6,7.71,7.855,8.1,1.6,9.7,6.5,4,23
"Kamar Aiken",3.91,5.7,18,6.9,7.39,6.9,8.1,5,13.1,3.1,2,24
"Anquan Boldin",7.68,6.5,11,8.1,6.89,7.68,8,1.6,9.6,6.4,4,25
"John Brown",7.81,7,10,8.5,6.87,7.81,8,1.1,9.1,6.9,5,26
"Donte Moncrief",6.92,7.1,13,7,6.29,7.01,7.9,2.5,10.4,5.4,4,27
"Travis Benjamin",8.14,5.6,10,8.5,7.19,7.845,7.9,1.5,9.4,6.4,4,28
"Leonard Hankerson",6.89,5.7,11,8.5,7,7.695,7.8,1.8,9.6,6,4,29
"Percy Harvin",8.12,7.3,7,8.5,7.54,7.71,7.7,0.5,8.2,7.2,5,30
"Doug Baldwin",7.74,6.7,11,7.3,5.62,7.3,7.6,1.8,9.4,5.8,4,31
"Allen Hurns",7.17,6.3,9,7.3,7.59,7.38,7.5,0.9,8.4,6.6,4,32
"Michael Crabtree",5.68,8.7,8,6.7,6.24,7.12,7.1,1.1,8.2,6,4,33
"Marques Colston",7.14,6.8,9,5.3,5.64,6.8,6.8,1.3,8.1,5.5,4,34
"Torrey Smith",5.21,5.3,14,5.6,5.12,5.405,6.8,3.5,10.3,3.3,2,35
"Kenny Britt",4.68,6,8,7.3,7.34,6.67,6.7,1.2,7.9,5.5,4,36
"Robert Woods",8.77,5.9,7,5.5,5.86,6.43,6.6,1.2,7.8,5.4,4,37
"Rueben Randle",6.08,6.4,10,7.6,2.42,6.4,6.5,2.5,9,4,2,38
"Malcom Floyd",7.05,6.4,6,5,6.67,6.335,6.2,0.7,6.9,5.5,4,39
"Jermaine Kearse",5.96,6,9,4.6,5.02,5.96,6.1,1.5,7.6,4.6,2,40
