"name","cbs_team","cbs_recpts","cbs_yd","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts","fp_team","fp_rushatt","fp_rushyd","fp_rushtd","fp_recpts","fp_recyd","fp_rectd","fp_fl","fp_fpts","numfire_team","numfire_rank","numfire_rushatt","numfire_rushyd","numfire_rushtd","numfire_recpts","numfire_recyd","numfire_rectd","numfire_fpts"
"A.J. Green","CIN",5.8,81.7,0.5,0.1,10.97," CIN",4.9,71.1,0.4,9.3,"CIN",5.44,84,0.53,19,"CIN",0.1,0.7,0,5.9,77.8,0.6,"0.1",11.3,"CIN","10",0.02,0.07,0,6.16,82.53,0.52,11.36
"Allen Hurns","JAC",5.1,65.6,0.5,0.1,9.36," JAX",3.6,47.6,0.3,5.5,"JAC",3.88,51,0.31,9,"JAC",0,0,0,4.6,56.4,0.3,"0.1",7.3,"JAC","23",0,0,0,3.79,51.66,0.4,7.59
"Allen Robinson","JAC",4.2,60.2,0.4,0,8.42," JAX",4.9,69.4,0.3,8,"JAC",4.8,74,0.43,12,"JAC",0,0,0,4.8,66.6,0.5,"0.0",9.5,"JAC","22",0,0,0,4.15,62.3,0.24,7.64
"Amari Cooper","OAK",4.6,65.7,0.3,0.1,8.17," OAK",5.7,64.1,0.3,8,"OAK",4.29,57,0.35,10,"OAK",0.1,0.3,0,5.4,69,0.5,"0.1",9.7,"OAK","16",0,0,0,5.67,69,0.26,8.4
"Andre Johnson","IND",3,33.5,0.1,0.1,3.75," IND",2.7,28.7,0.2,3.1,"IND",2,21,0.11,4,"IND",0,0,0,1.9,23.6,0.1,"0.1",2.9,"IND","76",0,0,0,1.58,18.61,0.14,2.64
"Andrew Hawkins","CLE",2.6,34.5,0.1,0,4.05," CLE",3.2,32.7,0.1,3.7,"CLE",3.86,54,0.19,10,"CLE",0,0.1,0,2.7,30.1,0.1,"0.0",3.6,"CLE","75",0.04,0.23,0,1.81,21.82,0.09,2.72
"Anquan Boldin","SF",4.3,52.7,0.3,0,7.07," SF ",4.4,53.5,0.2,6,"SFO",4.74,57,0.29,11," SF",0,0,0,4.7,56.1,0.4,"0.0",8.1,"SF","31",0.02,0.02,0,4.47,52.12,0.28,6.89
"Antonio Brown","PIT",6.8,86.2,0.4,0.1,10.82," PIT",5.9,77.3,0.5,10.2,"PIT",6.95,94,0.56,22,"PIT",0.3,1.3,0,6.3,82.4,0.6,"0.1",11.9,"PIT","8",0.11,0.2,0,5.88,80.07,0.59,11.47
"Brandin Cooks","NO",5.1,59,0.2,0,7.1," NO ",5.1,64.2,0.2,7.5,"NO",4.84,55,0.2,11," NO",0.4,3.1,0,5.3,60.9,0.4,"0.0",8.9,"NO","29",0.11,1.97,0,4.57,51.12,0.31,7.09
"Brian Hartline","CLE",3,48.7,0.1,0,5.47," CLE",2.6,35.6,0.1,3.8,"CLE",2.36,33,0.1,5,"CLE",0,0,0,3,36.9,0.1,"0.0",4.2,"CLE","57",0,0,0,2.07,28.35,0.17,3.94
"Calvin Johnson","DET",5.4,73.7,0.4,0.1,9.57," DET",6.3,90.3,0.6,12.6,"DET",5.82,80,0.51,20,"DET",0,0,0,5.9,80.9,0.6,"0.1",11.6,"DET","12",0,0,0,5.97,83.68,0.45,11.07
"Cole Beasley","DAL",3.9,44.9,0.2,0.1,5.49," DAL",3.8,38.9,0.2,4.4,"DAL",3.25,38,0.23,7,"DAL",0,0,0,3.8,42.6,0.2,"0.1",5.3,"DAL","52",0,0,0,3.15,33.17,0.21,4.5
"Danny Amendola","NE",4.6,47.1,0.3,0,6.51," NE ",3.3,33.9,0.3,4.6,"NEP",3.83,37,0.3,8," NE",0.2,0.7,0,3.2,34.8,0.2,"0.0",4.7,"NE","71",0.06,0.24,0,1.79,20.05,0.14,2.87
