"name","pos","team","sourceName","playerID","season","positionRank","overallRank","points","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds"
"49ERS","DST","SF","average",1,2015,1,362,0,0,0,0,0,0,0,0,0,0
"49ERS","DST","SF","averageRobust",1,2015,1,362,0,0,0,0,0,0,0,0,0,0
"49ERS","DST","SF","cbs",1,2015,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AARONDOBSON","WR",NA,"average",2,2015,117,319,7.4,0,0,0,0,0,0,3,44,0
"AARONDOBSON","WR",NA,"averageRobust",2,2015,117,319,7.4,0,0,0,0,0,0,3,44,0
"AARONDOBSON","WR",NA,"espn",2,2015,117,319,7.4,0,0,0,0,0,0,3,44,0
"AARONDOBSON","WR",NA,"fp",2,2015,115,314,7.4,0,0,0,0,0,0,3,44,0
"AARONDOBSON","WR",NA,"fs",2,2015,105,312,7.4,0,0,0,0,0,0,3,44,0
"AARONDOBSON","WR","NE","average",3,2015,121,363,0,0,0,0,0,0,0,0,0,0
"AARONDOBSON","WR","NE","averageRobust",3,2015,121,363,0,0,0,0,0,0,0,0,0,0
"AARONDOBSON","WR","NE","cbs",3,2015,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AARONDOBSON","WR","NE","eds",3,2015,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AARONMURRAY","QB",NA,"average",4,2015,67,364,0,0,0,0,0,0,0,0,0,0
"AARONMURRAY","QB",NA,"averageRobust",4,2015,67,364,0,0,0,0,0,0,0,0,0,0
"AARONMURRAY","QB",NA,"fs",4,2015,69,368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AARONPETTREY","K",NA,"average",5,2015,1,365,0,0,0,0,0,0,0,0,0,0
"AARONPETTREY","K",NA,"averageRobust",5,2015,1,365,0,0,0,0,0,0,0,0,0,0
"AARONPETTREY","K",NA,"espn",5,2015,1,362,0,0,0,0,0,0,0,0,0,0
"AARONRIPKOWSKI","RB",NA,"average",6,2015,114,366,0,0,0,0,0,0,0,0,0,0
"AARONRIPKOWSKI","RB",NA,"averageRobust",6,2015,114,366,0,0,0,0,0,0,0,0,0,0
"AARONRIPKOWSKI","RB",NA,"fp",6,2015,113,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AARONRIPKOWSKI","RB","GB","average",7,2015,115,367,0,0,0,0,0,0,0,0,0,0
"AARONRIPKOWSKI","RB","GB","averageRobust",7,2015,115,367,0,0,0,0,0,0,0,0,0,0
"AARONRIPKOWSKI","RB","GB","cbs",7,2015,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AARONRODGERS","QB",NA,"average",8,2015,3,54,195.14,4308,33,8,50,255,2,0,0,0
"AARONRODGERS","QB",NA,"averageRobust",8,2015,3,54,195.14,4308,33,8,50,255,2,0,0,0
"AARONRODGERS","QB",NA,"espn",8,2015,3,54,195.14,4308,33,8,50,255,2,0,0,0
"AARONRODGERS","QB",NA,"ffn",8,2015,2,25,195.14,4308,33,8,50,255,2,0,0,0
"AARONRODGERS","QB",NA,"fftoday",8,2015,3,54,195.14,4308,33,8,50,255,2,0,0,0
"AARONRODGERS","QB",NA,"fp",8,2015,3,54,195.14,4308,33,8,50,255,2,0,0,0
"AARONRODGERS","QB",NA,"fs",8,2015,4,54,195.14,4308,33,8,50,255,2,0,0,0
"AARONRODGERS","QB","GB","average",9,2015,68,368,0,0,0,0,0,0,0,0,0,0
"AARONRODGERS","QB","GB","averageRobust",9,2015,68,368,0,0,0,0,0,0,0,0,0,0
"AARONRODGERS","QB","GB","cbs",9,2015,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AARONRODGERS","QB","GB","eds",9,2015,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAMTHIELEN","WR",NA,"average",10,2015,122,369,0,0,0,0,0,0,0,0,0,0
"ADAMTHIELEN","WR",NA,"averageRobust",10,2015,122,369,0,0,0,0,0,0,0,0,0,0
"ADAMTHIELEN","WR",NA,"fp",10,2015,119,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAMTHIELEN","WR",NA,"fs",10,2015,119,369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAMTHIELEN","WR","MIN","average",11,2015,123,370,0,0,0,0,0,0,0,0,0,0
"ADAMTHIELEN","WR","MIN","averageRobust",11,2015,123,370,0,0,0,0,0,0,0,0,0,0
"ADAMTHIELEN","WR","MIN","cbs",11,2015,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
