"name","pos","sourceName","team","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","points_fftoday","passAtt_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","fumbles_fftoday"
"ANDREWLUCK","QB","fftoday","IND","Andrew Luck","IND",1,1,342.4,638,4788,36,15,60,289,3,NA,NA,NA,0,0
"AARONRODGERS","QB","fftoday","GB","Aaron Rodgers","GB",2,2,329.9,532,4361,35,8,57,255,2,NA,NA,NA,0,0
"RUSSELLWILSON","QB","fftoday","SEA","Russell Wilson","SEA",3,3,303.2,472,3589,24,10,110,636,4,NA,NA,NA,0,0
"PEYTONMANNING","QB","fftoday","DEN","Peyton Manning","DEN",4,4,283.7,575,4430,34,12,30,-15,0,NA,NA,NA,0,0
"MATTHEWSTAFFORD","QB","fftoday","DET","Matthew Stafford","DET",5,5,274.7,614,4360,28,14,28,83,2,NA,NA,NA,0,0
"CAMNEWTON","QB","fftoday","CAR","Cam Newton","CAR",6,6,273.9,487,3460,21,13,101,555,5,NA,NA,NA,0,0
"MATTRYAN","QB","fftoday","ATL","Matt Ryan","ATL",7,7,273.7,624,4620,27,15,26,89,1,NA,NA,NA,0,0
"TONYROMO","QB","fftoday","DAL","Tony Romo","DAL",8,8,268.3,533,3994,32,12,21,45,1,NA,NA,NA,0,0
"BENROETHLISBERGER","QB","fftoday","PIT","Ben Roethlisberger","PIT",9,9,267.7,585,4444,29,12,19,59,0,NA,NA,NA,0,0
"TOMBRADY","QB","fftoday","NE","Tom Brady","NE",10,10,265.2,578,4101,30,11,19,32,1,NA,NA,NA,0,0
"COLINKAEPERNICK","QB","fftoday","SF","Colin Kaepernick","SF",11,11,264.7,483,3475,22,11,93,557,2,NA,NA,NA,0,0
"PHILIPRIVERS","QB","fftoday","SD","Philip Rivers","SD",12,12,259.9,565,4240,29,14,46,83,0,NA,NA,NA,0,0
"RYANTANNEHILL","QB","fftoday","MIA","Ryan Tannehill","MIA",13,13,258.7,561,3928,26,14,54,256,1,NA,NA,NA,0,0
"DREWBREES","QB","fftoday","NO","Drew Brees","NO",14,14,257,579,4226,28,14,19,40,1,NA,NA,NA,0,0
"ELIMANNING","QB","fftoday","NYG","Eli Manning","NYG",15,15,243.6,593,4211,29,18,16,32,0,NA,NA,NA,0,0
"JAYCUTLER","QB","fftoday","CHI","Jay Cutler","CHI",16,16,238.7,564,3950,25,16,40,167,1,NA,NA,NA,0,0
