"name","pos","sourceName","team","name_ffn","team_ffn","positionRank_ffn","overallRank_ffn","points_ffn","passAtt_ffn","passYds_ffn","passTds_ffn","passInt_ffn","rushAtt_ffn","rushYds_ffn","rushTds_ffn","rec_ffn","recYds_ffn","recTds_ffn","returnTds_ffn","fumbles_ffn","dstSack_ffn","dstInt_ffn","dstFumlRec_ffn","dstBlk_ffn","fg_ffn","xp_ffn","dstFumlRec_ffn.1","dstBlk_ffn.1","fg_ffn.1","xp_ffn.1"
"ANDREWLUCK","QB","ffn","IND","Andrew Luck","IND",1,1,334,621,4753,35,15,56,255,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"AARONRODGERS","QB","ffn","GB","Aaron Rodgers","GB",2,2,317,548,4483,32,9,49,234,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"RUSSELLWILSON","QB","ffn","SEA","Russell Wilson","SEA",3,3,300,473,3702,26,11,104,582,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"PEYTONMANNING","QB","ffn","DEN","Peyton Manning","DEN",4,4,294,595,4655,35,13,27,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"DREWBREES","QB","ffn","NO","Drew Brees","NO",5,5,287,608,4635,31,13,28,59,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"BENROETHLISBERGER","QB","ffn","PIT","Ben Roethlisberger","PIT",6,6,278,598,4629,30,13,28,84,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"MATTRYAN","QB","ffn","ATL","Matt Ryan","ATL",7,7,274,607,4610,29,14,27,97,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"TONYROMO","QB","ffn","DAL","Tony Romo","DAL",8,8,272,529,4188,32,11,27,60,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"CAMNEWTON","QB","ffn","CAR","Cam Newton","CAR",9,9,269,482,3433,21,14,106,555,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"RYANTANNEHILL","QB","ffn","MIA","Ryan Tannehill","MIA",10,10,268,581,4102,27,14,49,281,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"EDDIELACY","RB","ffn","GB","Eddie Lacy","GB",1,11,228,0,0,0,0,279,1251,10,44,353,2,0,2,0,0,0,0,0,0,0,0,0,0
"ADRIANPETERSON","RB","ffn","MIN","Adrian Peterson","MIN",2,12,227,0,0,0,0,285,1319,10,43,326,1,0,2,0,0,0,0,0,0,0,0,0,0
