"playerId","playername","position","team","vor","points","actualPoints","overallRank","positionRank","dropoff","auctionValue","upper","lower","risk","sleeper"
925,"Jamaal Charles","RB","KC",206.8492,412.802,"314.05",1,1,"30.4794",1,473.0067,368.5237,"5.1514","null"
79607,"LeSean McCoy","RB","PHI",184.3141,390.2669,"233.95",2,2,"26.83",1,437.3746,336.9597,"4.2272","null"
234,"Matt Forte","RB","CHI",168.4256,374.3783,"389.1",3,3,"27.6812",1,412.8279,340.7158,"2.9836","null"
2495647,"Calvin Johnson","WR","DET",165.474,393.966,"280.55",4,1,"14.126",1,411.6679,358.093,"4.5282","null"
497328,"Demaryius Thomas","WR","DEN",155.982,384.474,"419.85",5,2,"15.1076",1,397.8224,339.1359,"3.2322","null"
497278,"Dez Bryant","WR","DAL",146.714,375.206,"382",6,3,"14.2611",1,382.201,343.7079,"4.8196","null"
2507164,"Adrian Peterson","RB","MIN",146.5427,352.4955,"11.45",7,4,"23.094",1,387.1817,311.7405,"2.7491","null"
2495454,"Julio Jones","WR","ATL",135.0348,363.5268,"375.95",8,4,"5.2324",1,380.2823,331.3186,"3.8096","null"
2495207,"DeMarco Murray","RB","DAL",134.9461,340.8989,"441.9",9,5,"29.0745",1,387.3536,285.6152,"6.968","null"
2508061,"Antonio Brown","WR","PIT",129.871,358.363,"486.65",10,5,"0.8242",1,374.3564,334.7854,"5.2281","null"
2495450,"A.J. Green","WR","CIN",129.7339,358.2259,"255.15",11,6,"12.7082",1,379.2485,324.288,"4.2097","null"
2495893,"Brandon Marshall","WR","CHI",128.3598,356.8518,"214.15",12,7,"24.2554",1,370.9218,326.9704,"5.1319","null"
2501863,"Peyton Manning","QB","DEN",125.1968,499.3698,"408",13,1,"17.1225",1,532.5361,435.6832,"3.6698","null"
497236,"Jimmy Graham","TE","NO",124.5306,345.0883,"272.35",14,1,"76.3646",1,365.1738,309.9524,"6.6698","null"
2506363,"Aaron Rodgers","QB","GB",111.9839,486.1569,"500.3",15,2,"40.0606",1,522.2072,415.6929,"3.5255","null"
2540168,"Eddie Lacy","RB","GB",111.9513,317.904,"335.25",16,6,"12.7352",1,352.9642,275.8559,"2.7301","null"
2495448,"Randall Cobb","WR","GB",105.6916,334.1836,"358.65",17,8,"3.4775",1,352.9584,286.0772,"4.3379","null"
2504775,"Drew Brees","QB","NO",104.1647,478.3377,"408.1",18,3,"68.9118",1,502.2699,454.8466,"4.5925","null"
2533039,"Alshon Jeffery","WR","CHI",102.5172,331.0092,"314.95",19,9,"3.5397",1,352.8898,284.8292,"3.9306","null"
1032,"Jordy Nelson","WR","GB",101.9109,330.4029,"403.85",20,10,"7.3255",1,339.3738,308.8377,"5.8203","null"
2539341,"Montee Ball","RB","DEN",99.792,305.7448,"31.65",21,7,"3.411",1,348.5677,242.9807,"4.4111","null"
2539217,"Andre Ellington","RB","ARI",98.64,304.5928,"176.5",22,8,"10.3231",1,331.2344,243.9041,"3.2058","null"
