"playerId","playername","position","team","vor","points","actualPoints","overallECR","overallRank","positionRank","cost","dropoff","adp","adpdiff","auctionValue","upper","lower","risk","sleeper"
2508061,"Antonio Brown","WR","PIT",210.8052,440.9327,"null","4",1,1,"null","58","3.91","2.91",49.95,463.9236,415.7479,"5.5418","null"
2540175,"LeVeon Bell","RB","PIT",193.0709,374.9595,"null","1",2,1,"null","23.9069","2.345","0.345",51.8,402.5329,321.2652,"9.501","null"
925,"Jamaal Charles","RB","KC",177.2767,359.1653,"null","3",3,2,"null","17.5554","5.15","2.15",51.05,393.3348,328.2579,"6.6081","null"
2507164,"Adrian Peterson","RB","MIN",161.0514,342.9399,"null","2",4,3,"null","8.781","3.21","-0.79",51.925,357.0861,314.7532,"5.4254","null"
2540168,"Eddie Lacy","RB","GB",158.3912,340.2798,"null","5",5,4,"null","15.7518","4.345","-0.655",51.775,359.9274,310.278,"7.8153","null"
497328,"Demaryius Thomas","WR","DEN",154.256,384.3835,"null","7",6,2,"null","3.2721","9.98","3.98",43.9,401.5861,355.9835,"5.6878","null"
2543496,"Odell Beckham","WR","NYG",151.3545,381.482,"null","10",7,3,"null","7.8929","10.655","3.655",43.725,412.7214,322.7864,"8.6305","null"
2495454,"Julio Jones","WR","ATL",150.6132,380.7407,"null","6",8,4,"null","17.486","7.78","-0.22",40.675,412.2826,346.389,"8.4266","null"
234,"Matt Forte","RB","CHI",146.1495,328.0381,"null","11",9,5,"null","8.8196","13.96","4.96",42.7,355.1795,284.0375,"5.5303","null"
2495663,"Marshawn Lynch","RB","SEA",139.1294,321.0179,"null","12",10,6,"null","10.4806","9.69","-0.31",50.875,351.1443,277.2559,"4.5975","null"
497278,"Dez Bryant","WR","DAL",136.3102,366.4377,"null","9",11,5,"null","8.6622","8.17","-2.83",46.175,386.3816,344.4076,"5.5564","null"
2540269,"C.J. Anderson","RB","DEN",135.5304,317.419,"null","13",12,7,"null","17.734","11.93","-0.07",42.05,357.5842,281.876,"5.8765","null"
2495647,"Calvin Johnson","WR","DET",129.9442,360.0717,"null","14",13,6,"null","13.6485","13.625","0.625",41.65,389.0044,321.7325,"7.313","null"
2495448,"Randall Cobb","WR","GB",125.3518,355.4793,"null","16",14,7,"null","24.2921","17.915","3.915",34.1,374.5035,330.1903,"5.5114","null"
2506363,"Aaron Rodgers","QB","GB",123.3146,446.5528,"null","29",15,1,"null","27.8327","22.79","7.79",41.275,476.4112,396.6027,"4.9043","null"
927,"Justin Forsett","RB","BAL",121.7672,303.6557,"null","17",16,8,"null","8.8501","22.145","6.145",28.525,328.9746,265.0431,"4.8841","null"
497240,"Rob Gronkowski","TE","NE",119.5353,318.5027,"null","8",17,1,"null","67.5981","12.255","-4.745",45.975,356.4465,279.7769,"5.7614","null"
2495207,"DeMarco Murray","RB","PHI",113.8257,295.7142,"null","18",18,9,"null","7.6351","17.37","-0.63",40.95,330.2089,253.2463,"6.2167","null"
2543603,"Jeremy Hill","RB","CIN",112.0084,293.8969,"null","19",19,10,"null","13.4333","17.29","-1.71",40.75,326.936,258.1604,"4.8299","null"
2495450,"A.J. Green","WR","CIN",107.2396,337.3671,"null","15",20,8,"null","15.7654","17.515","-2.485",36.075,358.6823,292.4018,"7.8498","null"
2533031,"Andrew Luck","QB","IND",104.7417,427.9799,"null","27",21,2,"null","27.0639","16.95","-4.05",38.475,462.1429,389.6055,"4.6332","null"
497204,"C.J. Spiller","RB","NO",100.3728,282.2614,"null","33",22,11,"null","6.3095","50.43","28.43",10.725,327.882,231.4238,"6.673","null"
79607,"LeSean McCoy","RB","BUF",96.7774,278.6659,"null","22",23,12,"null","16.5649","21.43","-1.57",39.925,296.5306,214.0752,"4.7575","null"
2533039,"Alshon Jeffery","WR","CHI",94.8799,325.0074,"null","20",24,9,"null","8.5486","23.91","-0.09",32.825,352.8742,299.5306,"5.3643","null"
2533034,"Lamar Miller","RB","MIA",91.3493,273.2378,"null","24",25,13,"null","25.3058","27.95","2.95",28.45,299.8992,229.0165,"4.5818","null"
2543488,"Jarvis Landry","WR","MIA",88.0685,318.196,"null","50",26,10,"null","3.9046","47.165","21.165",8.225,338.9038,282.4518,"4.4633","null"
2532975,"Russell Wilson","QB","SEA",86.222,409.4602,"null","49",27,3,"null","19.8449","57.585","30.585",25.075,448.4118,365.3584,"3.9976","null"
2532865,"T.Y. Hilton","WR","IND",84.5942,314.7217,"null","23",28,11,"null","2.4306","24.53","-3.47",31.65,339.4608,285.6766,"6.0325","null"
2543498,"Brandin Cooks","WR","NO",83.7336,313.8611,"null","26",29,12,"null","3.6705","25.05","-3.95",24.625,336.743,268.3813,"4.7544","null"
238498,"Julian Edelman","WR","NE",80.5936,310.7211,"null","34",30,13,"null","3.9864","43.26","13.26",15.9,321.421,292.8269,"7.317","null"
497322,"Emmanuel Sanders","WR","DEN",79.5325,309.66,"null","31",31,14,"null","8.2703","32.67","1.67",24.75,345.7229,270.1609,"6.2903","null"
2543468,"Mike Evans","WR","TB",73.6818,303.8093,"null","21",32,15,"null","10.9509","26.16","-5.84",30.975,332.0748,259.5306,"5.3904","null"
