"name","passYds","passTds","passComp"
"Aaron Rodgers",268.2,2,25.3
"Alex Smith",232.9,1.2,26.3
"Andrew Luck",293.1,2,29.4
"Andy Dalton",261.5,2,27.4
"Blake Bortles",248.1,1.7,26.8
"Brian Hoyer",252.2,1.3,26.3
"Cam Newton",226.9,1.3,24.7
"Carson Palmer",287.3,2,27.6
"Colin Kaepernick",214.3,1,22.5
"Drew Brees",324.3,2,32.6
"EJ Manuel",208.1,1,22.9
"Eli Manning",278.8,1.8,29.3
"Jay Cutler",239.4,1.3,25.2
"Joe Flacco",252.4,1.5,28.2
"Josh McCown",238.5,1,25.2
"Kirk Cousins",247.7,1,27.5
"Marcus Mariota",210.4,1.8,20.5
"Matt Ryan",294.4,2,29.6
"Matthew Stafford",274.3,1.8,28.7
"Mike Vick",221.8,1,25.2
"Peyton Manning",265.2,2,27.3
"Philip Rivers",299.1,1.8,29.4
"Russell Wilson",228.4,1.2,22.3
"Ryan Fitzpatrick",236.7,1.5,24.5
"Ryan Tannehill",255.5,2,28.5
"Sam Bradford",259,1.8,27.7
"Teddy Bridgewater",221.2,1.3,23.1
"Tom Brady",300.1,2.2,30.9
