"name","recYds","recTds","rec"
"Anthony Fasano",16.8,0,1.4
"Anthony McCoy",2.4,0,0.2
"Antonio Gates",55.2,0.6,5.1
"Austin Seferian-Jenkins",30.8,0.1,2.3
"Benjamin Watson",35.5,0,3.2
"Brandon Myers",16.9,0,1.7
"Brandon Pettigrew",10.3,0,1.1
"Brandon Williams",0.3,0,0
"Brent Celek",13,0,1.1
"C.J. Fiedorowicz",10.5,0,1.1
"Charles Clay",51.9,0.2,4.8
"Chase Ford",6.1,0,0.6
"Chris Gragg",6.4,0,0.6
"Clay Harbor",4,0,0.4
"Clive Walford",7.6,0,0.8
"Coby Fleener",34.2,0,3
"Cory Harkey",5.6,0,0.6
"Craig Stevens",4.7,0,0.5
"Crockett Gillmore",27.8,0,2.4
"David Johnson",0.9,0,0.1
"Delanie Walker",51.3,0.2,4.4
"Demetrius Harris",2.9,0,0.3
"Derek Carrier",12.8,0,1.2
"Dion Sims",16.8,0,1.6
"Dwayne Allen",27.2,0,2.3
"Ed Dickson",14.3,0,1.3
"Eric Ebron",33.2,0,2.9
"Garrett Celek",14.7,0,1.4
"Garrett Graham",18.8,0,1.8
"Gary Barnidge",48.9,0.2,3.8
"Gavin Escobar",13.6,0,1.3
"Greg Olsen",64,0.2,5.3
"Heath Miller",33.6,0,3.2
"Jack Doyle",3.3,0,0.5
"Jacob Tamme",29,0,2.6
"Jake Stoneburner",10.1,0,1
"James Hanna",2.3,0,0.2
"James O'Shaughnessy",12.4,0,1.1
"Jared Cook",35.5,0,3.3
"Jason Witten",51.1,0.2,4.8
"Jeff Cumberland",9.1,0,0.9
"Jermaine Gresham",15.9,0,1.6
"Jesse James",0.3,0,0
"Jim Dray",9.6,0,0.8
"Jimmy Graham",57.3,0.3,4.8
"John Phillips",1.7,0,0.2
"Jordan Cameron",40.1,0.2,3.5
"Jordan Reed",45.5,0,4.4
"Joseph Fauria",0.9,0,0.1
"Josh Hill",15.8,0,1.5
"Julius Thomas",46.9,0.2,4.3
"Kellen Davis",7.6,0,0.7
"Kyle Rudolph",31.6,0,3.1
"Ladarius Green",31.2,0,2.7
"Larry Donnell",37,0,3.8
"Lee Smith",6.2,0,0.7
"Levine Toilolo",11.8,0,1.2
"Luke Stocker",4,0,0.4
"Luke Willson",17.5,0,1.5
"Malcolm Johnson",1.3,0,0.2
"Marcedes Lewis",11.1,0,1.1
"Matt Spaeth",3,0,0.3
"Matthew Mulligan",1.5,0,0.2
"Maxx Williams",17.3,0,1.7
"Michael Hoomanawanui",3,0,0.4
"Mychal Rivera",19.5,0,2.1
"MyCole Pruitt",2.4,0,0.2
"Nic Jacobs",1.7,0,0.2
"Nick Boyle",4.7,0,0.5
"Rhett Ellison",9.9,0,1.1
"Richie Brockel",0.1,0,0
"Rob Gronkowski",68.7,1,5.1
"Rob Housler",10.1,0,0.9
"Scott Chandler",17.6,0,1.5
"Timothy Wright",13,0,1.3
"Travis Kelce",59.4,0.2,4.9
"Troy Niklas",6.1,0,0.5
"Vance McDonald",8.1,0,0.9
"Vernon Davis",26.6,0,2.2
"Zach Ertz",34.5,0,3.1
