"name","recYds","recTds","rec"
"Aaron Dobson",7.3,0,0.6
"Adam Thielen",3.2,0,0.3
"Albert Wilson",33.8,0,2.5
"Allen Hurns",54.8,0,4
"Allen Robinson",70,0.2,5
"Amari Cooper",66.4,0,4.7
"Andre Holmes",14.8,0,1
"Andre Johnson",39.9,0,3
"Andre Roberts",9.7,0,0.8
"Andrew Hawkins",35.8,0,3
"Anquan Boldin",57.3,0.2,4.8
"Antonio Brown",85.3,0.2,6.4
"Brandin Cooks",60.3,0.2,5.1
"Brandon Coleman",22.1,0,1.6
"Brandon Marshall",78.4,0.7,5.9
"Brian Hartline",30.8,0,2.1
"Brian Quick",27.1,0,2
"Brice Butler",12.7,0,0.9
"Bruce Ellington",7.4,0,0.6
"Bryan Walters",26.9,0,2.2
"Calvin Johnson",83.1,0.5,6
"Charles Johnson",31.2,0,2.6
"Chris Conley",23.4,0,1.9
"Chris Givens",9.6,0,0.8
"Chris Hogan",34.9,0.2,2.9
"Chris Matthews",15.3,0,1.1
"Chris Owusu",17.1,0,1.4
"Cole Beasley",32.1,0,3.1
"Cordarrelle Patterson",5.5,0,0.5
"Corey Brown",28.5,0,2.1
"Corey Fuller",12.7,0,0.9
"Danny Amendola",40.8,0,3.7
"Darren Waller",2,0,0.2
"Darrius Heyward-Bey",13.5,0,1.1
"De'Anthony Thomas",12.8,0,1.3
"DeAndre Hopkins",105.3,0.7,7.7
"Denarius Moore",15.3,0,1.2
"DeVante Parker",15.2,0,1.1
"Devin Funchess",22.6,0,1.7
"Devin Smith",17.1,0,1.3
"Devin Street",18.3,0,1.3
"Donte Moncrief",57.5,0.5,4.3
"Dontrelle Inman",11.8,0,0.7
"Dorial Green-Beckham",30.7,0,2
"Doug Baldwin",50.1,0,4
"Dwayne Bowe",6.6,0,0.5
"Dwayne Harris",25.5,0,2.1
"Eric Decker",58.6,0.2,4.6
"Frankie Hammond",2.3,0,0.2
"Geremy Davis",3.4,0,0.3
"Golden Tate",59.9,0.2,5
"Greg Jennings",14.7,0,1.3
"Griff Whalen",5.7,0,0.4
"Harry Douglas",25.6,0,2.2
"Jacoby Jones",3.6,0,0.2
"Jaelen Strong",23.8,0,1.8
"Jamison Crowder",44.9,0,4
"Jarius Wright",23.6,0,1.7
"Jaron Brown",11.7,0,0.8
"Jarvis Landry",62,0.2,5.9
"Jason Avant",14.5,0,1.6
"Jeremy Kerley",14.9,0,1.3
"Jeremy Maclin",64.7,0,5
"Jermaine Kearse",41.7,0,3
"Jerricho Cotchery",27.9,0,2.2
"John Brown",70.7,0.3,4.9
"Jordan Matthews",64.8,0,5.2
"Josh Huff",23.1,0,1.9
"Julian Edelman",75.2,0.7,6.8
"Julio Jones",94.6,0.8,6.9
"Justin Hunter",34,0,2.2
"Kamar Aiken",45.2,0,3.4
"Keenan Allen",82.3,0.5,6.4
"Keith Mumphery",19,0,1.6
"Kendall Wright",57,0,4.6
"Kenny Britt",42.1,0.2,3
"Kenny Stills",30.4,0,2.2
"Keshawn Martin",17.5,0,1.3
"Lance Moore",29.6,0,2.3
"Larry Fitzgerald",81.8,0.8,6.4
"Leonard Hankerson",45.2,0.2,3.6
"Louis Murphy",28.7,0,1.9
"Malcom Floyd",44,0,2.8
"Marcus Easley",4.2,0,0.3
"Markus Wheaton",26.3,0,1.7
"Marlon Brown",21.7,0,1.9
"Marqise Lee",17.4,0,1.7
"Martavis Bryant",54.9,0.3,3.8
"Michael Crabtree",54.4,0.2,4.7
"Michael Floyd",43.8,0.2,3.2
"Mike Evans",65.1,0.2,4.5
"Mike Wallace",55.5,0.2,4.1
"Miles Austin",20.6,0,1.5
"Nate Washington",43.9,0,3.2
"Nelson Agholor",23.8,0,1.8
"Nick Williams",9.5,0,0.8
"Odell Beckham",82.8,0.8,6
"Phillip Dorsett",24.9,0,1.6
"Pierre Garcon",54.9,0.2,4.8
"Quinton Patton",14.8,0,1.3
"Ricardo Lockette",8.4,0,0.6
"Riley Cooper",30.7,0,2.2
"Rishard Matthews",52.2,0,4.1
"Robert Woods",45.9,0,3.7
"Rod Streater",14.2,0,1.2
"Roddy White",33,0,2.7
"Rueben Randle",45.5,0.2,3.4
"Russell Shepard",2.3,0,0.2
"Ryan Grant",18.3,0,1.5
"Seth Roberts",12.3,0,1.1
"Stedman Bailey",27,0,1.9
"Stefon Diggs",52.7,0,4.1
"Steve Johnson",42.9,0,3.4
"Steve Smith Sr.",75.6,0.3,5.8
"T.J. Graham",1.6,0,0.1
"T.Y. Hilton",81.1,0.7,5.6
"Tavon Austin",27.5,0,2.6
"Taylor Gabriel",26.2,0,2.2
"Ted Ginn",49.2,0,3.3
"Terrance Williams",57.3,0.3,4
"Torrey Smith",42.9,0,2.4
"Travis Benjamin",67.2,0.2,4.6
"Tyler Lockett",26.2,0,2.1
"Vincent Jackson",62.8,0,4
"Willie Snead",68.6,0.2,5.3
