"name","recYds","recTds","rec"
"Aaron Ripkowski",0.1,0,0
"Adrian Peterson",17.1,0,2.5
"Ahmad Bradshaw",11.2,0,1.5
"Alfred Blue",14.6,0,2
"Alonzo Harris",0.8,0,0.1
"Ameer Abdullah",15.9,0,1.8
"Andre Ellington",15.4,0,1.7
"Andre Williams",2.8,0,0.4
"Anthony Sherman",4.2,0,0.5
"Antone Smith",1.6,0,0.2
"Antonio Andrews",16,0,1.8
"Austin Johnson",2,0,0.6
"Benny Cunningham",18.6,0,2.3
"Bilal Powell",2.8,0,0.4
"Bishop Sankey",7.7,0,0.9
"Bobby Rainey",4,0,0.5
"Branden Oliver",10.3,0,1.3
"Brandon Bolden",1,0,0.2
"Bruce Miller",8.9,0,0.8
"C.J. Anderson",14.6,0,2
"C.J. Spiller",23,0,2.7
"Cameron Artis-Payne",1.4,0,0.2
"Cedric Peerman",1.3,0,0.2
"Charcandrick West",17.4,0,2.5
"Charles Sims",28.3,0,3
"Chase Reynolds",0.7,0,0.1
"Chris Ivory",12.2,0,1.6
"Chris Johnson",10.3,0,1.3
"Chris Polk",12.6,0,1.7
"Christine Michael",6.4,0,0.9
"Damien Williams",7.2,0,1.1
"Danny Woodhead",37.4,0,4.3
"Darren McFadden",24.2,0,3.2
"David Johnson",15.9,0,1.7
"DeAngelo Williams",6,0,0.7
"Derrick Coleman",2.4,0,0.3
"Devonta Freeman",38.1,0,4.3
"Dexter McCluster",18.7,0,2.3
"Dion Lewis",36.2,0,4.3
"Donald Brown",3.1,0,0.4
"Doug Martin",22.8,0,2.8
"Dri Archer",1.4,0,0.2
"Duke Johnson",36.9,0,4.4
"Eddie Lacy",16.2,0,2.1
"Fitzgerald Toussaint",0,0,0
"Fozzy Whittaker",6.8,0,0.8
"Frank Gore",17.7,0,2.4
"Fred Jackson",13,0,1.5
"George Winn",0.2,0,0.1
"Giovani Bernard",22.2,0,3.2
"Isaiah Crowell",10.6,0,1
"Isaiah Pead",0,0,0
"Jalston Fowler",2.5,0,0.2
"James Starks",15,0,2.1
"James White",3.1,0,0.4
"Jamize Olawale",0.6,0,0.1
"Javorius Allen",9.2,0,1.2
"Jay Prosch",0.9,0,0.1
"Jeremy Hill",13.3,0,1.6
"Jeremy Langford",7.4,0,1
"Jerick McKinnon",4.6,0,0.8
"John Kuhn",4.9,0,0.6
"Joique Bell",11.7,0,1.5
"Jonas Gray",3.5,0,0.4
"Jonathan Grimes",10.9,0,1.3
"Jonathan Stewart",8.3,0,1.2
"Jordan Todman",0.9,0,0.1
"Jorvorskie Lane",0.2,0,0
"Josh Robinson",4.5,0,0.7
"Justin Forsett",23.3,0,3.4
"Juwan Thompson",3.7,0,0.5
"Ka'Deem Carey",2.2,0,0.2
"Khiry Robinson",10.1,0,1.4
"Knile Davis",7,0,0.9
"Kyle Juszczyk",11,0,1.4
"Lamar Miller",22.5,0,3
"LaMichael James",0,0,0
"Latavius Murray",18.8,0,2.9
"Le'Veon Bell",36.7,0,4.4
"LeGarrette Blount",10.3,0,1.3
"Marcel Reece",17,0,1.8
"Marcus Murphy",0.7,0,0.1
"Marcus Thigpen",0,0,0
"Mark Ingram",22.6,0,2.9
"Marshawn Lynch",17.7,0,2.3
"Matt Asiata",6.4,0,0.9
"Matt Forte",33.1,0,4.1
"Melvin Gordon",10.4,0,1.4
"Michael Burton",1.9,0,0.3
"Mike Davis",10.1,0,1.4
"Mike James",0.2,0,0
"Mike Tolbert",8.2,0,1.1
"Nikita Whitlock",1.2,0,0.1
"Orleans Darkwa",5.2,0,0.8
"Patrick DiMarco",4.7,0,0.5
"Raheem Mostert",2.3,0,0.3
"Rashad Jennings",17.7,0,2.2
"Reggie Bush",21.7,0,3
"Rex Burkhead",3.4,0,0.3
"Robert Turbin",8.3,0,1.3
"Rod Smith",0.4,0,0.1
"Ronnie Hillman",13.1,0,1.9
"Roosevelt Nix",0.1,0,0
"Roy Helu",10.8,0,1.4
"Shane Vereen",29.3,0,3.2
"Shaun Draughn",0,0,0
"Stepfan Taylor",1.3,0,0.2
"Taiwan Jones",8.1,0,1.1
"Terrance West",1.4,0,0.2
"Terrence Magee",0,0,0
"Terron Ward",4.3,0,0.5
"Tevin Coleman",6.5,0,0.8
"Theo Riddick",32.8,0,4
"Thomas Rawls",5.3,0,0.8
"Tim Hightower",0,0,0
"Todd Gurley",16.8,0,2
"Tommy Bohanon",7.7,0,0.8
"Travaris Cadet",0,0,0
"Tre Mason",5.4,0,0.7
"Tyler Clutts",1.8,0,0.4
"Will Johnson",2.4,0,0.4
"Will Tukuafu",0.1,0,0
"Zac Stacy",12.2,0,1.7
"Zach Line",5.4,0,0.4
