"name","cbs_fpts","espn_fpts","ffs_fpts","fp_fpts","fft_fpts","numfire_fpts","hodges.lehmann","mean","risk","Ceiling","Floor","Tier","rank"
"Aaron Rodgers",16.14,14.714,15.28,16.238,17.9,16.871,16.2,16.2,1,17.2,15.2,2,1
"Tom Brady",14.93,15.018,15.06,15.472,17.2,15.7834,15.4,15.6,0.8,16.4,14.8,2,2
"Drew Brees",15.92,16.016,15.64,14.872,14.2,15.7844,15.4,15.4,0.7,16.1,14.7,2,3
"Matt Ryan",16.26,13.878,15.86,14.962,15.9,14.8532,15.4,15.3,0.8,16.1,14.5,2,4
"Russell Wilson",14.3,16.068,15.32,14.814,14.6,14.8048,14.8,15,0.6,15.6,14.4,2,5
"Cam Newton",13.14,15.182,14.64,14.588,16.8,14.8604,14.9,14.9,1.1,16,13.8,4,6
"Colin Kaepernick",14.05,16.378,15.38,14.582,14.5,14.0216,14.7,14.8,0.8,15.6,14,4,7
"Andrew Luck",14.76,14.946,11.78,14.458,16.2,14.313,14.6,14.4,1.3,15.7,13.1,1,8
"Carson Palmer",14.7,12.97,13.68,13.974,15.2,14.6816,14.2,14.2,0.7,14.9,13.5,4,9
"Andy Dalton",12.84,13.67,14.52,13.686,13.8,15.5084,13.8,14,0.8,14.8,13.2,1,10
"Alex Smith",13.41,14.312,14.32,13.578,13.6,12.8238,13.6,13.7,0.5,14.2,13.2,1,11
"Eli Manning",13.03,14.656,14.38,13.396,13.3,13.7316,13.7,13.7,0.6,14.3,13.1,1,12
"Matthew Stafford",14.55,14.424,13.44,13.276,12.7,13.595,13.6,13.7,0.6,14.3,13.1,1,13
"Philip Rivers",11.27,13.474,14.08,13.246,16,13.459,13.5,13.6,1.4,15,12.2,3,14
"Ryan Fitzpatrick",14.02,13.088,12.84,13.56,15.4,12.5668,13.4,13.6,0.9,14.5,12.7,3,15
"Brian Hoyer",12.97,13.068,12.9,13.322,15,13.3944,13.2,13.4,0.7,14.1,12.7,3,16
"Peyton Manning",12.14,13.664,13.52,12.996,14,13.613,13.5,13.3,0.6,13.9,12.7,3,17
"Marcus Mariota",12.71,12.854,13.72,13.112,14.3,12.8424,13.2,13.2,0.6,13.8,12.6,3,18
"Ryan Tannehill",13.59,12.812,14.58,12.614,13.2,12.1696,13.1,13.2,0.8,14,12.4,3,19
"Sam Bradford",13.42,13.01,11.84,12.912,13.2,14.091,13.1,13.1,0.7,13.8,12.4,3,20
"Blake Bortles",11.64,15.216,12.72,12.942,13.9,11.627,12.8,13,1.3,14.3,11.7,3,21
"Teddy Bridgewater",11.96,13.65,13,12.916,13.1,13.5332,13.1,13,0.5,13.5,12.5,3,22
"Jay Cutler",12.36,12.902,13.38,12.59,13,12.627,12.8,12.8,0.3,13.1,12.5,3,23
"Joe Flacco",11.92,13.564,13.04,12.53,12.3,13.5978,12.8,12.8,0.6,13.4,12.2,3,24
"Josh McCown",12.46,12.37,10.14,12.518,13,12.7468,12.5,12.2,1,13.2,11.2,3,25
