"name","espn_fpts","fft_fpts","ffs_fpts","mean","risk","Ceiling","Floor","rank"
"Le'Veon Bell",18.4,20,21.01,19.8,1.3,21.1,18.5,1
"Adrian Peterson",18,20,18.71,18.9,1,19.9,17.9,2
"Jamaal Charles",16.9,20,20.59,19.2,2,21.2,17.2,3
"Marshawn Lynch",17,19,19.61,18.5,1.4,19.9,17.1,4
"Matt Forte",16,17,12.97,15.3,2.1,17.4,13.2,5
"C.J. Anderson",13.5,14,17.07,14.9,1.9,16.8,13,6
"Latavius Murray",15,18,12.66,15.2,2.7,17.9,12.5,7
"Justin Forsett",14.8,12,12.01,12.9,1.6,14.5,11.3,8
"LeSean McCoy",13.7,18,11.55,14.4,3.3,17.7,11.1,9
"Jeremy Hill",10.2,15,14.68,13.3,2.7,16,10.6,10
"Isaiah Crowell",10.8,18,13.13,14,3.7,17.7,10.3,11
"Jonathan Stewart",13.9,17,9.98,13.6,3.5,17.1,10.1,12
"Mark Ingram",9.4,18,16.66,14.7,4.6,19.3,10.1,13
"Giovani Bernard",10.5,10,9.89,10.1,0.3,10.4,9.8,14
"Danny Woodhead",11.3,13,9.59,11.3,1.7,13,9.6,15
"Frank Gore",12.1,14,9.48,11.9,2.3,14.2,9.6,16
"Melvin Gordon",11.1,14.5,10.11,11.9,2.3,14.2,9.6,17
"Carlos Hyde",12.2,17,10.08,13.1,3.5,16.6,9.6,18
"DeMarco Murray",13.9,10,NA,11.9,2.8,14.7,9.1,19
"Shane Vereen",11,11,8.15,10.1,1.6,11.7,8.5,20
"Ameer Abdullah",13,17,8,12.7,4.5,17.2,8.2,21
"T.J. Yeldon",12.5,11,7.98,10.5,2.3,12.8,8.2,22
"Devonta Freeman",14.6,17.5,7.35,13.2,5.2,18.4,8,23
"Lamar Miller",13,8.5,9.08,10.2,2.4,12.6,7.8,24
"Bilal Powell",12.7,8.5,8.46,9.9,2.4,12.3,7.5,25
"Dion Lewis",13.4,19.5,7.2,13.4,6.2,19.6,7.2,26
"Doug Martin",10.7,7,7.4,8.4,2,10.4,6.4,27
"Ronnie Hillman",7.3,7,6.12,6.8,0.6,7.4,6.2,28
"Tre Mason",9.9,7.5,6.49,8,1.8,9.8,6.2,29
"Alfred Morris",6.7,13.5,8.82,9.7,3.5,13.2,6.2,30
"Chris Johnson",10.6,8,6.22,8.3,2.2,10.5,6.1,31
"LeGarrette Blount",8.9,13.5,6.52,9.6,3.5,13.1,6.1,32
"C.J. Spiller",9.3,7,6.08,7.5,1.7,9.2,5.8,33
"Darren Sproles",7.6,8.5,5.49,7.2,1.5,8.7,5.7,34
"Rashad Jennings",9,8,5.38,7.5,1.9,9.4,5.6,35
"Charles Sims",7.8,6,5.83,6.5,1.1,7.6,5.4,36
"Joseph Randle",11,14.5,4.81,10.1,4.9,15,5.2,37
"Lance Dunbar",7.3,8.5,4.83,6.9,1.9,8.8,5,38
"Terron Ward",4.9,NA,4.76,4.8,0.1,4.9,4.7,39
"Andre Williams",4.6,NA,4.75,4.7,0.1,4.8,4.6,40
"Dexter McCluster",7,7.5,4.41,6.3,1.7,8,4.6,41
"Joique Bell",5.9,5,9.42,6.8,2.3,9.1,4.5,42
"Matt Jones",8.9,10.5,3.85,7.8,3.5,11.3,4.3,43
"Josh Robinson",6.3,4,7.13,5.8,1.6,7.4,4.2,44
"Darren McFadden",5.4,4.5,4.19,4.7,0.6,5.3,4.1,45
"Alfred Blue",6.9,4,9.42,6.8,2.7,9.5,4.1,46
"Bishop Sankey",8.7,9,3.68,7.1,3,10.1,4.1,47
"De'Anthony Thomas",4.5,4,NA,4.2,0.4,4.6,3.8,48
"David Johnson",10.5,16.5,3.67,10.2,6.4,16.6,3.8,49
"Chris Polk",9.4,6.5,3.73,6.5,2.8,9.3,3.7,50
"Jerick McKinnon",4.1,4,5.76,4.6,1,5.6,3.6,51
"Lorenzo Taliaferro",6.2,4,4.18,4.8,1.2,6,3.6,52
"Zac Stacy",7.2,NA,4.15,5.7,2.2,7.9,3.5,53
"James Starks",12.6,17.5,2.75,10.9,7.5,18.4,3.4,54
"Karlos Williams",4,4,6.46,4.8,1.4,6.2,3.4,55
"Knile Davis",3.4,3.5,3.97,3.6,0.3,3.9,3.3,56
"Damien Williams",4.4,3,3.77,3.7,0.7,4.4,3,57
"Marcel Reece",3.1,4,5.33,4.1,1.1,5.2,3,58
"Mike Tolbert",3.7,3,4.54,3.7,0.8,4.5,2.9,59
"Taiwan Jones",4.1,NA,3.13,3.6,0.7,4.3,2.9,60
"Mike Davis",2.8,3,3.09,3,0.1,3.1,2.9,61
"Khiry Robinson",3.2,NA,5.21,4.2,1.4,5.6,2.8,62
"Fred Jackson",2.8,4.5,6.79,4.7,2,6.7,2.7,63
"DeAngelo Williams",3.4,NA,7.21,5.3,2.7,8,2.6,64
"Theo Riddick",5.4,6,2.32,4.6,2,6.6,2.6,65
"Toby Gerhart",2.6,NA,2.92,2.8,0.2,3,2.6,66
"Kyle Juszczyk",2.7,NA,2.42,2.6,0.2,2.8,2.4,67
"Todd Gurley",5.9,2,7.32,5.1,2.8,7.9,2.3,68
"Ryan Mathews",2.5,4.5,8.05,5,2.8,7.8,2.2,69
"Jonathan Grimes",6.2,3,2.62,3.9,2,5.9,1.9,70
"Alonzo Harris",2.3,NA,NA,2.3,NA,NA,NA,71
"Benjamin Cunningham",6.6,NA,NA,6.6,NA,NA,NA,72
"Chris Thompson",3.3,NA,NA,3.3,NA,NA,NA,73
"Duke Johnson Jr.",10.3,NA,NA,10.3,NA,NA,NA,74
"John Kuhn",2.3,NA,NA,2.3,NA,NA,NA,75
