"name","cbs_team","cbs_rushatt","cbs_rushyd","cbs_rushtd","cbs_recpts","cbs_recyd","cbs_rectd","cbs_fl","cbs_fpts","espn_team","espn_rushatt","espn_rushyd","espn_rushtd","espn_recpts","espn_recyd","espn_rectd","espn_fpts","ffs_team","ffs_rushatt","ffs_rushyd","ffs_rushtd","ffs_recpts","ffs_recyd","ffs_rectd","ffs_fpts","fp_team","fp_rushatt","fp_rushyd","fp_rushtd","fp_recpts","fp_recyd","fp_rectd","fp_fl","fp_fpts","numfire_team","numfire_rank","numfire_rushatt","numfire_rushyd","numfire_rushtd","numfire_recpts","numfire_recyd","numfire_rectd","numfire_fpts"
"Alfred Blue","HOU",11,41.7,0.2,1,7.1,0,0.1,6.846," HOU",6.8,25.7,0.2,0.3,2,0,3.4,"HOU",10.87,37,0.18,0.85,6,0.03,5.85,"HOU",8.1,31.4,0.2,1,7.9,0,"0.1",6,"HOU","40",7.35,29.72,0.21,1.85,15.53,0.03,7.74
"Alfred Morris","WAS",13.6,61.6,0.3,1.2,8,0,0.1,9.72," WSH",13.3,58.3,0.4,1,7.9,0,8.6,"WAS",19.89,82,0.35,1.06,8,0,11.06,"WAS",12.1,52.4,0.3,1.1,7.8,0,"0.1",8.7,"WSH","32",11.28,49.45,0.34,1.49,9.91,0.05,9.61
"Ameer Abdullah","DET",13.5,43.6,0.3,2.6,24.5,0.2,0.1,12.23," DET",12.8,54.1,0.4,3.4,27.8,0.1,13.1,"DET",12.01,48,0.39,3.57,33,0.28,15.57,"DET",13,49.6,0.3,2.4,20.8,0.1,"0.1",11.4,"DET","27",11.3,43.39,0.18,2.55,20.8,0.13,10.69
"Andre Ellington","ARI",9.7,35.1,0.3,2.5,20.4,0.1,0.4,9.61," ARI",6.7,25,0.2,2.6,23.1,0.1,8.7,"ARI",12.33,49,0.41,2.3,21,0.11,11.3,"ARI",7.3,26.9,0.2,2.2,18.1,0.1,"0.3",7.6,"ARI","45",7.74,28.39,0.14,1.9,15.13,0.03,7.07
"Andre Williams","NYG",7.8,25.6,0.4,0.7,5.5,0,0.1,6.033," NYG",11,45.2,0.3,0.1,1,0,6.1,"NYG",10.53,35,0.33,0.6,5,0,5.6,"NYG",10,37.3,0.3,0.6,3.9,0,"0.1",6.2,"NYG","31",14.15,51.97,0.34,1.53,9.03,0,9.67
"Antonio Andrews","TEN",7.2,31.4,0.2,1.2,10.1,0.1,0.1,6.91," TEN",9.8,41.7,0.3,0.7,5.6,0,6.5,"TEN",5.62,21,0.02,0.61,5,0,4.61,"TEN",6.4,27.3,0.2,0.8,7.1,0,"0.1",5.2,"TEN","65",2.29,8.45,0.05,0.67,5.62,0.01,2.4
"Arian Foster","HOU",16.2,67,0.4,2.7,23.8,0.3,0.2,15.56," HOU",17.1,74.6,0.5,3.7,28.3,0.2,16.8,"HOU",14.65,65,0.28,2.32,20,0.16,13.32,"HOU",16.8,70.5,0.6,2.7,22.2,0.2,"0.2",16.2,"HOU","5",14.15,60.74,0.5,3.21,26.11,0.18,15.72
"Bishop Sankey","TEN",9.4,40.1,0.2,1.1,9.6,0.1,0.1,7.68," TEN",7.8,33.2,0.2,1.2,8.7,0,5.4,"TEN",5.22,20,0.1,0.64,6,0.06,4.64,"TEN",9.7,39.9,0.2,1.4,11.4,0,"0.1",7.6,"TEN","28",12.04,50.16,0.26,2.05,16.04,0.09,10.61
"C.J. Anderson","DEN",10.8,39.9,0.3,2.4,21.6,0.1,0.1,10.73," DEN",12.3,48.2,0.4,2,16.5,0.1,9.5,"DEN",16.53,66,0.47,3.27,28,0.14,15.27,"DEN",10.6,40.8,0.2,2.1,16.1,0.1,"0.1",9.6,"DEN","34",7.68,30.87,0.19,2.33,17.58,0.15,9.14
"C.J. Spiller","NO",5.2,21.9,0.1,2.8,33,0.2,0.1,9.85," NO ",3,12.2,0.1,4.3,39.3,0.1,9.2,"NO",4.21,14,0.07,2.33,29,0.13,8.33," NO",4.6,18,0.1,3.5,31.8,0.1,"0.1",9.6,"NO","33",5.14,17.58,0.11,3.33,26.83,0.22,9.49
