"name","cbs_fpts","espn_fpts","ffs_fpts","fp_fpts","fft_fpts","numfire_fpts","mean","risk","Ceiling","Floor","Tier","rank"
"Rob Gronkowski",17.95,15.8,23.92,18.1,NA,17.03,18.6,3.1,21.7,15.5,7,1
"Martellus Bennett",12.38,12.8,14.94,14.6,NA,14.39,13.8,1.2,15,12.6,7,2
"Travis Kelce",15.86,12.2,12.56,14.4,NA,12.92,13.6,1.5,15.1,12.1,7,3
"Antonio Gates",12.07,10.1,20.54,11.7,NA,9.49,12.8,4.5,17.3,8.3,6,4
"Jason Witten",10.44,13.3,14.76,12,NA,13.35,12.8,1.6,14.4,11.2,7,5
"Tyler Eifert",12.16,9.8,16.46,12.5,NA,11.45,12.5,2.5,15,10,7,6
"Charles Clay",10.88,11.1,13.37,12.8,NA,10.94,11.8,1.2,13,10.6,7,7
"Jimmy Graham",11.22,9.8,12.19,11.4,NA,11.88,11.3,0.9,12.2,10.4,7,8
"Delanie Walker",6.51,10,13.23,10.6,NA,8.11,9.7,2.6,12.3,7.1,6,9
"Larry Donnell",8.59,10,11.71,8.4,NA,7.93,9.3,1.5,10.8,7.8,6,10
"Owen Daniels",7.5,9.7,9.19,9.3,NA,9,8.9,0.8,9.7,8.1,6,11
"Jared Cook",7.56,9.5,9.93,8.7,NA,7.57,8.7,1.1,9.8,7.6,6,12
"Heath Miller",6.84,6,11.72,7.3,NA,9.74,8.3,2.4,10.7,5.9,6,13
"Julius Thomas",9.95,9.4,5.71,8.6,NA,7.44,8.2,1.7,9.9,6.5,6,14
"Gary Barnidge",8.73,6.5,9.91,8.2,NA,7.17,8.1,1.3,9.4,6.8,6,15
"Crockett Gillmore",10.74,NA,NA,5.3,NA,NA,8,3.8,11.8,4.2,4,16
"Zach Ertz",6,7.9,10.23,7.2,NA,7.69,7.8,1.5,9.3,6.3,6,17
"Derek Carrier",5.16,7.6,11.82,6.6,NA,7.11,7.7,2.5,10.2,5.2,4,18
"Coby Fleener",7.85,5.3,10.13,7.1,NA,7.8,7.6,1.7,9.3,5.9,6,19
"Richard Rodgers",7.37,7.8,7.42,7.3,NA,6.83,7.3,0.3,7.6,7,6,20
"Dwayne Allen",6.83,5.5,8.63,5.7,NA,6.71,6.7,1.2,7.9,5.5,6,21
"Maxx Williams",5.79,7.7,7.36,6.2,NA,6.31,6.7,0.8,7.5,5.9,6,22
"Ladarius Green",8.31,5.3,7.13,6.5,NA,5,6.4,1.4,7.8,5,4,23
"Timothy Wright",7.15,5.2,NA,NA,NA,NA,6.2,1.4,7.6,4.8,4,24
"Jacob Tamme",5.77,5.3,4.49,6.1,NA,7.54,5.8,1.1,6.9,4.7,4,25
"Garrett Graham",6.38,5.3,5.87,4.8,NA,6.16,5.7,0.6,6.3,5.1,4,26
"Garrett Celek",6.41,6.8,3.24,6.4,NA,4.76,5.5,1.5,7,4,4,27
"Clay Harbor",7,NA,5.67,3.4,NA,NA,5.4,1.8,7.2,3.6,4,28
"Mychal Rivera",4.3,4.6,7.78,4.5,NA,6.05,5.4,1.5,6.9,3.9,4,29
"Nick Boyle",6.29,5,NA,4.4,NA,NA,5.2,1,6.2,4.2,4,30
"Scott Chandler",5.19,5.6,5.77,4.4,NA,3.85,5,0.8,5.8,4.2,4,31
"Brandon Myers",4.07,5.1,6.07,4.2,NA,NA,4.9,0.9,5.8,4,4,32
"Brandon Pettigrew",3.6,3.4,5.5,4.8,NA,7.37,4.9,1.6,6.5,3.3,4,33
"Benjamin Watson",5.08,5.1,NA,5,NA,3.63,4.7,0.7,5.4,4,4,34
"Lance Kendricks",5.95,4.8,4.37,5,NA,3.3,4.7,1,5.7,3.7,4,35
"Brent Celek",4.85,NA,5.63,3.2,NA,3.86,4.4,1.1,5.5,3.3,4,36
"Darren Fells",5.56,3.5,2.73,4.8,NA,5.11,4.3,1.2,5.5,3.1,4,37
"Virgil Green",6.25,NA,3.11,3.4,NA,4.28,4.3,1.4,5.7,2.9,4,38
"Jermaine Gresham",3.81,3.7,6.1,3.6,NA,3.13,4.1,1.2,5.3,2.9,4,39
"Marcedes Lewis",4.14,NA,3.19,3.7,NA,4.98,4,0.8,4.8,3.2,4,40
"Vance McDonald",3.46,3,7.05,2.6,NA,NA,4,2,6,2,4,41
"Anthony Fasano",3.11,3.5,4.45,3.9,NA,4,3.8,0.5,4.3,3.3,4,42
"Luke Willson",4.38,3.2,4.16,3.5,NA,3.78,3.8,0.5,4.3,3.3,4,43
"Rob Housler",5.02,NA,NA,2.6,NA,NA,3.8,1.7,5.5,2.1,4,44
"Josh Hill",6.08,3,2.88,3.5,NA,3.1,3.7,1.3,5,2.4,4,45
"Jim Dray",4.22,NA,2.72,NA,NA,NA,3.5,1.1,4.6,2.4,4,46
"Gavin Escobar",4.47,3.4,2.59,3.5,NA,2.63,3.3,0.8,4.1,2.5,4,47
"James O'Shaughnessy",4.47,NA,2.82,2.6,NA,3.28,3.3,0.8,4.1,2.5,4,48
"Lee Smith",3.37,NA,2.74,NA,NA,NA,3.1,0.4,3.5,2.7,4,49
"MarQueis Gray",2.409,NA,NA,2.5,NA,NA,2.5,0.1,2.6,2.4,4,50
