"name","cbs_team","cbs_recpts","cbs_yd","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","fft_team","fft_recpts","fft_yd","fft_td","fft_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts","fp_team","fp_recpts","fp_yd","fp_td","fp_fl","fp_fpts","numfire_team","numfire_recpts","numfire_yd","numfire_td","numfire_fpts"
"Anthony Fasano","TEN",1.1,14.3,0.1,0,3.11," TEN",1.5,17.4,0.2,3.5,NA,NA,NA,NA,NA,"TEN",1.45,21,0.2,4.45,"TEN",1.5,16.5,0.1,"0.0",3.9,"TEN",1.65,18.47,0.09,4
"Antonio Gates","SD",4.2,50.4,0.5,0.1,12.07," SD ",3.7,45.2,0.4,10.1,NA,NA,NA,NA,NA,"SD",4.54,51,0.51,20.54," SD",4,45.9,0.5,"0.1",11.7,"SD",3.46,36.85,0.39,9.49
"Benjamin Watson","NO",2.4,25,0.1,0.2,5.08," NO ",2.3,25.6,0.1,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," NO",2.3,24.4,0.1,"0.1",5,"NO",1.79,15.16,0.06,3.63
"Brandon Myers","TB",1.9,15.9,0.1,0,4.07," TB ",2.2,25,0.2,5.1,NA,NA,NA,NA,NA,"TB",2.07,21,0.13,6.07," TB",1.8,18.5,0.1,"0.0",4.2,NA,NA,NA,NA,NA
"Brandon Pettigrew","DET",1.6,14.5,0.1,0,3.6," DET",1.6,18,0.1,3.4,NA,NA,NA,NA,NA,"DET",1.5,16,0.12,5.5,"DET",2.1,20.4,0.1,"0.0",4.8,"DET",3.48,28.71,0.21,7.37
"Brent Celek","PHI",1.4,18.7,0.3,0.1,4.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI",1.63,19,0.22,5.63,"PHI",1.2,14.2,0.1,"0.1",3.2,"PHI",1.33,16.87,0.14,3.86
"C.J. Fiedorowicz","HOU",1.9,20.2,0.3,0.2,5.32," HOU",0.9,10.1,0.1,2.3,NA,NA,NA,NA,NA,"HOU",0.6,7,0.12,2.6,"HOU",0.9,10.3,0.1,"0.1",2.4,"HOU",1.09,8.29,0.03,2.08
"Charles Clay","BUF",4.1,50,0.3,0,10.88," BUF",4.4,48.2,0.5,11.1,NA,NA,NA,NA,NA,"BUF",4.37,52,0.39,13.37,"BUF",4.6,51.7,0.5,"0.0",12.8,"BUF",4.37,48.51,0.32,10.94
"Clay Harbor","JAC",2.6,28,0.3,0.1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAC",1.67,17,0.13,5.67,"JAC",1.4,14.5,0.1,"0.1",3.4,NA,NA,NA,NA,NA
"Coby Fleener","IND",3,36.2,0.2,0,7.85," IND",2.2,26.2,0.2,5.3,NA,NA,NA,NA,NA,"IND",3.13,38,0.31,10.13,"IND",2.8,32.4,0.2,"0.0",7.1,"IND",2.94,32.35,0.27,7.8
"Crockett Gillmore","BAL",2.4,41.1,0.7,0,10.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"alf",1.2,20.5,0.4,"0.0",5.3,NA,NA,NA,NA,NA
