"name","cbs_team","cbs_recpts","cbs_yd","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts","fp_team","fp_rushatt","fp_rushyd","fp_rushtd","fp_recpts","fp_recyd","fp_rectd","fp_fl","fp_fpts","numfire_team","numfire_rank","numfire_rushatt","numfire_rushyd","numfire_rushtd","numfire_recpts","numfire_recyd","numfire_rectd","numfire_fpts"
"A.J. Green","CIN",5.5,86,0.7,0.1,18.1," CIN",5.5,78.3,0.5,15.7,"CIN",6.02,91,0.53,21.02,"CIN",0.1,0.9,0,6.4,86.4,0.6,"0.0",18.8,"CIN","7",0.07,0.77,0,5.6,82.38,0.48,16.7
"Albert Wilson","KC",1.8,21.7,0.1,0,4.54," KC ",1.8,21.1,0.1,4.3,NA,NA,NA,NA,NA," KC",0,0,0,1.6,19.2,0.1,"0.0",3.9,"KC","58",0,0,0,2.35,29.76,0.08,5.75
"Allen Hurns","JAC",4.1,55.7,0.3,0.1,11.31," JAX",3.7,50.3,0.2,10,"JAC",3.41,49,0.33,8.41,"JAC",0,0,0,4.6,59.8,0.5,"0.1",13.5,"JAC","28",0,0,0,4.23,57.1,0.32,11.78
"Allen Robinson","JAC",5.2,70.5,0.4,0,14.65," JAX",4.3,60.4,0.3,11.8,"JAC",4.37,63,0.52,16.37,"JAC",0,0,0,5,69.8,0.5,"0.0",15.2,"JAC","23",0,0,0,4.18,60.9,0.32,12.11
"Amari Cooper","OAK",5.8,83.4,0.4,0.1,16.34," OAK",5.8,62.5,0.4,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andre Caldwell","DEN",1.1,12.7,0.1,0,2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DEN","100",0,0,0,1.1,9.25,0.03,2.21
"Andre Holmes","OAK",2,28,0.2,0,5.98," OAK",0.9,12.5,0.1,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andre Johnson","IND",4.4,50.1,0.3,0.1,11.04," IND",2.9,32.1,0.3,7.4,"IND",3.83,40,0.43,7.83,"IND",0,0,0,3.2,40.4,0.2,"0.1",8.6,"IND","42",0,0,0,3.19,40.87,0.29,9.04
"Andre Roberts","WAS",3,40.2,0.1,0.1,7.38,NA,NA,NA,NA,NA,"WAS",1.47,17,0.04,3.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrew Hawkins","CLE",3.3,43.6,0.1,0,8.26," CLE",3.6,37.4,0.1,7.4,"CLE",3.37,40,0.06,7.37,"CLE",0.1,0.2,0,3,32.8,0.1,"0.0",7,"CLE","66",0.05,0.67,0,2.02,22.22,0.14,5.13
