"name","cbs_fpts","espn_fpts","ffs_fpts","fp_fpts","numfire_fpts","hodges.lehmann","mean","risk","Ceiling","Floor","Tier","rank"
"Julio Jones",27.4,19.2,22.7,23.4,23.41,23.3,23.2,2.6,25.8,20.6,7,1
"Demaryius Thomas",21.5,18.4,28.58,21.1,20.16,21.1,21.8,3.5,25.3,18.3,7,2
"Odell Beckham",19.88,17.9,30.32,19.9,16.75,19.9,20.8,4.9,25.7,15.9,6,3
"Julian Edelman",19.68,18,24.85,19.6,19.02,19.6,20.1,2.4,22.5,17.7,7,4
"Randall Cobb",19.65,17.5,23.35,18.8,19.3,19.3,19.6,2,21.6,17.6,7,5
"DeAndre Hopkins",17.06,18.3,21.45,19.5,20.13,19.3,19.3,1.5,20.8,17.8,7,6
"Antonio Brown",17.62,16.1,28.95,18.2,14.43,17.6,18.8,5.1,23.9,13.7,6,7
"Keenan Allen",19.1,15.4,24.89,18.5,16.54,18.5,18.8,3.3,22.1,15.5,6,8
"Calvin Johnson",14.97,18.9,25.82,17.5,16.91,17.9,18.7,3.7,22.4,15,6,9
"Emmanuel Sanders",18.7,16.8,26.3,16.8,16.03,17.7,18.7,3.8,22.5,14.9,6,10
"Larry Fitzgerald",16.74,15,25.93,17,15.95,16.7,17.9,4,21.9,13.9,6,11
"A.J. Green",16.77,14.2,24.44,17.2,16.7,17,17.7,3.5,21.2,14.2,6,12
"Jeremy Maclin",17.41,15,21.14,16,14.84,16.2,16.8,2.3,19.1,14.5,6,13
"Jordan Matthews",14.65,13.2,23.45,15.5,15.52,15.5,16.3,3.6,19.9,12.7,6,14
"T.Y. Hilton",13.76,13.4,18.27,15,13,14.2,14.6,1.9,16.5,12.7,6,15
"Amari Cooper",12.74,13.7,14.29,15.1,NA,14,14,0.9,14.9,13.1,6,16
"Mike Evans",14.14,12.8,14.19,14.3,NA,14.2,13.9,0.6,14.5,13.3,6,17
"Vincent Jackson",13.77,11.9,16.6,13.2,NA,13.6,13.8,1.7,15.5,12.1,6,18
"Allen Robinson",12.61,12.9,16.8,14.3,12.11,13.5,13.7,1.7,15.4,12,6,19
"James Jones",15.17,11.5,12.72,14.5,14.51,13.6,13.7,1.4,15.1,12.3,6,20
"Brandin Cooks",12.2,12.6,15.84,14.2,13.35,13.4,13.6,1.3,14.9,12.3,6,21
"Terrance Williams",11.76,11.1,18.35,13.2,NA,12.8,13.4,2.9,16.3,10.5,5,22
"Golden Tate",11.26,12.8,15.86,13.2,12.95,13,13.2,1.5,14.7,11.7,6,23
"Pierre Garcon",15.19,13.2,11.87,15.2,10.38,13.2,13.2,1.9,15.1,11.3,6,24
"Kendall Wright",10.24,13.3,16.98,12.1,11.94,12.6,12.9,2.3,15.2,10.6,5,25
"Leonard Hankerson",13.35,11.3,16,12.4,10.64,12.4,12.7,1.9,14.6,10.8,5,26
"Donte Moncrief",11.19,11.8,18.7,11.3,10.62,11.5,12.5,3.1,15.6,9.4,5,27
"Anquan Boldin",11.35,10.4,15.74,12.8,11.71,12.1,12.4,1.8,14.2,10.6,5,28
"Kamar Aiken",10.43,9.5,22.85,11.1,9.31,10.4,12.3,5.2,17.5,7.1,5,29
"John Brown",11.08,11,14.12,12.6,11.86,11.9,12.1,1.2,13.3,10.9,5,30
"Allen Hurns",14.46,9.1,12.88,11.9,11.78,11.9,12,1.7,13.7,10.3,5,31
"Willie Snead",10.84,10.6,16.2,9.8,11.25,10.9,11.6,2.3,13.9,9.3,5,32
"Travis Benjamin",10.41,10,13.75,12.3,11.17,11.4,11.5,1.4,12.9,10.1,5,33
"Michael Crabtree",9.19,12.1,11.5,11.6,NA,11.5,11.2,1.1,12.3,10.1,5,34
"Doug Baldwin",10.74,10.1,15.63,11.3,7.77,10.7,11,2.6,13.6,8.4,5,35
"Rueben Randle",12.37,10.8,14.37,11.1,4.1,11.1,10.6,3.5,14.1,7.1,5,36
"Percy Harvin",11.01,10,10.2,13.2,8.14,10.5,10.5,1.6,12.1,8.9,5,37
"Marques Colston",9.01,9.9,12.85,8.6,NA,9.7,10,1.7,11.7,8.3,5,38
"Torrey Smith",7.56,7.8,17.12,8.3,9.17,8.5,9.7,3.7,13.4,6,2,39
"Kenny Britt",8.39,8.2,10.87,10.8,NA,9.6,9.6,1.3,10.9,8.3,5,40
