"name","cbs_team","cbs_recpts","cbs_yd","cbs_avg","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","fftoday_team","fft_recpts","fft_yd","fft_td","fft_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts"
"A.J. Green","CIN",5.9,77.9,13.2,0.5,0.1,16.49," CIN",5.5,78.7,0.4,15,NA,NA,NA,NA,NA,"CIN",4.95,74,0.48,11.95
"Aaron Dobson","NE",1.2,15.2,12.5,0.1,0,3.34," NE ",3.2,42.8,0.3,9.1,NA,NA,NA,NA,NA,"NEP",1.88,19,0.11,3.88
"Adam Thielen","MIN",0.1,0.9,15.9,0,0,0.146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIN",0.42,7,0.05,1.42
"Albert Wilson","KC",1.7,23.1,13.4,0.1,0,4.63," KC ",2.2,24.7,0.1,5,NA,NA,NA,NA,NA,"KCC",1.75,23,0,3.75
"Allen Hurns","JAC",4.2,52.8,12.5,0.3,0.1,11.09," JAX",3.8,50.1,0.2,10,NA,NA,NA,NA,NA,"JAC",3.24,41,0.17,7.24
"Allen Robinson","JAC",5.3,66,12.5,0.4,0,14.3," JAX",5.2,71.6,0.3,13.8,NA,NA,NA,NA,NA,"JAC",4.55,68,0.5,17.55
"Amari Cooper","OAK",4.7,60,12.8,0.3,0.1,12.3," OAK",5.1,58.6,0.3,12,NA,NA,NA,NA,NA,"OAK",4.99,66,0.38,11.99
"Andre Caldwell","DEN",1.1,12.9,11.8,0.1,0,2.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DEN",0.41,3,0,0.41
"Andre Holmes","OAK",1.6,20.7,12.7,0.1,0,4.3," OAK",0.8,11.9,0.1,2.2,NA,NA,NA,NA,NA,"OAK",2.27,29,0.04,5.27
"Andre Johnson","IND",4.8,56.8,11.9,0.3,0.1,12.05," IND",3.9,47.5,0.5,10.5,NA,NA,NA,NA,NA,"IND",4.04,40,0.11,8.04
"Andre Roberts","WAS",2,25.7,12.8,0.1,0.1,4.97," WSH",2.7,32.7,0.1,6.6,NA,NA,NA,NA,NA,"WAS",2.45,36,0.13,6.45
"Andrew Hawkins","CLE",3.1,43,14.1,0.2,0,8.56," CLE",3.7,39.5,0.2,7.7,NA,NA,NA,NA,NA,"CLE",4.21,60,0.22,10.21
"Anquan Boldin","SF",4.8,62.1,13,0.3,0,12.79," SF ",4.9,60.3,0.2,12.1,NA,NA,NA,NA,NA,"SFO",5.41,69,0.44,12.41
"Antonio Brown","PIT",8.8,115,13.1,0.6,0.1,23.7," PIT",7.6,104.1,0.6,21.5,NA,NA,NA,NA,NA,"PIT",7.79,109,0.69,24.79
"Bennie Fowler","DEN",1.3,15.7,12.1,0.1,0,3.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DEN",0,0,0,0
"Brandin Cooks","NO",5.8,62.7,10.8,0.2,0,13.27," NO ",4.1,48.4,0.2,9.6,NA,NA,NA,NA,NA,"NOS",4,49,0.24,9
"Brandon Coleman","NO",2.8,32.1,11.3,0.3,0.1,7.65," NO ",2.6,36.7,0.2,6.9,NA,NA,NA,NA,NA,"NOS",2.57,33,0.17,5.57
"Brandon Marshall","NYJ",4.8,72.8,15.2,0.7,0.1,16.06," NYJ",6.4,78.7,0.6,16.7,NA,NA,NA,NA,NA,"NYJ",6.13,72,0.73,19.13
"Brandon Tate","CIN",1.2,14.9,12.3,0.1,0.1,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",0.54,8,0.01,1.54
"Brian Hartline","CLE",2.9,51.2,17.5,0.2,0,9.25," CLE",2.4,32.9,0.2,6.4,NA,NA,NA,NA,NA,"CLE",2.78,36,0.11,6.78
"Brian Quick","STL",0.1,2.5,18.1,0,0,0.387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STL",0,0,0,0
"Brice Butler","DAL",0.1,1.4,17.7,0,0,0.217," DAL",1.7,22.6,0.2,4.6,NA,NA,NA,NA,NA,"DAL",0.73,9,0.05,1.73
"Brittan Golden","ARI",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARI",0.17,3,0,0.17
"Bruce Ellington","SF",1.2,15.9,13.7,0.3,0,4.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SFO",0.8,8,0.06,1.8
