"name","numfire_dkcost","cbs_fpts","espn_fpts","ffs_fpts","fftoday_fpts","fp_fpts","numfire_fpts","hodges.lehmann","mean","risk","rank","best","worst","avg","sd","Ceiling","Floor","Tier"
"Devonta Freeman",7900,21.02,21.18,19.11,23.5,22.6,22.665,21.8,21.7,1.6,1,1,7,1.5,1,23.3,20.1,2
"Le'Veon Bell",8400,25.62,20.45,22.62,22,15.95,20.677,21.3,21.2,3.2,2,1,5,2.8,1.1,24.4,18,2
"Adrian Peterson",7600,11.65,18.46,10.52,21.5,19.19,19.296,16.6,16.8,4.5,3,1,9,4.6,1.5,21.3,12.3,4
"Todd Gurley",5000,16.88,20.26,11.34,19,18.47,12.446,16.4,16.4,3.7,4,1,15,3.2,2.3,20.1,12.7,4
"Mark Ingram",6300,11.85,16.64,18.19,18.5,17.61,11.405,15.2,15.7,3.2,5,3,20,9.1,2.9,18.9,12.5,4
"Arian Foster",7500,14.61,14.61,11.39,22.5,15.03,14.06,14.6,15.4,3.7,6,1,12,4.2,1.8,19.1,11.7,4
"Marshawn Lynch",6900,11.63,12.17,17.48,18.5,18.41,14.421,15.3,15.4,3.1,7,3,17,8.9,3.2,18.5,12.3,4
"DeMarco Murray",6400,11.32,12.58,19.98,18.5,12.46,13.239,14.9,14.7,3.6,8,5,24,13,3.8,18.3,11.1,4
"Lamar Miller",4600,10.17,17.74,10.76,15.5,16.44,11.115,13.6,13.6,3.3,9,5,31,12.5,4,16.9,10.3,4
"Latavius Murray",6100,11.66,12.61,11.69,19,12.24,12.355,12.3,13.3,2.8,10,5,20,10.7,2.9,16.1,10.5,4
"Dion Lewis",6500,11.41,12.26,8.92,21,12.15,10.927,11.8,12.8,4.2,11,1,18,10.2,3.7,17,8.6,4
"Justin Forsett",6100,12.5,14.01,10.69,14,13.22,11.696,12.8,12.7,1.3,12,3,20,13.4,3.8,14,11.4,4
"Frank Gore",4900,9.52,10.61,9.64,15,15.88,9.362,12.2,11.7,3,13,5,19,14.7,3.2,14.7,8.7,4
"Doug Martin",4900,10.71,10.66,8.67,12.5,11.35,10.514,10.7,10.7,1.3,14,8,21,14,2.4,12,9.4,1
"Charcandrick West",4200,6.25,7.51,18.06,10,8.43,10.178,9.2,10.1,4.2,15,14,45,25.2,5.2,14.3,5.9,1
"Joseph Randle",5500,8.57,7.31,17.88,10,8.44,8.569,8.7,10.1,3.9,16,16,51,34.8,6.3,14,6.2,1
"Chris Johnson",4300,8.38,7.96,9.13,15,8.78,10.931,9.4,10,2.6,17,12,38,22.2,4.6,12.6,7.4,1
"Danny Woodhead",4600,10.2,9.86,9.63,11.5,10.1,8.626,10,10,0.9,18,5,40,14,5,10.9,9.1,1
"Rashad Jennings",4000,10.38,9.69,6.71,10.5,10.11,10.195,10.1,9.6,1.4,19,15,39,25.8,5.3,11,8.2,1
"Jonathan Stewart",4000,7.99,8.83,7.95,14.5,8.46,8.933,8.6,9.4,2.5,20,14,38,23.4,4.1,11.9,6.9,1
"Shane Vereen",4300,9.67,8.66,9.31,9,8.51,7.14,8.8,8.7,0.9,21,18,38,24.4,4.8,9.6,7.8,1
"Theo Riddick",3400,8.65,8.45,7.08,9.5,8.73,8.458,8.6,8.5,0.8,22,8,42,22.1,6.1,9.3,7.7,1
"Ameer Abdullah",4000,8.19,8.15,7.69,9,8.49,8.476,8.3,8.3,0.4,23,21,47,30.5,4.6,8.7,7.9,1
"Carlos Hyde",4600,7.95,9.36,5.35,8.5,8.54,9.446,8.5,8.2,1.5,24,11,35,21.6,4.5,9.7,6.7,1
"Alfred Morris",3300,6.69,6.65,7.9,12.5,6.73,7.265,7.3,8,2.3,25,13,54,30.6,6.8,10.3,5.7,1
"Charles Sims",3600,9.74,7.68,6.64,9.5,8.44,6.178,8.1,8,1.5,26,16,47,33.4,6.4,9.5,6.5,1
"Darren McFadden",3100,6.08,7.78,15.3,4,6.94,8.114,7.4,8,3.9,27,19,50,36.6,6.1,11.9,4.1,1
"LeGarrette Blount",4800,13.95,5.95,5.31,5,6.99,8.949,7,7.7,3.4,28,16,49,26.4,5.1,11.1,4.3,1
"Matt Jones",3200,5.6,12.44,5.07,8,6.58,7.287,6.9,7.5,2.6,29,15,55,42.5,9.6,10.1,4.9,1
"Melvin Gordon",4200,6.31,7.91,7.55,6,7.2,8.653,7.3,7.3,1,30,18,50,29.7,5.8,8.3,6.3,1
"C.J. Spiller",3300,7.78,8.81,6.3,7,7.25,4.629,7,7,1.4,31,20,53,36.6,4.5,8.4,5.6,1
"T.J. Yeldon",4500,9.28,9.89,6.35,1,6.84,8.575,7.7,7,3.2,32,14,56,29.7,6.7,10.2,3.8,1
"Antonio Andrews",3300,6.96,6.43,4.19,7,7.22,8.392,7,6.7,1.4,33,17,48,32.4,6.1,8.1,5.3,3
"Darren Sproles",3800,7.39,6.74,5.48,5.5,6.31,6.537,6.4,6.3,0.7,34,22,62,39.8,5.3,7,5.6,3
"Isaiah Crowell",3800,7.07,5.9,6,6,6.47,6.165,6.2,6.3,0.4,35,21,52,40.9,5.5,6.7,5.9,3
"Dexter McCluster",3200,5.83,6.85,5.35,6.5,6.31,6.069,6.2,6.2,0.5,36,28,55,42.5,5.5,6.7,5.7,3
"Ryan Mathews",3200,7.54,4.74,6.42,5,5.78,5.789,5.8,5.9,1,37,20,54,36.3,6.3,6.9,4.9,3
"Andre Ellington",4300,7.11,3.8,7.47,4,5.17,5.041,5.5,5.4,1.5,38,19,60,36.7,6.5,6.9,3.9,3
"Christine Michael",3000,4.72,5.01,6.92,4.5,5.39,5.904,5.3,5.4,0.9,39,16,74,28.2,7.9,6.3,4.5,3
"Bishop Sankey",3400,5.24,5.52,3.92,5.5,5.58,5.72,5.5,5.2,0.7,40,31,74,48.5,5.4,5.9,4.5,3
