"name","numfire_dkcost","cbs_fpts","espn_fpts","ffs_fpts","fftoday_fpts","fp_fpts","numfire_fpts","hodges.lehmann","mean","risk","rank","best","worst","avg","sd","Ceiling","Floor","Tier"
"Philip Rivers",6600,19.75,20.474,20.98,25.2,19.98,19.9252,20.5,21.1,2.1,1,1,11,2.2,1.4,23.2,19,3
"Tom Brady",8300,18.96,18.518,19.34,24.8,19.558,21.0062,19.8,20.4,2.3,2,1,7,1.5,0.9,22.7,18.1,3
"Cam Newton",6800,20.18,20.544,20.24,22.4,20.1,16.7758,20.2,20,1.8,3,1,13,5.4,2.2,21.8,18.2,3
"Drew Brees",6700,20.13,20.246,20,19,19.638,19.4842,19.8,19.7,0.5,4,3,17,8.7,2.6,20.2,19.2,2
"Matt Ryan",7100,20.08,19.044,19.44,19.3,18.98,19.9496,19.5,19.5,0.5,5,1,16,8.6,3,20,19,2
"Andy Dalton",6000,18.49,18.558,18.66,21,19.142,19.9226,19.2,19.3,1,6,1,16,5.2,2.2,20.3,18.3,2
"Eli Manning",6600,18.94,19.08,18.5,22.4,18.676,18.381,18.8,19.3,1.5,7,2,20,9.6,2.5,20.8,17.8,2
"Aaron Rodgers",7500,17.56,19.382,18.16,21.1,19.214,19.6318,19.3,19.2,1.2,8,2,16,5.5,2.3,20.4,18,2
"Andrew Luck",7400,19.03,20.752,19.3,18.4,18.68,19.3366,19.2,19.2,0.8,9,3,19,11.5,2.7,20,18.4,2
"Ryan Fitzpatrick",5200,18.57,18.366,18.44,20.8,18.678,18.6822,18.6,18.9,0.9,10,5,21,14.4,2.7,19.8,18,2
"Matthew Stafford",5800,19.53,17.94,18.28,18.9,18.892,18.4442,18.7,18.7,0.6,11,4,18,11.7,2.7,19.3,18.1,2
"Russell Wilson",6300,21.74,17.502,16.02,20.6,20.402,16.149,18.9,18.7,2.5,12,5,20,13.6,2.6,21.2,16.2,2
"Ben Roethlisberger",6700,18.1,19.928,17.2,19.9,18.76,17.8896,18.6,18.6,1.1,13,1,20,7.4,2.9,19.7,17.5,2
"Carson Palmer",7000,17.64,17.218,18.64,19,17.868,18.5286,18.1,18.1,0.7,14,1,18,4.9,3,18.8,17.4,4
"Brian Hoyer",5300,17.72,17.844,16.98,18.7,18.008,18.4494,17.9,18,0.6,15,8,28,19.3,3.1,18.6,17.4,4
"Ryan Tannehill",5600,14.68,19,19.5,18.6,18.484,17.7306,18.5,18,1.7,16,5,18,11.9,2.5,19.7,16.3,4
"Jay Cutler",5200,17.87,13.686,18.54,19.4,18.222,17.8744,18,17.6,2,17,12,27,17.1,2.3,19.6,15.6,4
"Alex Smith",5000,18.33,16.196,14.86,20.6,19.8,14.3832,17.3,17.4,2.6,18,4,26,19.3,3.4,20,14.8,4
"Peyton Manning",6400,16.52,18.876,18.16,17.2,17.436,12.4714,17.3,16.8,2.3,19,11,26,18.3,2.6,19.1,14.5,4
"Derek Carr",5300,17.04,17.998,11.38,17.3,17.61,18.5898,17.5,16.7,2.6,20,13,27,22.2,2.5,19.3,14.1,4
"Joe Flacco",5500,18.09,17.3,13.24,13.1,17.456,17.0906,15.7,16,2.3,21,6,25,17.6,2.8,18.3,13.7,4
"Teddy Bridgewater",5100,17.98,13.75,13.16,18.2,13.842,13.7016,15.6,15.1,2.3,22,13,25,19,2.4,17.4,12.8,1
"Zach Mettenberger",5100,12.21,17.63,12.16,17.8,13.034,13.4832,14.9,14.4,2.6,23,18,29,24.9,2.3,17,11.8,1
"Josh McCown",5000,14.44,18.61,11.48,14,13.814,13.161,13.9,14.3,2.4,24,16,29,23.4,2.6,16.7,11.9,1
"Colin Kaepernick",5000,15.54,12.156,13.72,13.4,14.656,14.0604,13.9,13.9,1.1,25,21,29,25.9,1.6,15,12.8,1
"Jameis Winston",5200,14.55,13.796,12.26,14.3,13.81,13.845,13.8,13.8,0.8,26,11,27,22.3,2.6,14.6,13,1
"Nick Foles",5100,16.31,12.528,12.4,12.3,11.834,11.491,12.4,12.8,1.8,27,18,28,25.1,1.8,14.6,11,1
"Matt Cassel",5000,9.59,13.194,8.34,NA,12.496,13.4224,11.4,11.4,2.3,28,22,30,27.5,1.3,13.7,9.1,1
