"name","numfire_dkcost","cbs_fpts","espn_fpts","ffs_fpts","fftoday_fpts","fp_fpts","numfire_fpts","hodges.lehmann","mean","risk","rank","best","worst","avg","sd","Ceiling","Floor","Tier"
"Julio Jones",9200,25.8,22.38,24.98,25,23.65,20.24,23.7,23.7,2.1,1,1,7,1.8,1.4,25.8,21.6,1
"DeAndre Hopkins",8700,22.6,22.16,16.4,26,23.66,22.33,22.5,22.2,3.2,2,1,12,3.4,2.5,25.4,19,1
"Brandon Marshall",7600,21.72,20.12,18.69,22,21.15,17.87,20.2,20.3,1.7,3,1,16,7.1,3.3,22,18.6,1
"Antonio Brown",7800,17.26,17.74,16.26,23.5,23.14,20.32,19.9,19.7,3.1,4,1,11,3.3,1.6,22.8,16.6,1
"Odell Beckham",8500,19.93,15.11,18.34,21,20.96,18.77,19.4,19,2.2,5,2,20,7.1,2.8,21.2,16.8,1
"Julian Edelman",8100,14.39,20.04,14.77,23,21.33,19.96,18.9,18.9,3.5,6,1,26,9.7,3.6,22.4,15.4,1
"Calvin Johnson",7900,13.26,19.02,21.35,22,20.06,16.57,19,18.7,3.3,7,1,13,5.6,2.2,22,15.4,1
"Keenan Allen",7700,15.85,16.61,15.08,24,22.05,17.94,18.6,18.6,3.6,8,1,11,4.8,2,22.2,15,1
"A.J. Green",7600,14.4,19.86,13.7,23,20.58,15.75,17.8,17.9,3.8,9,2,18,7.7,3,21.7,14.1,1
"Demaryius Thomas",7700,14.39,16.76,15.6,20.5,20.69,16.63,17.4,17.4,2.6,10,4,28,10.6,3.8,20,14.8,1
"Larry Fitzgerald",7700,11.9,18.3,11.72,20.5,19.68,18.93,16.2,16.8,4,11,4,24,11.9,3.8,20.8,12.8,3
"Alshon Jeffery",6400,12.52,13.31,17.53,22,19.53,14.89,16.4,16.6,3.7,12,5,27,11.2,3,20.3,12.9,3
"Mike Evans",6800,13.73,13.53,10.22,22.5,20.39,18.09,16.4,16.4,4.7,13,3,35,13.8,4.6,21.1,11.7,3
"Emmanuel Sanders",7500,12.67,15.5,12.01,18,19.62,14.72,15.3,15.4,3,14,7,26,15.1,3.2,18.4,12.4,3
"Jeremy Maclin",6200,13.3,14.93,12.86,20,13.79,16.37,14.8,15.2,2.7,15,10,41,20.3,6.3,17.9,12.5,3
"Jarvis Landry",6200,11.5,12.63,12.29,20.5,13.31,16.18,13.8,14.4,3.4,16,4,28,14.8,4.1,17.8,11,3
"Randall Cobb",7000,11.16,13.6,9.58,17.5,18.44,16.26,14.3,14.4,3.6,17,10,29,16.7,3.8,18,10.8,3
"T.Y. Hilton",6900,12.41,13.71,13.7,18,12.58,15.4,13.9,14.3,2.1,18,8,46,22.3,5.3,16.4,12.2,3
"Amari Cooper",6700,14.02,12.14,12.02,17,12.57,15.14,13.6,13.8,2,19,12,30,22.5,3.5,15.8,11.8,3
"Brandin Cooks",5400,12.04,11.72,10.16,19.5,12.57,14.87,12.6,13.5,3.3,20,12,39,25.8,4.2,16.8,10.2,3
