"name","cbs_fpts","espn_fpts","ffs_fpts","fp_fpts","fft_fpts","numfire_fpts","mean","risk","Ceiling","Floor","Tier","rank"
"Devonta Freeman",16.83,18.2,14,16.1,NA,14.06,15.8,1.8,17.6,14,7,1
"Le'Veon Bell",13.56,13.5,19,15.1,NA,14.36,15.1,2.3,17.4,12.8,7,2
"Adrian Peterson",15.09,14.7,15,15.5,NA,14.86,15,0.3,15.3,14.7,7,3
"Matt Forte",12.49,16.6,11,14.6,NA,14.27,13.8,2.1,15.9,11.7,7,4
"DeMarco Murray",12.28,12,16,11.7,NA,12.11,12.8,1.8,14.6,11,7,5
"Eddie Lacy",14.06,13,10,13.7,NA,13.09,12.8,1.6,14.4,11.2,7,6
"Arian Foster",13.87,13.3,7,14,NA,14.44,12.5,3.1,15.6,9.4,7,7
"Mark Ingram",10.9,12,16,11.4,NA,10.84,12.2,2.2,14.4,10,7,8
"Dion Lewis",12.04,9.7,15,10.8,NA,10.49,11.6,2.1,13.7,9.5,7,9
"Giovani Bernard",10.45,9.8,14,10,NA,9.42,10.7,1.9,12.6,8.8,7,10
"Marshawn Lynch",13.96,12.8,8,10.8,NA,6.42,10.4,3.2,13.6,7.2,5,11
"Justin Forsett",8.25,10.9,7,11.9,NA,12.64,10.1,2.4,12.5,7.7,6,12
"Carlos Hyde",10.15,11.1,5,11.3,NA,12.03,9.9,2.8,12.7,7.1,5,13
"Chris Ivory",12.05,9.5,6,NA,NA,10.8,9.6,2.6,12.2,7,5,14
"Frank Gore",9.43,9.8,7,10.3,NA,10.11,9.3,1.3,10.6,8,6,15
"T.J. Yeldon",11.53,9.7,5,10.4,NA,9.48,9.2,2.5,11.7,6.7,5,16
"Chris Johnson",10.97,7.5,7,9.8,NA,9.78,9,1.7,10.7,7.3,5,17
"Charcandrick West",8.71,8.4,8,9.5,NA,10.11,8.9,0.9,9.8,8,6,18
"LeGarrette Blount",10.91,9.2,5,9.8,NA,9.28,8.8,2.3,11.1,6.5,5,19
"Jeremy Hill",8.85,6.2,11,7.9,NA,9.31,8.7,1.8,10.5,6.9,5,20
"Lamar Miller",8.1,9.9,6,9.5,NA,9.98,8.7,1.7,10.4,7,5,21
"Ameer Abdullah",10.13,7,6,9,NA,9.58,8.3,1.8,10.1,6.5,5,22
"Melvin Gordon",8.87,7.3,8,8.4,NA,8.74,8.3,0.6,8.9,7.7,6,23
"C.J. Anderson",7.96,9.7,8,8.2,NA,6.24,8,1.2,9.2,6.8,5,24
"Danny Woodhead",7.27,7.9,6,8.2,NA,9.31,7.7,1.2,8.9,6.5,5,25
"Ronnie Hillman",7.17,8.6,5,7.7,NA,7.36,7.2,1.3,8.5,5.9,5,26
"Isaiah Crowell",8.65,5,5,7.8,NA,9.23,7.1,2,9.1,5.1,4,27
"Rashad Jennings",8.39,5.5,4,7.9,NA,9.67,7.1,2.3,9.4,4.8,4,28
"Jonathan Stewart",7.09,6.9,6,7.2,NA,7.16,6.9,0.5,7.4,6.4,5,29
"Dan Herron",7.9,NA,NA,NA,NA,5.21,6.6,1.9,8.5,4.7,4,30
"Alfred Morris",6.39,5.3,6,6.6,NA,8.33,6.5,1.1,7.6,5.4,4,31
"Andre Ellington",8.4,4.6,5,6.6,NA,6.6,6.2,1.5,7.7,4.7,4,32
"Thomas Rawls",7.82,NA,3,6.2,NA,7.74,6.2,2.3,8.5,3.9,3,33
"Bishop Sankey",7.51,4.6,3,6.9,NA,8.22,6,2.2,8.2,3.8,3,34
"Ryan Mathews",9.02,2.9,5,6.1,NA,6.61,5.9,2.2,8.1,3.7,2,35
"Darren Sproles",6.69,4.5,4,6.8,NA,7.26,5.8,1.5,7.3,4.3,4,36
"Duke Johnson",6.54,NA,4,6.7,NA,5.56,5.7,1.2,6.9,4.5,4,37
"C.J. Spiller",7.01,5.3,5,6.1,NA,4.78,5.6,0.9,6.5,4.7,4,38
