"name","cbs_fpts","espn_fpts","ffs_fpts","fp_fpts","fft_fpts","numfire_fpts","mean","risk","Ceiling","Floor","Tier","rank"
"Tyler Eifert",10.03,6.1,13,7.9,NA,6.64,8.7,2.8,11.5,5.9,6,1
"Greg Olsen",9.42,7.1,NA,NA,NA,NA,8.3,1.6,9.9,6.7,7,2
"Martellus Bennett",6.96,7.2,10,9,NA,8.41,8.3,1.3,9.6,7,7,3
"Travis Kelce",8.43,6.7,9,9.3,NA,8.04,8.3,1,9.3,7.3,7,4
"Jason Witten",6.55,7,10,7.2,NA,8.38,7.8,1.4,9.2,6.4,7,5
"Jimmy Graham",8.53,7,8,7.2,NA,7.6,7.7,0.6,8.3,7.1,7,6
"Charles Clay",7.19,6.4,9,8.2,NA,6.58,7.5,1.1,8.6,6.4,7,7
"Kyle Rudolph",5.57,5.6,NA,NA,NA,NA,5.6,0,5.6,5.6,6,8
"Coby Fleener",6.3,4.9,7,4.3,NA,4.85,5.5,1.1,6.6,4.4,5,9
"Larry Donnell",3.51,5.6,8,5,NA,4.63,5.3,1.7,7,3.6,4,10
"Zach Ertz",4.54,5.5,7,4.5,NA,4.95,5.3,1,6.3,4.3,5,11
"Heath Miller",4.52,3.5,8,4.2,NA,5.82,5.2,1.8,7,3.4,4,12
"Jared Cook",3.93,5.1,7,5,NA,4.11,5,1.2,6.2,3.8,4,13
"Ladarius Green",6.92,6.1,5,4,NA,3.06,5,1.6,6.6,3.4,4,14
"Owen Daniels",3.33,4.6,6,6.1,NA,5.19,5,1.1,6.1,3.9,4,15
"Jordan Cameron",5.02,4.4,NA,NA,NA,NA,4.7,0.4,5.1,4.3,5,16
"Derek Carrier",2.9,NA,8,3.8,NA,3.86,4.6,2.3,6.9,2.3,2,17
"Gary Barnidge",3.62,2.9,7,4.9,NA,4.47,4.6,1.6,6.2,3,3,18
"Maxx Williams",5.54,4.5,5,3.7,NA,3.61,4.5,0.8,5.3,3.7,4,19
"Richard Rodgers",3.52,5.3,5,4.4,NA,3.91,4.4,0.7,5.1,3.7,4,20
"Darren Fells",5.58,3.2,NA,2.9,NA,3.16,3.7,1.3,5,2.4,2,21
"Mychal Rivera",4.71,3,5,2.5,NA,3.35,3.7,1.1,4.8,2.6,3,22
"Clay Harbor",5.4,2.9,4,2,NA,NA,3.6,1.5,5.1,2.1,2,23
"Garrett Graham",4.27,2.9,4,3,NA,3.62,3.6,0.6,4.2,3,3,24
"Garrett Celek",3.66,4,NA,3.6,NA,2.69,3.5,0.6,4.1,2.9,3,25
"Benjamin Watson",3.65,3.3,NA,2.7,NA,NA,3.2,0.5,3.7,2.7,3,26
"Brandon Myers",2.17,2.8,4,2.4,NA,NA,2.8,0.8,3.6,2,2,27
"Lance Kendricks",3.3,2.6,3,3.2,NA,2.01,2.8,0.5,3.3,2.3,2,28
"Luke Willson",3.87,NA,3,2.1,NA,2.42,2.8,0.8,3.6,2,2,29
"Marcedes Lewis",2.95,2.9,NA,2.2,NA,3.11,2.8,0.4,3.2,2.4,2,30
"Virgil Green",3.37,NA,NA,2.1,NA,3,2.8,0.7,3.5,2.1,2,31
"Nick Boyle",2.37,NA,NA,2.7,NA,NA,2.5,0.2,2.7,2.3,2,32
"James O'Shaughnessy",2.37,NA,NA,NA,NA,2.18,2.3,0.1,2.4,2.2,2,33
