"name","cbs_fpts","espn_fpts","ffs_fpts","fp_fpts","numfire_fpts","hodges.lehmann","mean","risk","Ceiling","Floor","Tier","rank"
"A.J. Green",11.68,11.9,15,12.1,11.09,11.9,12.3,1.4,13.7,10.9,7,1
"Randall Cobb",12.24,11.2,12,12.1,12.98,12.1,12.1,0.6,12.7,11.5,7,2
"Calvin Johnson",11.66,11.6,15,11.4,10.49,11.6,12,1.6,13.6,10.4,7,3
"Odell Beckham",10.22,11.4,14,11.8,11.27,11.535,11.7,1.2,12.9,10.5,7,4
"Brandon Marshall",14.68,8.6,14,10.6,9.83,11.64,11.6,2.4,14,9.2,6,5
"DeAndre Hopkins",11.92,11.2,10,12,12.62,11.6,11.6,0.9,12.5,10.7,7,6
"Demaryius Thomas",11.25,11.6,8,12,13.1,11.6,11.3,1.7,13,9.6,6,7
"Larry Fitzgerald",11.75,10.4,13,10.4,9.77,11.0749096918939,11.1,1.2,12.3,9.9,7,8
"Julian Edelman",11.37,10.8,8,11.6,12.2,11.2,10.9,1.5,12.4,9.4,6,9
"Antonio Brown",10.05,10.6,12,10.1,9.7,10.325,10.5,0.8,11.3,9.7,6,10
"Julio Jones",12.06,11.5,9,11.8,8.43,10.4,10.5,1.5,12,9,6,11
"Emmanuel Sanders",10.51,11.1,9,10.9,10.55,10.55,10.4,0.7,11.1,9.7,6,12
"Alshon Jeffery",8.37,10.2,11,9.1,10.3,9.7,9.8,0.9,10.7,8.9,6,13
"Allen Robinson",9.66,9.5,12,9.3,7.9,9.5,9.6,1.3,10.9,8.3,6,14
"T.Y. Hilton",10.79,10.1,9,9.9,8.21,9.55,9.6,0.9,10.5,8.7,6,15
"Jeremy Maclin",9.59,10,8,9.9,9.74,9.74,9.5,0.7,10.2,8.8,6,16
"Keenan Allen",9.21,10.7,7,10,10.15,9.68,9.5,1.3,10.8,8.2,6,17
"Brandin Cooks",10.15,8.5,8,9.7,8.53,9.075,9,0.8,9.8,8.2,6,18
"James Jones",10.89,8.6,5,9.5,9.17,9.05,8.7,2,10.7,6.7,5,19
"Jordan Matthews",8.33,9.1,7,9.3,9.75,8.815,8.7,1,9.7,7.7,5,20
"Travis Benjamin",7.22,7.7,12,7.6,7.57,7.635,8.3,1.8,10.1,6.5,5,21
"Willie Snead",8.64,8.3,8,8.2,7.01,8.15,8.1,0.6,8.7,7.5,5,22
"Golden Tate",8.29,6.8,7,8.3,8.3,7.64993663733166,7.7,0.7,8.4,7,5,23
"Jarvis Landry",7.43,7.6,6,8.3,8.99,7.6,7.7,1,8.7,6.7,5,24
"John Brown",9.28,7.1,5,8.3,8.2,7.7,7.6,1.5,9.1,6.1,5,25
"Eric Decker",10.3,6.8,5,8,6.8,7.39996285608804,7.4,1.7,9.1,5.7,4,26
"Allen Hurns",8.89,6.8,4,7.9,7.58,7.35,7.1,1.7,8.8,5.4,4,27
"Kendall Wright",7.18,6.9,6,7.5,7.8,7.18,7.1,0.6,7.7,6.5,5,28
"Anquan Boldin",7.6,6.5,6,7.4,7.4,6.95000315832878,7,0.6,7.6,6.4,5,29
"Mike Wallace",8.71,6.7,6,7.3,5.88,6.7,6.9,1,7.9,5.9,5,30
"Leonard Hankerson",8.5,6.2,3,7.8,8.25,7.225,6.8,2,8.8,4.8,3,31
"Donte Moncrief",6.47,7.7,4,7.7,6.91,6.91000423614806,6.6,1.4,8,5.2,3,32
"Doug Baldwin",7.43,6.4,6,6.4,4.5,6.20003780170296,6.2,0.9,7.1,5.3,4,33
"Pierre Garcon",7.02,6,5,7.2,5.99,6.1,6.2,0.8,7,5.4,4,34
"Torrey Smith",7.06,5.1,5,6.5,6.56,6.03,6,0.8,6.8,5.2,3,35
"Andre Johnson",7.23,6.4,3,6.4,5.8,6.10002801495583,5.8,1.5,7.3,4.3,3,36
"Rueben Randle",6.48,7.5,6,6.1,2.5,6.1,5.8,1.7,7.5,4.1,3,37
"Sammy Watkins",4.8,5.6,4,6.8,7.91,5.8,5.8,1.4,7.2,4.4,3,38
"Marvin Jones",5.75,5.5,4,6.4,6.04,5.75,5.6,0.8,6.4,4.8,3,39
"Martavis Bryant",5.43,5.9,3,5.9,6.52,5.66502568889314,5.4,1.2,6.6,4.2,3,40
