"name","cbs_team","cbs_recpts","cbs_yd","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts","fp_team","fp_rushatt","fp_rushyd","fp_rushtd","fp_recpts","fp_recyd","fp_rectd","fp_fl","fp_fpts","numfire_team","numfire_rank","numfire_rushatt","numfire_rushyd","numfire_rushtd","numfire_recpts","numfire_recyd","numfire_rectd","numfire_fpts"
"A.J. Green","CIN",6.3,86.8,0.5,0,11.68," CIN",6.2,90.5,0.5,11.9,"CIN",6.02,91,0.53,15,"CIN",0.1,0.9,0,6.2,87.3,0.5,"0.0",12.1,"CIN","6",0.07,0.77,0,5.6,82.38,0.48,11.09
"Allen Hurns","JAC",4.4,60.9,0.5,0.1,8.89," JAX",3.9,52.6,0.3,6.8,"JAC",3.03,43,0.3,4,"JAC",0,0,0,4.3,57.4,0.4,"0.1",7.9,"JAC","29",0,0,0,4.23,57.1,0.32,7.58
"Allen Robinson","JAC",4.3,60.6,0.6,0,9.66," JAX",5.3,76.6,0.4,9.5,"JAC",4.37,63,0.52,12,"JAC",0,0,0,4.7,66.7,0.4,"0.0",9.3,"JAC","27",0,0,0,4.18,60.9,0.32,7.9
"Alshon Jeffery","CHI",5.5,65.7,0.3,0,8.37," CHI",5.1,71.1,0.5,10.2,"CHI",3.97,51,0.52,11,"CHI",0.1,0.7,0,4.8,65.7,0.4,"0.0",9.1,"CHI","9",0.09,0.17,0,5.07,75.78,0.45,10.3
"Andre Johnson","IND",4.3,56.3,0.3,0.1,7.23," IND",3.4,42.7,0.4,6.4,"IND",3.28,34,0.36,3,"IND",0,0,0,3.5,45.2,0.3,"0.1",6.4,"IND","43",0,0,0,3.19,40.87,0.29,5.8
"Andrew Hawkins","CLE",2.7,30.2,0.1,0,3.62," CLE",3.2,32.9,0.1,3.7,"CLE",3.37,40,0.06,4,"CLE",0.1,0.2,0,2.7,30.1,0.1,"0.0",3.8,"CLE","67",0.05,0.67,0,2.02,22.22,0.14,3.1
"Anquan Boldin","SF",4.2,52,0.4,0,7.6," SF ",4.8,58.7,0.2,6.5,"SFO",5.12,60,0.43,6," SF",0,0,0,4.4,55.5,0.3,"0.0",7.4,"SF","31",0.02,0.02,0,4.27,56,0.3,7.4
"Antonio Brown","PIT",5.9,78.5,0.4,0.1,10.05," PIT",6.1,80.2,0.4,10.6,"PIT",4.7,60,0.52,12,"PIT",0.3,1.2,0,5.6,75.9,0.4,"0.1",10.1,"PIT","15",0.05,-0.12,0,4.74,71,0.45,9.7
"Brandin Cooks","NO",6.1,83.5,0.3,0,10.15," NO ",5.4,68.6,0.4,8.5,"NO",6,75,0.39,8," NO",0.4,2.8,0,5.4,69.6,0.4,"0.0",9.7,"NO","19",0.08,0.37,0,4.79,57.2,0.46,8.53
"Brandon Marshall","NYJ",6.6,96.8,0.9,0.2,14.68," NYJ",5.4,65.5,0.4,8.6,"NYJ",6.04,76,0.6,14,"NYJ",0,0,0,5.8,74.9,0.6,"0.1",10.6,"NYJ","11",0.02,0.09,0,5.64,72.5,0.43,9.83
"Brian Hartline","CLE",2.6,38.2,0.1,0,4.42," CLE",1.8,23.7,0.1,2.6,"CLE",1.9,25,0.07,3,"CLE",0,0,0,2.1,30.3,0.1,"0.0",3.7,"CLE","58",0,0,0,2.2,34.04,0.13,4.21
"Calvin Johnson","DET",5.9,82.6,0.6,0.1,11.66," DET",5.6,81.3,0.6,11.6,"DET",6.28,87,0.53,15,"DET",0,0,0,5.9,80.8,0.6,"0.1",11.4,"DET","8",0,0,0,6.26,77.65,0.46,10.49
"Charles Johnson","MIN",2.4,31.3,0.1,0,3.73," MIN",3,42.8,0.2,5.4,"MIN",3.35,42,0.28,4,"MIN",0,0,0,2.6,33.3,0.1,"0.0",4.2,"MIN","69",0,0,0,2.4,25.08,0.09,3.02
"Danny Amendola","NE",4.1,44.3,0.3,0,6.23," NE ",3.5,36,0.2,4.5,"NEP",3.5,32,0.25,3," NE",0.1,0.6,0,3,31.7,0.2,"0.0",4.4,"NE","90",0.04,0.27,0,1.54,16.41,0.1,2.24
"DeAndre Hopkins","HOU",6.7,91.2,0.5,0.1,11.92," HOU",6.5,92.9,0.4,11.2,"HOU",7,97,0.42,10,"HOU",0,0,0,7,94.1,0.4,"0.1",12,"HOU","3",0,0,0,7.5,97.93,0.48,12.62
"Demaryius Thomas","DEN",6.4,84.5,0.5,0.1,11.25," DEN",6.8,88,0.6,11.6,"DEN",5.81,75,0.46,8,"DEN",0,0,0,6.7,86.9,0.6,"0.1",12,"DEN","1",0,0,0,7.07,94.09,0.6,13.1
"Donte Moncrief","IND",3,40.7,0.4,0,6.47," IND",4.4,57,0.5,7.7,"IND",3.32,37,0.31,4,"IND",0.1,0.9,0,3.9,51.9,0.4,"0.0",7.7,"IND","33",0.06,0.3,0,3.69,52.04,0.29,6.91
"Doug Baldwin","SEA",3.8,50.3,0.4,0,7.43," SEA",4,53.9,0.2,6.4,"SEA",4.17,55,0.32,6,"SEA",0,0.3,0,3.8,47.7,0.3,"0.0",6.4,"SEA","56",0.02,0.11,0,3.26,37.74,0.13,4.5
"Emmanuel Sanders","DEN",5.9,75.1,0.5,0,10.51," DEN",6,84.2,0.5,11.1,"DEN",6.73,85,0.47,9,"DEN",0.4,2.4,0,5.8,76.3,0.5,"0.0",10.9,"DEN","7",0.07,0.45,0,5.42,73.69,0.54,10.55
"Eric Decker","NYJ",4.6,67,0.6,0,10.3," NYJ",4.2,52.9,0.3,6.8,"NYJ",4.02,46,0.49,5,"NYJ",0,0,0,4.1,55,0.4,"0.0",8,"NYJ","34",0,0,0,3.53,47.38,0.36,6.8
"Golden Tate","DET",5.2,66.9,0.3,0.1,8.29," DET",4.8,58.8,0.3,6.8,"DET",5.54,67,0.15,7,"DET",0.3,1.5,0,4.8,61.3,0.3,"0.1",8.3,"DET","21",0.27,2,0,4.62,57.9,0.39,8.3
"Greg Jennings","MIA",1.4,15.5,0.1,0,2.15," MIA",1.8,23,0.2,3,"MIA",4.1,47,0.23,5,"MIA",0,0,0,1.8,21,0.1,"0.0",2.9,"MIA","66",0,0,0,2.07,24.49,0.11,3.12
"Harry Douglas","TEN",2,25.5,0.2,0,3.75," TEN",2.9,35.1,0.3,4.6,"TEN",2.7,29,0.24,3,"TEN",0.1,0.7,0,2.2,28.1,0.2,"0.0",4,"TEN","62",0.04,0.2,0,1.92,27.9,0.11,3.5
"James Jones","GB",3.8,62.9,0.8,0.1,10.89," GB ",3.8,57.1,0.6,8.6,"GB",2.89,45,0.46,5," GB",0,0,0,4.4,60.6,0.6,"0.1",9.5,"GB","16",0,0,0,5.36,63.14,0.48,9.17
"Jarius Wright","MIN",1.8,30.3,0.2,0,4.23," MIN",2.3,30.5,0.1,3.9,"MIN",2.4,35,0.17,4,"MIN",0.1,0.6,0,1.9,26.1,0.1,"0.0",3.4,"MIN","91",0.01,0,0,1.33,16.51,0.09,2.17
"Jarvis Landry","MIA",5.9,58.3,0.3,0.1,7.43," MIA",5.8,56.2,0.4,7.6,"MIA",5.5,54,0.21,6,"MIA",0.5,3.6,0,5.6,59.8,0.3,"0.1",8.3,"MIA","17",0.32,1.56,0,5.64,66.64,0.39,8.99
"Jeremy Maclin","KC",6,71.9,0.4,0,9.59," KC ",6.4,83,0.3,10,"KC",5.8,81,0.23,8," KC",0.1,0.8,0,5.8,75.5,0.4,"0.0",9.9,"KC","14",0.12,1.11,0,5.1,72.3,0.4,9.74
"Jermaine Kearse","SEA",2.4,35.4,0.3,0,5.34," SEA",3,44.5,0.2,5.5,"SEA",3.01,50,0.26,5,"SEA",0,0.1,0,2.8,38,0.2,"0.0",5.2,"SEA","57",0.02,0.42,0,2.8,33.23,0.19,4.43
