"name","cbs_fpts","espn_fpts","fft_fpts","ffs_fpts","mean","risk","Ceiling","Floor","rank"
"Antonio Brown",14.9,13.9,17,17,15.7,1.6,17.3,14.1,1
"Odell Beckham",15.64,11,16.5,17,15,2.7,17.7,12.3,2
"Demaryius Thomas",13.02,11.9,14.5,17,14.1,2.2,16.3,11.9,3
"Randall Cobb",12.32,11.4,14.5,14,13.1,1.4,14.5,11.7,4
"Calvin Johnson",10.37,11.8,13,13,12,1.3,13.3,10.7,5
"Emmanuel Sanders",10.85,11,14,15,12.7,2.1,14.8,10.6,6
"Julio Jones",15.5,11.9,17,10,13.6,3.2,16.8,10.4,7
"Brandon Marshall",11.28,10.3,15,13,12.4,2.1,14.5,10.3,8
"Mike Evans",11.3,9.3,13,11,11.2,1.5,12.7,9.7,9
"Allen Robinson",9,8.6,14,13,11.2,2.7,13.9,8.5,10
"DeAndre Hopkins",13.2,9.3,14.5,8,11.2,3.1,14.3,8.1,11
"Terrance Williams",9.99,7.1,12.5,12,10.4,2.5,12.9,7.9,12
"James Jones",8.22,7.5,10.5,10,9.1,1.4,10.5,7.7,13
"Julian Edelman",10.92,8.9,15.5,8,10.8,3.3,14.1,7.5,14
"T.Y. Hilton",9.94,8.6,13.5,8,10,2.5,12.5,7.5,15
"Larry Fitzgerald",10.78,9,14,7,10.2,3,13.2,7.2,16
"Jordan Matthews",9.92,7.1,7,11,8.8,2,10.8,6.8,17
"A.J. Green",10.59,9.5,7,7,8.5,1.8,10.3,6.7,18
"Steve Smith Sr.",8.96,8.2,13.5,7,9.4,2.8,12.2,6.6,19
"Doug Baldwin",8.81,6.9,6.5,7,7.3,1,8.3,6.3,20
"Anquan Boldin",8.01,7.2,13,7,8.8,2.8,11.6,6,21
"Keenan Allen",9.31,7.8,13.5,6,9.2,3.2,12.4,6,22
"Davante Adams",8.37,7.3,5.5,7,7,1.2,8.2,5.8,23
"Golden Tate",7.9,6.6,6,6,6.6,0.9,7.5,5.7,24
"Jeremy Maclin",8.25,8.1,14,6,9.1,3.4,12.5,5.7,25
"Amari Cooper",7.6,6.9,13.5,7,8.8,3.2,12,5.6,26
"Pierre Garcon",6.49,7.5,6.5,5,6.4,1,7.4,5.4,27
"Roddy White",7.97,6.7,5.5,6,6.5,1.1,7.6,5.4,28
"Markus Wheaton",6.57,6.4,5.5,5,5.9,0.7,6.6,5.2,29
"Kenny Britt",8.4,5.7,12.5,6,8.2,3.1,11.3,5.1,30
"Rueben Randle",8.39,6.7,5,6,6.5,1.4,7.9,5.1,31
"Kendall Wright",6.67,6.8,12.5,6,8,3,11,5,32
"John Brown",7.43,7.6,13,5,8.3,3.4,11.7,4.9,33
"Jarvis Landry",6.36,8.1,14,6,8.6,3.7,12.3,4.9,34
"Mike Wallace",8,6.8,12.5,5,8.1,3.2,11.3,4.9,35
"Vincent Jackson",7.14,6.7,13.5,6,8.3,3.5,11.8,4.8,36
"Eddie Royal",7.12,6.3,4.5,5,5.7,1.2,6.9,4.5,37
"Brandin Cooks",7.47,5.5,12,5,7.5,3.2,10.7,4.3,38
"Torrey Smith",5.16,6.2,5.5,11,7,2.7,9.7,4.3,39
"Charles Johnson",5.34,5.8,4,5,5,0.8,5.8,4.2,40
"Cecil Shorts",4.32,NA,4.5,5,4.6,0.4,5,4.2,41
"Malcom Floyd",6.6,6.9,4,5,5.6,1.4,7,4.2,42
"Marques Colston",6.19,5.3,4,5,5.1,0.9,6,4.2,43
"Andrew Hawkins",5.5,4,4.5,6,5,0.9,5.9,4.1,44
"Jermaine Kearse",6.36,5,4,5,5.1,1,6.1,4.1,45
"Marvin Jones",4.84,4.2,4.5,4,4.4,0.4,4.8,4,46
"Stedman Bailey",5.19,4.1,4,5,4.6,0.6,5.2,4,47
"Nate Washington",5.48,6.8,12.5,5,7.4,3.5,10.9,3.9,48
"Steve Johnson",7.04,6.9,13.5,4,7.9,4,11.9,3.9,49
"Allen Hurns",6.88,6.2,12.5,4,7.4,3.6,11,3.8,50
"Cole Beasley",5.99,4.2,4.5,4,4.7,0.9,5.6,3.8,51
"Andre Johnson",7.28,6.6,4,4,5.5,1.7,7.2,3.8,52
"Michael Crabtree",3.82,6.9,5.5,4,5.1,1.4,6.5,3.7,53
"Nelson Agholor",4.72,4.3,3.5,4,4.1,0.5,4.6,3.6,54
"Michael Floyd",6.89,5.9,3.5,4,5.1,1.6,6.7,3.5,55
"Brandon Coleman",4.81,4.3,4.5,3,4.2,0.8,5,3.4,56
"Rishard Matthews",6.3,5.5,4.5,3,4.8,1.4,6.2,3.4,57
"Percy Harvin",7.01,4.2,NA,4,5.1,1.7,6.8,3.4,58
"Donte Moncrief",6.71,7.7,14,3,7.9,4.6,12.5,3.3,59
"Quincy Enunwa",4.5,4.5,3,4,4,0.7,4.7,3.3,60
"Kamar Aiken",3.24,4.5,3.5,4,3.8,0.6,4.4,3.2,61
"Sammy Watkins",2.32,7.9,11.5,6,6.9,3.8,10.7,3.1,62
"Ryan Grant",4.07,5.4,3.5,3,4,1,5,3,63
"Leonard Hankerson",6.31,5.4,3.5,3,4.6,1.6,6.2,3,64
"Travis Benjamin",9.14,5.7,12,2,7.2,4.3,11.5,2.9,65
"Andre Roberts",2.97,3.9,3,4,3.5,0.6,4.1,2.9,66
"Brian Hartline",6.32,4,3,4,4.3,1.4,5.7,2.9,67
"Darrius Heyward-Bey",3.73,5.8,3.5,3,4,1.2,5.2,2.8,68
"Greg Jennings",2.78,2.9,3,3,2.9,0.1,3,2.8,69
"Jarius Wright",5.19,4.1,3,3,3.8,1,4.8,2.8,70
"Devin Street",4.37,NA,NA,3,3.7,1,4.7,2.7,71
"Tavon Austin",3.31,5.8,4,3,4,1.3,5.3,2.7,72
"Robert Woods",4.47,2.8,3,5,3.8,1.1,4.9,2.7,73
"Kenny Stills",3.38,2.6,3,4,3.2,0.6,3.8,2.6,74
"Corey Brown",4.73,4.2,NA,12,7,4.4,11.4,2.6,75
"Harry Douglas",2.97,5.7,4,3,3.9,1.3,5.2,2.6,76
"Louis Murphy",4.29,2.9,3,3,3.3,0.7,4,2.6,77
"Devin Smith",2.83,4.2,NA,NA,3.5,1,4.5,2.5,78
"Devin Funchess",5.69,4.6,3.5,2,3.9,1.6,5.5,2.3,79
"Jeremy Kerley",2.17,3.1,NA,3,2.8,0.5,3.3,2.3,80
"Marquess Wilson",4.38,3.9,3,2,3.3,1,4.3,2.3,81
"Tyler Lockett",3.53,3.4,3,2,3,0.7,3.7,2.3,82
"Albert Wilson",2.91,2.8,2.5,2,2.6,0.4,3,2.2,83
"Danny Amendola",6.53,3.1,2.5,4,4,1.8,5.8,2.2,84
"Justin Hunter",2.83,3.1,2,3,2.7,0.5,3.2,2.2,85
"Phillip Dorsett",4.53,3.1,3,2,3.2,1,4.2,2.2,86
"De'Anthony Thomas",2.21,2.2,NA,2,2.1,0.1,2.2,2,87
"Marlon Brown",2.78,4.3,2.5,2,2.9,1,3.9,1.9,88
"Andre Caldwell",1.89,NA,2.5,NA,2.2,0.4,2.6,1.8,89
"Mohamed Sanu",3.16,1.7,3,5,3.2,1.4,4.6,1.8,90
