"name","cbs_team","cbs_recpts","cbs_yd","cbs_avg","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","fftoday_team","fft_recpts","fft_yd","fft_td","fft_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts"
"A.J. Green","CIN",5.9,77.9,13.2,0.5,0.1,10.59," CIN",5.5,78.7,0.4,9.5,"CIN",6,70,0,7,"CIN",4.95,74,0.48,7
"Aaron Dobson","NE",1.2,15.2,12.5,0.1,0,2.12," NE ",3.2,42.8,0.3,5.9,"NE",2,20,0,2,"NEP",1.88,19,0.11,2
"Albert Wilson","KC",1.7,23.1,13.4,0.1,0,2.91," KC ",2.2,24.7,0.1,2.8,"KC",2,25,0,2.5,"KCC",1.75,23,0,2
"Allen Hurns","JAC",4.2,52.8,12.5,0.3,0.1,6.88," JAX",3.8,50.1,0.2,6.2,"JAC",6,65,1,12.5,"JAC",3.24,41,0.17,4
"Allen Robinson","JAC",5.3,66,12.5,0.4,0,9," JAX",5.2,71.6,0.3,8.6,"JAC",6,80,1,14,"JAC",4.55,68,0.5,13
"Amari Cooper","OAK",4.7,60,12.8,0.3,0.1,7.6," OAK",5.1,58.6,0.3,6.9,"OAK",6,75,1,13.5,"OAK",4.99,66,0.38,7
"Andre Caldwell","DEN",1.1,12.9,11.8,0.1,0,1.89,NA,NA,NA,NA,NA,"DEN",2,25,0,2.5,NA,NA,NA,NA,NA
"Andre Holmes","OAK",1.6,20.7,12.7,0.1,0,2.67," OAK",0.8,11.9,0.1,1.4,"OAK",2,30,0,3,"OAK",2.27,29,0.04,3
"Andre Johnson","IND",4.8,56.8,11.9,0.3,0.1,7.28," IND",3.9,47.5,0.5,6.6,"IND",3,40,0,4,"IND",4.04,40,0.11,4
"Andre Roberts","WAS",2,25.7,12.8,0.1,0.1,2.97," WSH",2.7,32.7,0.1,3.9,"WAS",3,30,0,3,"WAS",2.45,36,0.13,4
"Andrew Hawkins","CLE",3.1,43,14.1,0.2,0,5.5," CLE",3.7,39.5,0.2,4,"CLE",4,45,0,4.5,"CLE",4.21,60,0.22,6
"Anquan Boldin","SF",4.8,62.1,13,0.3,0,8.01," SF ",4.9,60.3,0.2,7.2,"SF",6,70,1,13,"SFO",5.41,69,0.44,7
"Antonio Brown","PIT",8.8,115,13.1,0.6,0.1,14.9," PIT",7.6,104.1,0.6,13.9,"PIT",9,110,1,17,"PIT",7.79,109,0.69,17
